contig la lo p.values contigs.null isogroup adj.p
c002392 -10137.831026 -10141.731009 0.00522472174999066 c002392 isogroup=1510 0.232307866208459
c002393 -11718.364712 -11718.327499 1 c002393 isogroup=1467 1
c002395 -8965.431727 -8965.431727 1 c002395 isogroup=1468 1
c002397 -1827.454631 -1827.454631 1 c002397 isogroup=1472 1
c002398 -7687.827332 -7682.955737 1 c002398 isogroup=1281 1
c002402 -7764.612432 -7766.631697 0.044472544024848 c002402 isogroup=1478 0.559776347646096
c002403 -5799.985317 -5799.985317 1 c002403 isogroup=1476 1
c002405 -7765.300997 -7765.300997 1 c002405 isogroup=1475 1
c002407 -7153.687685 -7154.499929 0.202467133866302 c002407 isogroup=1479 1
c002409 -8440.96071 -8443.234341 0.0329714306272444 c002409 isogroup=1481 0.488542890134549
c002410 -8425.848936 -8426.070802 0.505326656292313 c002410 isogroup=1482 1
c002413 -8451.008469 -8452.853691 0.0547250467090871 c002413 isogroup=1483 0.61478821588302
c002417 -8385.588475 -8394.539065 2.32676799659612e-05 c002417 isogroup=1499 0.00824077037690992
c002419 -7442.939503 -7442.939503 1 c002419 isogroup=1383 1
c002422m -3887.858958 -3889.289812 0.0907111325469995 c002422m isogroup=8282 0.739126195121128
c002425 -13683.408299 -13683.408299 1 c002425 isogroup=1488 1
c002428m -4936.211162 -4936.331011 0.62442432018335 c002428m isogroup=14945 1
c002429 -7870.127799 -7870.127799 1 c002429 isogroup=1490 1
c002430 -7031.48616 -7035.429469 0.00498019040719451 c002430 isogroup=1491 0.230339184222158
c002431m -2940.554511 -2944.559141 0.00465387513675937 c002431m isogroup=17639 0.226540054642917
c002431p -3324.541938 -3324.523046 1 c002431p isogroup=14422 1
c002432 -5242.149294 -5242.314145 0.565834613972766 c002432 isogroup=1492 1
c002434m -5662.524964 -5662.538137 0.871058189252252 c002434m isogroup=6839 1
c002434p -1964.419441 -1967.216513 0.0180206145830188 c002434p isogroup=26229 0.377734147718747
c002437p -1452.747783 -1452.932324 0.543505082450858 c002437p isogroup=28302 1
c002438m -4074.519653 -4074.519653 1 c002438m isogroup=23412 1
c002440m -4493.60193 -4495.910342 0.0316598073255409 c002440m isogroup=6905 0.479613393865237
c002441 -9419.175724 -9419.175724 1 c002441 isogroup=1495 1
c002443 -9690.400449 -9690.400449 1 c002443 isogroup=1498 1
c002446m -4758.38212 -4758.523071 0.595457279953823 c002446m isogroup=11261 1
c002450 -8121.033021 -8121.033024 0.998045591872232 c002450 isogroup=1501 1
c002451m -3668.517235 -3668.53074 0.869457831721874 c002451m isogroup=22792 1
c002452 -5263.175073 -5263.229901 0.740536115227078 c002452 isogroup=1503 1
c002454 -4996.846727 -4996.846727 1 c002454 isogroup=1504 1
c002456 -8699.517694 -8699.517694 1 c002456 isogroup=1506 1
c002457 -6341.004484 -6342.381338 0.097029170697495 c002457 isogroup=1507 0.75265363186011
c002458m -5374.435162 -5374.435162 1 c002458m isogroup=6867 1
c002458p -2770.691649 -2770.69165 0.998871621018033 c002458p isogroup=18386 1
c002459 -4549.280643 -4549.280643 1 c002459 isogroup=463 1
c002462 -7974.06546 -7974.06546 1 c002462 isogroup=1509 1
c002465 -7300.511364 -7305.986643 0.000935754304895109 c002465 isogroup=1512 0.100115963183101
c002467 -7712.248463 -7714.342615 0.0407037987408868 c002467 isogroup=1514 0.536673577493772
c002469m -2871.115861 -2871.115861 1 c002469m isogroup=16932.1 1
c002470 -5762.612347 -5763.179776 0.28674148587429 c002470 isogroup=1516 1
c002471 -3868.369537 -3868.369537 1 c002471 isogroup=1517 1
c002473 -10284.965148 -10287.824066 0.0167934158023762 c002473 isogroup=1519 0.364662100858787
c002476m -6019.771524 -6019.771524 1 c002476m isogroup=3104 1
c002476p -3941.01138 -3941.01138 1 c002476p isogroup=12223 1
c002479 -4638.323529 -4638.323527 1 c002479 isogroup=1521 1
c002480p -4479.22819 -4479.22819 1 c002480p isogroup=2485 1
c002481 -6456.603052 -6456.603052 1 c002481 isogroup=1466.1 1
c002483 -4385.151226 -4385.151226 1 c002483 isogroup=1524 1
c002484m -6178.752976 -6179.564303 0.20272212192486 c002484m isogroup=11389 1
c002485 -7173.283056 -7173.289104 0.91242379560997 c002485 isogroup=1523 1
c002486 -4320.029199 -4320.029199 1 c002486 isogroup=1538 1
c002491m -6214.117554 -6214.117554 1 c002491m isogroup=6396 1
c002492 -11536.994822 -11539.666703 0.0207965461030954 c002492 isogroup=1529 0.4061380915161
c002496 -7036.64392 -7037.666947 0.152601261636307 c002496 isogroup=1530 0.894105851834859
c002498 -6699.491125 -6699.491123 1 c002498 isogroup=1531 1
c002500 -5456.536929 -5456.536929 1 c002500 isogroup=1533 1
c002505 -6138.199854 -6138.199854 1 c002505 isogroup=1124 1
c002508 -6951.304411 -6951.304411 1 c002508 isogroup=1540 1
c002509 -10858.367722 -10858.451372 0.682522615979865 c002509 isogroup=1539 1
c002511m -2432.973161 -2432.883495 1 c002511m isogroup=23821 1
c002511p -8768.406794 -8768.877065 0.332138492101511 c002511p isogroup=3448 1
c002512 -10924.186417 -10924.186417 1 c002512 isogroup=1542 1
c002515 -10953.468118 -10953.849342 0.382563511454069 c002515 isogroup=538 1
c002516 -6992.601983 -6992.601983 1 c002516 isogroup=1302 1
c002517 -8686.928448 -8687.88824 0.165902527178074 c002517 isogroup=1545 0.92406987887527
c002518 -8066.066659 -8066.066659 1 c002518 isogroup=1544 1
c002521 -5861.505169 -5861.505169 1 c002521 isogroup=1546 1
c002528m -4169.206705 -4169.655966 0.343178326612097 c002528m isogroup=8818 1
c002528p -6572.31801 -6572.31801 1 c002528p isogroup=8728.1 1
c002529m -5460.553595 -5460.586525 0.797462844749436 c002529m isogroup=7283 1
c002530 -6955.295336 -6955.295336 1 c002530 isogroup=1551 1
c002534 -14747.579201 -14747.579201 1 c002534 isogroup=1554 1
c002535 -8920.510537 -8920.510537 1 c002535 isogroup=1303 1
c002538p -6591.532117 -6592.235116 0.235721885736921 c002538p isogroup=7362 1
c002540 -5097.931979 -5097.931979 1 c002540 isogroup=1557 1
c002542 -9464.104764 -9464.104764 1 c002542 isogroup=1560 1
c002543 -9139.181875 -9139.60303 0.358736944361522 c002543 isogroup=1559 1
c002545 -8703.724398 -8703.724398 1 c002545 isogroup=1562 1
c002547 -10419.441421 -10422.981861 0.00779107397143323 c002547 isogroup=1387 0.275274769419551
c002549 -7802.035059 -7803.13262 0.138448246936722 c002549 isogroup=1564 0.860054435070405
c002555m -4583.818478 -4584.134438 0.426651918775089 c002555m isogroup=13895 1
c002558m -2225.645693 -2225.645683 1 c002558m isogroup=11957 1
c002560m -5191.251389 -5192.22903 0.162018800143463 c002560m isogroup=10954 0.917343227711809
c002563 -7448.659705 -7448.659705 1 c002563 isogroup=1591 1
c002564p -1438.050796 -1438.059915 0.892573813058382 c002564p isogroup=25678 1
c002565 -2208.903075 -2208.940831 0.783474147950051 c002565 isogroup=1572 1
c002568m -5448.129994 -5448.931585 0.205452857253941 c002568m isogroup=10518 1
c002568p -2784.355324 -2784.853994 0.317955007174498 c002568p isogroup=15269 1
c002569 -7972.190898 -7972.883273 0.239293703666412 c002569 isogroup=1573 1
c002573 -7149.908181 -7150.032621 0.61786481021602 c002573 isogroup=1575 1
c002575m -9657.855114 -9659.234802 0.096685942927364 c002575m isogroup=7312 0.752439669418214
c002576 -10015.0347 -10015.0347 1 c002576 isogroup=1152 1
c002578 -3468.367942 -3468.481957 0.632988416679152 c002578 isogroup=1579 1
c002579 -5430.853338 -5430.853338 1 c002579 isogroup=1580 1
c002584 -13535.818365 -13537.832609 0.0447380193635207 c002584 isogroup=1582 0.561055185448988
c002590 -12154.885478 -12158.561357 0.0066997211582582 c002590 isogroup=1586 0.25206167039
c002591m -1161.680129 -1161.680132 0.998045591946295 c002591m isogroup=24610 1
c002593m -3569.931397 -3569.454458 1 c002593m isogroup=16530 1
c002593p -5562.964993 -5562.964993 1 c002593p isogroup=12199 1
c002594m -6138.645182 -6139.74412 0.138201048974708 c002594m isogroup=7369 0.860054435070405
c002594p -6712.164567 -6712.164566 1 c002594p isogroup=10522 1
c002597 -7957.409663 -7957.409663 1 c002597 isogroup=1590 1
c002600 -4159.165247 -4159.165247 1 c002600 isogroup=1592 1
c002601m -1864.612374 -1864.817913 0.521422861677285 c002601m isogroup=19103 1
c002601p -3290.158301 -3290.158301 1 c002601p isogroup=12172 1
c002604 -11740.846365 -11741.943974 0.138439621678425 c002604 isogroup=1594 0.860054435070405
c002605 -3376.351816 -3376.351816 1 c002605 isogroup=1595 1
c002608 -5366.841949 -5368.895969 0.042679797462981 c002608 isogroup=1598 0.546687688662915
c002609p -3596.924267 -3596.924267 1 c002609p isogroup=14754 1
c002610 -6306.870184 -6306.870184 1 c002610 isogroup=1619 1
c002611m -3442.910406 -3442.910406 1 c002611m isogroup=5594 1
c002613 -13381.580412 -13381.580412 1 c002613 isogroup=1601 1
c002614 -13299.362018 -13299.865468 0.315646650183981 c002614 isogroup=1389 1
c002615 -7502.538449 -7502.549174 0.883559697322522 c002615 isogroup=1602 1
c002616m -6237.899575 -6237.758487 1 c002616m isogroup=11974 1
c002616p -5693.696859 -5694.77195 0.142552990358966 c002616p isogroup=10626 0.871983907214666
c002618 -9398.716308 -9400.46942 0.0611386521787669 c002618 isogroup=1603 0.635142213498903
c002619 -13521.630165 -13522.8768 0.114333950746471 c002619 isogroup=1605 0.807667923624643
c002620 -14878.9978 -14878.9978 1 c002620 isogroup=1634 1
c002623 -3703.998439 -3704.68019 0.242931475329819 c002623 isogroup=1606 1
c002627 -8952.894664 -8953.944664 0.147299138622465 c002627 isogroup=1608 0.881135383105031
c002629 -9111.474421 -9111.474421 1 c002629 isogroup=1610 1
c002630 -5507.055065 -5507.179004 0.618573222034665 c002630 isogroup=1611 1
c002632 -7403.431822 -7403.431822 1 c002632 isogroup=1613 1
c002634 -7896.073792 -7896.445191 0.388766050547804 c002634 isogroup=1614 1
c002636m -6361.911481 -6361.970137 0.731968328043464 c002636m isogroup=15312 1
c002637 -3595.773905 -3595.795132 0.836756787889381 c002637 isogroup=1615 1
c002638p -4345.352956 -4345.352956 1 c002638p isogroup=14242 1
c002639 -9158.115281 -9158.115281 1 c002639 isogroup=1617 1
c002640 -7802.148575 -7803.453897 0.106148647761676 c002640 isogroup=1616 0.775428706372812
c002645 -5784.779225 -5786.341873 0.0770858710607062 c002645 isogroup=1621 0.696962131746931
c002651 -5705.396641 -5706.619178 0.117894325342324 c002651 isogroup=1638 0.812793178441129
c002654m -4270.02312 -4271.282669 0.112474904071458 c002654m isogroup=14149 0.80057501019955
c002654p -7442.531683 -7442.531683 1 c002654p isogroup=10599 1
c002656 -11498.446373 -11499.338643 0.181592827367783 c002656 isogroup=1652 0.956482015330515
c002657 -7815.230658 -7815.230706 0.992182484899864 c002657 isogroup=1626 1
c002660m -2088.608395 -2088.608395 1 c002660m isogroup=27193 1
c002661 -12705.066954 -12705.066949 1 c002661 isogroup=1627 1
c002662 -4747.460738 -4747.460738 1 c002662 isogroup=1628 1
c002667p -3435.766141 -3435.766141 1 c002667p isogroup=11912 1
c002668 -8088.814899 -8088.976916 0.5691933845171 c002668 isogroup=1672 1
c002669m -7141.041305 -7141.139898 0.657001878082335 c002669m isogroup=10745 1
c002669p -4233.629634 -4234.854963 0.117475614088022 c002669p isogroup=10468 0.812793178441129
c002672 -8189.144706 -8189.144706 1 c002672 isogroup=1655 1
c002674 -6879.021967 -6879.021967 1 c002674 isogroup=1633 1
c002676 -11856.82385 -11857.930359 0.136850715974417 c002676 isogroup=1637 0.859580338073478
c002678m -3895.814085 -3895.814085 1 c002678m isogroup=5259 1
c002678p -2882.801447 -2882.801447 1 c002678p isogroup=6566 1
c002686 -9975.964101 -9975.964101 1 c002686 isogroup=1637 1
c002688 -5439.58607 -5439.58607 1 c002688 isogroup=1644 1
c002689 -5744.04731 -5744.04731 1 c002689 isogroup=1645 1
c002691p -2867.506765 -2867.506765 1 c002691p isogroup=10463 1
c002692p -6482.950679 -6486.759208 0.00578187365728104 c002692p isogroup=9317 0.239458162636829
c002697m -3676.089819 -3676.089819 1 c002697m isogroup=8280 1
c002697p -5084.965295 -5084.965295 1 c002697p isogroup=11194 1
c002699 -6635.545717 -6635.545717 1 c002699 isogroup=1649 1
c002701 -7665.210035 -7665.210035 1 c002701 isogroup=1650 1
c002706 -7821.266992 -7821.266992 1 c002706 isogroup=1657 1
c002707 -4440.866204 -4440.866204 1 c002707 isogroup=1656 1
c002708m -4181.748166 -4182.839584 0.139557091734291 c002708m isogroup=16191 0.861581805726887
c002712 -4415.352333 -4415.933871 0.280828517414006 c002712 isogroup=1659 1
c002717 -7663.577314 -7663.863207 0.449550079152427 c002717 isogroup=1569 1
c002722 -9141.089287 -9141.514641 0.356352125153677 c002722 isogroup=1665 1
c002726 -12616.610107 -12616.610107 1 c002726 isogroup=1670 1
c002730 -10350.52465 -10350.818037 0.443669311237293 c002730 isogroup=1673 1
c002732m -3624.857351 -3624.857351 1 c002732m isogroup=4394 1
c002733 -10110.767247 -10110.767247 1 c002733 isogroup=1674 1
c002734 -12903.025671 -12904.344634 0.104339675430351 c002734 isogroup=1675 0.769179842016042
c002735 -4460.490269 -4460.490269 1 c002735 isogroup=1676 1
c002739 -1798.542132 -1799.655278 0.135679116462712 c002739 isogroup=1678 0.856521330785811
c002740 -5217.549647 -5217.549631 1 c002740 isogroup=1679 1
c002742p -2638.582423 -2638.582423 1 c002742p isogroup=25826 1
c002746 -5054.368977 -5054.368977 1 c002746 isogroup=1681 1
c002748 -7381.278128 -7381.278128 1 c002748 isogroup=1682 1
c002749 -9703.346882 -9703.346882 1 c002749 isogroup=1685 1
c002754 -10199.459042 -10199.459042 1 c002754 isogroup=1732 1
c002756 -4568.26187 -4568.26187 1 c002756 isogroup=1687 1
c002757 -10033.644438 -10033.644438 1 c002757 isogroup=1689 1
c002758 -9709.582911 -9709.597771 0.863127084886574 c002758 isogroup=1690 1
c002760 -4421.045823 -4421.24183 0.531242653227193 c002760 isogroup=1691 1
c002761 -2319.073905 -2319.073905 1 c002761 isogroup=1710 1
c002765p -5164.821269 -5164.821269 1 c002765p isogroup=6830.1 1
c002770 -6959.762818 -6960.562483 0.205998185340895 c002770 isogroup=1698 1
c002774m -3619.088206 -3619.088206 1 c002774m isogroup=17580 1
c002777 -2778.409482 -2779.74313 0.102429916376623 c002777 isogroup=1705 0.766247393375309
c002778m -934.172333 -934.172333 1 c002778m isogroup=25070 1
c002780m -2980.211011 -2982.036396 0.0560432959017177 c002780m isogroup=16088 0.619422750712442
c002780p -4006.053978 -4006.053978 1 c002780p isogroup=9805 1
c002783m -3587.080932 -3590.179303 0.0127985689421786 c002783m isogroup=12673 0.327815714725975
c002783p -9952.247446 -9954.798069 0.0239086631983398 c002783p isogroup=7135 0.433627942419252
c002784 -6347.428052 -6347.891305 0.335772487637093 c002784 isogroup=1708 1
c002785 -5686.490406 -5686.490406 1 c002785 isogroup=1736 1
c002786m -2908.711609 -2909.25321 0.297982349530131 c002786m isogroup=20229 1
c002787 -10163.171614 -10163.171614 1 c002787 isogroup=1709 1
c002791p -6241.552001 -6241.552001 1 c002791p isogroup=9365 1
c002793 -8886.271317 -8892.685148 0.000341532252429142 c002793 isogroup=1713 0.052939327254825
c002795 -6099.510645 -6099.510654 0.996614872765272 c002795 isogroup=1697 1
c002796 -7507.11038 -7507.11038 1 c002796 isogroup=1717 1
c002798p -1772.47564 -1774.258377 0.0589928959288877 c002798p isogroup=22478 0.623708280731175
c002799 -9801.586488 -9801.888728 0.436873790336612 c002799 isogroup=1744 1
c002801 -3733.210017 -3735.070622 0.0537254243746401 c002801 isogroup=1720 0.608318035455281
c002803 -8340.657291 -8340.657291 1 c002803 isogroup=1719 1
c002806 -6831.023834 -6831.784216 0.21750391387795 c002806 isogroup=1724 1
c002812p -6176.450086 -6176.467556 0.851721441720982 c002812p isogroup=13692 1
c002813 -6033.138372 -6033.138372 1 c002813 isogroup=1727 1
c002816 -7920.965748 -7920.965748 1 c002816 isogroup=1728 1
c002817 -7071.216701 -7071.943117 0.228074077239089 c002817 isogroup=1729 1
c002819 -2275.060041 -2275.060041 1 c002819 isogroup=1730 1
c002826m -2866.808269 -2866.808269 1 c002826m isogroup=11782 1
c002826p -1590.824696 -1590.824696 1 c002826p isogroup=10654 1
c002828m -2811.264525 -2811.264525 1 c002828m isogroup=16994 1
c002828p -7207.24961 -7207.216405 1 c002828p isogroup=6335 1
c002829 -6268.433694 -6272.985395 0.00255134516381178 c002829 isogroup=1741 0.175871585083965
c002830 -12515.490175 -12515.490179 0.997743244805947 c002830 isogroup=1740 1
c002833 -4181.922739 -4182.114453 0.535774314622072 c002833 isogroup=1753 1
c002835m -2081.964366 -2084.980613 0.0140448752929016 c002835m isogroup=7900 0.336200675398856
c002835p -5406.565159 -5406.645642 0.688268697066805 c002835p isogroup=7760 1
c002841 -8380.257687 -8380.257687 1 c002841 isogroup=1749 1
c002844 -8503.601803 -8503.601803 1 c002844 isogroup=1756 1
c002847m -4780.028328 -4780.12036 0.6679037172383 c002847m isogroup=3977.1 1
c002853 -7652.415956 -7654.188182 0.0597448992290796 c002853 isogroup=1759 0.629374215366027
c002855 -6797.871341 -6797.914091 0.769977879953788 c002855 isogroup=1760 1
c002857 -8556.927402 -8556.927402 1 c002857 isogroup=1762 1
c002858 -7332.83459 -7332.83459 1 c002858 isogroup=1764 1
c002859 -8405.221402 -8405.221402 1 c002859 isogroup=1763 1
c002861 -5040.88428 -5041.893897 0.155317475493496 c002861 isogroup=1765 0.900771197511971
c002862m -6957.216782 -6957.216782 1 c002862m isogroup=1766 1
c002864 -8718.510276 -8718.510275 1 c002864 isogroup=1769 1
c002865 -9349.37192 -9349.37192 1 c002865 isogroup=1768 1
c002866m -3815.870163 -3815.870163 1 c002866m isogroup=5989 1
c002866p -5806.812136 -5806.812132 1 c002866p isogroup=23116 1
c002867 -961.946384 -961.946383 1 c002867 isogroup=1770 1
c002871 -5445.506596 -5445.86733 0.395662800341912 c002871 isogroup=558 1
c002874 -8003.658909 -8005.248097 0.0746188584690229 c002874 isogroup=1775 0.689838249626763
c002875m -2810.613469 -2810.613469 1 c002875m isogroup=16576 1
c002875p -3986.050037 -3986.050037 1 c002875p isogroup=16758 1
c002876 -6263.694233 -6263.694233 1 c002876 isogroup=1777 1
c002877 -7757.038445 -7757.038445 1 c002877 isogroup=1776 1
c002878 -2990.473154 -2992.797372 0.0310818543378958 c002878 isogroup=1812 0.47529587783703
c002880 -9389.498633 -9389.498633 1 c002880 isogroup=1779 1
c002882 -6137.441756 -6145.457751 6.22812195497143e-05 c002882 isogroup=1780 0.015652039808805
c002883m -9236.903001 -9238.108829 0.120434903509863 c002883m isogroup=8709 0.819120144677328
c002884 -16200.872639 -16203.169273 0.0320977583507388 c002884 isogroup=1641.1 0.482001012318055
c002885 -3188.187441 -3188.187441 1 c002885 isogroup=1782 1
c002888m -2762.873197 -2763.705968 0.19685671233585 c002888m isogroup=7254 0.993565130727043
c002891p -1177.535017 -1177.535017 1 c002891p isogroup=10734 1
c002892 -11224.462831 -11224.462831 1 c002892 isogroup=1820 1
c002893 -9573.089125 -9573.089125 1 c002893 isogroup=1788 1
c002898 -4961.310534 -4961.310534 1 c002898 isogroup=1787 1
c002899 -9436.672536 -9436.672536 1 c002899 isogroup=1790 1
c002900 -9367.149195 -9370.464648 0.0100224274805984 c002900 isogroup=1772 0.300117646219318
c002904m -3399.357296 -3399.357296 1 c002904m isogroup=20755 1
c002906 -10226.270746 -10227.199852 0.172831302998099 c002906 isogroup=1793 0.938717090877599
c002907 -6045.303288 -6045.303288 1 c002907 isogroup=1794 1
c002909m -5750.356493 -5751.357792 0.15702985719225 c002909m isogroup=12475 0.904573002367693
c002909p -4258.004846 -4258.613865 0.26974603922865 c002909p isogroup=14431 1
c002910 -8411.026033 -8411.026033 1 c002910 isogroup=1796 1
c002914 -6866.146082 -6866.969326 0.199437607881726 c002914 isogroup=1798 0.998380130881766
c002915 -1338.162875 -1338.849084 0.241396871956294 c002915 isogroup=1678 1
c002917 -13313.417639 -13313.417639 1 c002917 isogroup=1802 1
c002918 -3024.172414 -3024.353668 0.547116645127782 c002918 isogroup=1803 1
c002920 -2912.899796 -2912.899796 1 c002920 isogroup=1804 1
c002921 -6964.993003 -6965.278397 0.449945955998853 c002921 isogroup=1805 1
c002926 -9982.226198 -9982.226198 1 c002926 isogroup=1807 1
c002930 -5507.368019 -5507.872708 0.315051897072767 c002930 isogroup=1811 1
c002931 -10768.265983 -10768.265983 1 c002931 isogroup=1842 1
c002932 -10560.580787 -10560.586803 0.912654855790076 c002932 isogroup=1814 1
c002933 -7746.54224 -7746.54224 1 c002933 isogroup=1642.1 1
c002934 -6987.9758 -6987.9758 1 c002934 isogroup=1815 1
c002938m -9129.55729 -9129.905577 0.403937279996679 c002938m isogroup=4522 1
c002940 -9637.086224 -9637.086224 1 c002940 isogroup=1823 1
c002941 -11285.183343 -11291.670063 0.00031594099428471 c002941 isogroup=1821 0.0523391927790041
c002942 -8095.058992 -8095.058992 1 c002942 isogroup=1822 1
c002944 -10793.548421 -10794.404099 0.190809530919249 c002944 isogroup=1874 0.981229357036321
c002945 -9936.589535 -9936.589535 1 c002945 isogroup=1824 1
c002946 -8410.421904 -8410.421904 1 c002946 isogroup=1826 1
c002947 -4763.959042 -4763.959042 1 c002947 isogroup=1827 1
c002950 -8885.128609 -8885.910662 0.21106503421932 c002950 isogroup=1829 1
c002951p -4748.411312 -4748.446198 0.791669037317046 c002951p isogroup=9190 1
c002953 -7549.887151 -7549.90155 0.86524628262656 c002953 isogroup=1876 1
c002954 -8479.52501 -8479.632989 0.642137130329316 c002954 isogroup=1830 1
c002955p -4683.645655 -4683.645655 1 c002955p isogroup=13018 1
c002957 -4628.86023 -4628.86023 1 c002957 isogroup=1832 1
c002958 -6983.505408 -6984.521958 0.153906402652529 c002958 isogroup=1862 0.898079771836653
c002959 -8176.503541 -8176.864566 0.39547229419819 c002959 isogroup=1838 1
c002966 -9184.080935 -9184.080935 1 c002966 isogroup=1197.2 1
c002967p -5944.062923 -5944.062923 1 c002967p isogroup=7807 1
c002968 -6366.949564 -6366.949564 1 c002968 isogroup=1840 1
c002969 -9134.227699 -9134.227699 1 c002969 isogroup=1841 1
c002971 -6707.819147 -6708.717316 0.18015584404921 c002971 isogroup=1845 0.953822444227101
c002973 -12254.386904 -12254.303619 1 c002973 isogroup=1881 1
c002974m -6002.326348 -6002.326348 1 c002974m isogroup=11188 1
c002981 -6073.805491 -6074.0453 0.488595397881716 c002981 isogroup=1850 1
c002982 -6603.977702 -6603.980141 0.94431887608582 c002982 isogroup=1851 1
c002984 -6834.620278 -6834.620278 1 c002984 isogroup=776 1
c002986p -5860.55763 -5860.809006 0.478293406691418 c002986p isogroup=11439 1
c002988 -5837.028646 -5837.396791 0.390851921435035 c002988 isogroup=1855 1
c002989m -3501.885108 -3501.885108 1 c002989m isogroup=7096 1
c002989p -2052.189025 -2052.189025 1 c002989p isogroup=25492.1 1
c002990 -9354.260126 -9354.260126 1 c002990 isogroup=1446 1
c002995 -5818.271686 -5818.810478 0.299238661028805 c002995 isogroup=1860 1
c002996 -8805.877862 -8807.977883 0.0404229781603852 c002996 isogroup=1859 0.536673577493772
c002997 -13807.086325 -13807.912884 0.19853508537879 c002997 isogroup=1861 0.997141252775333
c003000 -4376.098923 -4376.229296 0.609608105499016 c003000 isogroup=1864 1
c003003 -1436.949359 -1436.949359 1 c003003 isogroup=1865 1
c003004 -9598.383399 -9600.201914 0.0565076531811077 c003004 isogroup=1867 0.619422750712442
c003005 -6741.07259 -6741.105772 0.796706281498762 c003005 isogroup=1866 1
c003006 -5593.934325 -5593.934325 1 c003006 isogroup=1931 1
c003010 -9342.831125 -9342.831125 1 c003010 isogroup=1871 1
c003014 -9256.539202 -9258.118078 0.0755671750629425 c003014 isogroup=1444 0.694231176271451
c003017 -6063.176444 -6063.176444 1 c003017 isogroup=1877 1
c003018 -8639.183111 -8633.177877 1 c003018 isogroup=1879 1
c003019m -3177.020796 -3177.803495 0.210876596313826 c003019m isogroup=8873 1
c003020 -12917.325064 -12917.325064 1 c003020 isogroup=1878 1
c003021 -10300.421786 -10303.047282 0.0219342629172782 c003021 isogroup=1880 0.4156583291944
c003022m -1329.63051 -1329.63051 1 c003022m isogroup=24826 1
c003022p -6674.557645 -6674.557645 1 c003022p isogroup=4898 1
c003023 -6466.031211 -6466.456676 0.356289378372099 c003023 isogroup=1882 1
c003026 -13350.430117 -13350.430117 1 c003026 isogroup=1886 1
c003027 -5866.29161 -5867.535765 0.114694824472554 c003027 isogroup=1885 0.807977052234294
c003030 -1786.7916 -1786.7916 1 c003030 isogroup=1889 1
c003032 -2644.966378 -2645.345476 0.383893670094243 c003032 isogroup=1891 1
c003033 -6652.361595 -6652.361595 1 c003033 isogroup=1890 1
c003034m -7419.71709 -7419.71709 1 c003034m isogroup=4785 1
c003035 -6811.113493 -6811.118117 0.923388318930655 c003035 isogroup=1892 1
c003039 -2805.229114 -2805.373008 0.591641531208845 c003039 isogroup=1895 1
c003044 -9285.395195 -9288.622042 0.0110721898885486 c003044 isogroup=1917 0.310676191206288
c003046 -10729.095537 -10729.095537 1 c003046 isogroup=1898 1
c003047m -4168.783266 -4168.783372 0.988383035931427 c003047m isogroup=4399 1
c003048 -8938.147153 -8938.147153 1 c003048 isogroup=1918 1
c003054 -3676.377238 -3676.377238 1 c003054 isogroup=1900 1
c003059m -3591.207087 -3592.78435 0.0757166779512368 c003059m isogroup=22917 0.694362499318887
c003059p -6010.364498 -6010.364498 1 c003059p isogroup=4051 1
c003060 -4329.407159 -4330.251702 0.193721498308755 c003060 isogroup=1903 0.98549455627995
c003062 -4599.692301 -4601.067469 0.0972339932651136 c003062 isogroup=1905 0.75265363186011
c003064 -3655.626281 -3656.331114 0.235111847044465 c003064 isogroup=1904 1
c003068 -3795.501769 -3796.93093 0.0909022800393948 c003068 isogroup=1909 0.739823548561508
c003069 -4576.261683 -4576.261775 0.989177299124481 c003069 isogroup=1911 1
c003070 -7990.237389 -7990.237389 1 c003070 isogroup=1910 1
c003073 -7597.745021 -7597.745021 1 c003073 isogroup=845 1
c003074 -11180.479896 -11180.479896 1 c003074 isogroup=1853 1
c003081 -9241.275375 -9241.275375 1 c003081 isogroup=1919 1
c003083 -4286.771351 -4287.063618 0.444540605141672 c003083 isogroup=1923 1
c003085 -8682.185114 -8682.202876 0.850501869424581 c003085 isogroup=1924 1
c003088 -5646.908337 -5646.908337 1 c003088 isogroup=1926 1
c003091 -6992.84483 -6993.075807 0.496712181865029 c003091 isogroup=1928 1
c003092 -6247.240777 -6247.240777 1 c003092 isogroup=1930 1
c003095 -3870.22686 -3870.22686 1 c003095 isogroup=1933 1
c003097 -7937.955818 -7938.05975 0.648446754949644 c003097 isogroup=1958 1
c003098m -6036.737714 -6036.737714 1 c003098m isogroup=10735 1
c003105m -1761.734968 -1763.132128 0.0945988903079666 c003105m isogroup=10971 0.747979370556678
c003105p -9265.926971 -9266.54202 0.267387980252509 c003105p isogroup=8806 1
c003106 -4721.518519 -4721.518519 1 c003106 isogroup=1937 1
c003109 -7297.629389 -7297.629389 1 c003109 isogroup=1941 1
c003111 -5120.381494 -5120.381495 0.99887162153116 c003111 isogroup=1955 1
c003113 -6622.838341 -6622.838341 1 c003113 isogroup=1944 1
c003115 -3347.643934 -3352.731391 0.00142364338483477 c003115 isogroup=1947 0.126307154639034
c003118m -5397.220173 -5397.220173 1 c003118m isogroup=11730 1
c003118p -3905.566407 -3906.028983 0.336125851539198 c003118p isogroup=12837 1
c003120p -6885.914704 -6885.914704 1 c003120p isogroup=1948 1
