contig	Nc
c033145	55.80
c033148	61.00
c010255	58.79
c010253	58.32
c022664	51.50
c004670	54.02
c042481	55.21
c042488	61.00
c053811	30.74
c027930	59.85
c027935	57.23
c020627	57.95
c020625	55.14
c020623	45.93
c002798p	61.00
c009444	56.41
c003355m	51.11
c004638	58.70
c004635	59.26
c004633	51.16
c004631	52.24
c009409	54.60
c009407	54.85
c009402	55.68
c009400	55.87
c023511	49.06
c012714	58.09
c026037	61.00
c023515	60.48
c053108	54.60
c017175	58.06
c012719	61.00
c002575m	55.32
c045459	44.35
c017464	53.85
c017465	53.23
c021286	50.09
c021283	52.02
c021281	57.46
c015051	55.59
c000734m	57.85
c047165	51.57
c047169	58.20
c022887	61.00
c010180	48.97
c028439	48.42
c037326	44.86
c039210	56.96
c044439	56.76
c049614	34.57
c018049	51.63
c015558	57.65
c000780	57.37
c015555	49.95
c015557	48.22
c015551	58.02
c015553	61.00
c011648	55.69
c025177	55.37
c011645	61.00
c011647	54.64
c011643	53.20
c036093	53.02
c036097	52.31
c036095	54.97
c029869	44.60
c000788	56.74
c029861	50.70
c029864	61.00
c040434	48.38
c040436	37.77
c040438	43.18
c038063	47.09
c031771	54.62
c035012	61.00
c002611m	47.66
c014607	61.00
c014605	53.69
c014603	53.79
c014601	57.99
c010516	51.77
c010514	56.76
c010512	56.83
c010510	47.10
c005171	55.66
c002252	54.32
c002257	55.71
c004237	59.63
c041342	31.00
c006860	55.08
c030023	52.99
c031395	41.41
c028014	45.58
c028016	48.25
c028012	54.94
c048374	60.05
c001484p	57.73
c006189	51.44
c006187	54.81
c006185	55.27
c006182	60.20
c006180	54.93
c008809	51.59
c017079	58.58
c019587	48.54
c019585	58.60
c003691	52.60
c003693	51.73
c003697	52.61
c007580	56.23
c007583	53.64
c007585	56.87
c012604	56.08
c026551	50.41
c033401	61.00
c024825	55.91
c024827	50.86
c024821	55.87
c024823	61.00
c026084	57.95
c026087	60.32
c026083	41.78
c029057	57.33
c033302	54.38
c008116	56.84
c008114	58.91
c008110	57.88
c008119	57.92
c000342	59.22
c000347	58.70
c000344	57.96
c000348	59.95
c019058	54.16
c019050	50.72
c048201	61.00
c048205	42.68
c018322	54.30
c018324	54.72
c018326	39.34
c005524	46.61
c005528	57.09
c005847	54.81
c052409	59.00
c052407	46.04
c005176	56.62
c028873	53.98
c028871	37.36
c028877	61.00
c028875	61.00
c028879	56.41
c028570	60.52
c031035	54.05
c031037	53.71
c031033	51.78
c031039	59.25
c028579	53.19
c003904p	55.84
c003934	57.15
c003931	52.82
c003933	49.93
c003938	53.84
c000106m	52.98
c029101	32.76
c021040	51.90
c021046	48.18
c021048	49.22
c031538	57.88
c010402m	55.00
c025634	51.89
c025630	56.61
c010308m	60.31
c009373	59.04
c025346	49.19
c025342	51.79
c025340	61.00
c025348	59.01
c039580	56.24
c010679	53.20
c034518	52.83
c008245	56.10
c011007	57.66
c011001	46.87
c017714	57.37
c017716	57.38
c017710	49.33
c002769p	53.20
c023778	61.00
c023770	55.89
c023775	51.34
c023777	56.38
c027054	31.86
c027056	54.77
c027058	58.74
c000932m	55.63
c011310m	51.67
c016844	58.11
c016840	53.27
c027585	24.50
c027581	61.00
c051605	45.91
c051601	42.81
c009757	57.57
c050555	59.18
c050551	49.11
c009755	56.73
c014569	49.40
c014567	52.13
c014560	56.60
c001119	57.61
c004986m	51.24
c020582	58.13
c020580	58.57
c020586	58.43
c020584	58.44
c020588	48.43
c001764p	61.00
c020058	40.48
c043891	51.59
c020050	51.27
c020052	49.94
c043548	58.09
c011866	50.01
c011860	55.40
c043542	61.00
c007342	57.38
c007340	52.66
c007346	53.85
c007344	52.73
c000435	53.84
c007349	51.86
c019932	53.35
c047248	45.46
c001524p	53.79
c019931	60.93
c037026	47.15
c021320	55.29
c021322	57.10
c016175	61.00
c019212	50.59
c019210	47.46
c019216	61.00
c019214	48.18
c041564	45.74
c041568	55.02
c049772	58.89
c048773	33.94
c048771	46.18
c044265	48.58
c000023	54.79
c000021	57.43
c000027	54.80
c000025	57.29
c000029	55.07
c054646	45.73
c031637	51.69
c028588	53.90
c031632	54.94
c031630	49.72
c017126	60.48
c028587	54.80
c017125	57.10
c023173	40.48
c012335	56.36
c017122	51.05
c035935	48.59
c017385	48.82
c012015	54.45
c004905	53.49
c017384	49.79
c004908	60.58
c049020	53.69
c006625p	50.63
c012591m	52.46
c029989	60.66
c008857m	57.40
c021589	59.59
c000188m	54.90
c001089	49.24
c030182	51.41
c015733	44.89
c001083	58.13
c001085	53.00
c021582	42.94
c021583	46.42
c031585	55.09
c031581	58.54
c031583	48.73
c030278	61.00
c005046	59.93
c030276	46.23
c038068	61.00
c002198	56.21
c002196	56.22
c002190	55.99
c002192	56.24
c000608p	56.20
c000979	54.96
c000977	54.31
c000971	58.56
c001629	57.92
c001625	41.19
c001623	49.96
c001621	59.50
c002442	55.71
c002447	53.31
c006539	56.04
c006533	55.26
c006531	51.15
c006537	60.85
c011688	59.80
c010211p	58.90
c013769	61.00
c028208	44.05
c013763	59.80
c013764	56.69
c013766	54.91
c034756	30.50
c034754	53.62
c034750	43.42
c026930	27.65
c032758	55.34
c032754	55.23
c032756	48.60
c032750	52.86
c032752	59.03
c003714	55.81
c003712	58.39
c003718	55.10
c007665	57.54
c007666	52.82
c007663	55.48
c007669	61.00
c000067p	55.83
c028195	51.49
c012018	55.07
c029159	51.05
c023171	49.11
c012014	55.42
c023175	45.30
c017105	44.29
c004044	55.48
c004042	58.96
c004048	51.18
c007124p	54.58
c000702p	59.51
c007124m	59.07
c030604	58.00
c009148	61.00
c009146	49.66
c009144	56.66
c009142	59.94
c002947	54.93
c002945	57.87
c002943	53.24
c002941	55.77
c018763	50.48
c001505	57.02
c034856	54.68
c005717	51.07
c005715	56.66
c005713	58.61
c005711	57.23
c005719	56.11
c031912	61.00
c016034	50.12
c002592p	53.67
c020212	44.30
c020216	51.92
c020214	55.34
c037306	44.38
c009850	58.41
c009853	53.52
c009855	55.75
c009857	43.79
c007511	45.11
c029511	59.03
c002538p	51.58
c002438m	50.83
c048110	49.98
c019344	42.78
c050951	50.00
c050957	59.84
c019349	45.86
c013479	56.42
c047137	43.76
c024226	54.70
c024222	61.00
c024220	59.20
c022307	55.54
c022309	52.99
c035265	59.12
c018036	60.13
c016270	61.00
c016272	49.76
c018038	52.85
c016276	57.50
c016278	56.15
c014349	49.67
c014347	45.33
c014345	51.19
c014343	51.64
c014341	48.95
c007658	58.40
c010553	61.00
c009347p	52.37
c017698	57.89
c017692	57.63
c017696	61.00
c005600p	50.34
c004557m	57.70
c011238	60.97
c011233	54.84
c011235	52.80
c011237	56.91
c010148	47.22
c010142	58.79
c010144	58.13
c010146	51.02
c028704	61.00
c047873	48.33
c047879	53.39
c054843	54.46
c054847	49.72
c028706	48.51
c031406	56.93
c050167	49.59
c050165	51.82
c027220	51.20
c027224	45.64
c013220	56.48
c037871	39.66
c006734	49.66
c006736	50.94
c006730	53.91
c006732	54.99
c006738	54.65
c000602	56.23
c000600	57.78
c000607	53.39
c000605	52.30
c000609	59.12
c020218	49.08
c044838	55.04
c013568	61.00
c013562	52.20
c013560	35.03
c013566	55.62
c013564	59.25
c020210	53.07
c016254	55.20
c007467	59.72
c007465	56.37
c007463	61.00
c007461	52.47
c007468	54.90
c001958	52.78
c001954	53.92
c001950	55.16
c001952	52.61
c045748	52.11
c045746	33.30
c048635	48.27
c048631	55.09
c018399	50.72
c048638	50.18
c040003	26.00
c047059	54.00
c018573	56.94
c018575	58.43
c018577	61.00
c018579	59.13
c001851	56.01
c021901	61.00
c022396	57.53
c022397	56.50
c013192	59.05
c013191	52.51
c037705	29.75
c037701	49.37
c013195	60.87
c031287	61.00
c031289	39.94
c007205	57.86
c008255	50.83
c008254	54.54
c049273	61.00
c012384	54.02
c028424	57.90
c028426	55.55
c054452	44.67
c012382	54.67
c031463	57.14
c031461	57.23
c031469	55.72
c039674	33.79
c039678	61.00
c035703	47.43
c035709	53.84
c011504	53.70
c001128	50.70
c001124	53.50
c001126	56.69
c001120	50.93
c040580	34.15
c040582	35.97
c034367	40.12
c024420	55.22
c024422	32.45
c024424	50.01
c024428	58.26
c019133	55.53
c026868	59.03
c026866	55.50
c026864	57.83
c026862	49.81
c026860	44.39
c024799	47.18
c002366	49.65
c002364	56.67
c002362	41.20
c002360	55.96
c006475	58.29
c006473	61.00
c006471	56.10
c034945	58.47
c026793	54.03
c033636	52.08
c033630	49.34
c033632	53.31
c009225	51.30
c022145	52.27
c022143	58.61
c008427	54.17
c008425	54.05
c008420	42.08
c008428	57.15
c037981	57.65
c048910	50.67
c025449	61.00
c022493	47.15
c022491	55.54
c022496	57.90
c026139	49.52
c023329	48.39
c023323	41.02
c023327	53.26
c026137	61.00
c007096p	56.55
c032272	57.07
c032274	53.42
c004763	56.23
c003975m	48.88
c004765	57.61
c004767	56.71
c004766	51.57
c050767	56.88
c050768	48.63
c031898	55.08
c031896	53.29
c017805	56.77
c025939	58.96
c010125p	48.59
c010125m	48.73
c021570	55.91
c021572	61.00
c021574	57.08
c021576	50.60
c009486	46.21
c009484	57.54
c005103	55.82
c005109	50.09
c026511	61.00
c026517	58.68
c053184	40.15
c022800	56.39
c022802	51.17
c022808	61.00
c026576	49.52
c012942	50.67
c012940	52.23
c012946	61.00
c012944	48.50
c012948	48.12
c019970	52.47
c019976	56.54
c015228	61.00
c015226	59.10
c019978	53.90
c015222	49.16
c015220	53.57
c043238	56.57
c043236	59.74
c043232	61.00
c043230	56.10
c016033	59.79
c036010	51.30
c036014	48.47
c023863	61.00
c023865	52.00
c023867	53.49
c001824p	59.67
c014687	52.18
c014685	58.64
c014683	57.66
c010593	47.94
c010591	49.69
c035547	30.00
c010599	54.48
c037837	58.05
c017488	46.71
c017480	49.68
c045165	53.96
c016274	59.58
c023625	57.86
c001454	56.94
c001456	55.35
c001450	56.65
c001458	56.20
c005696m	56.53
c050247	39.26
c003163	54.90
c003161	50.83
c003164	55.86
c003168	57.36
c002986p	52.70
c002986m	46.68
c007855	56.92
c012532	59.05
c012537	57.67
c008418p	51.61
c014346	54.81
c012611	52.12
c012680	59.00
c012682	54.68
c012684	42.50
c012686	58.42
c012688	48.73
c005335	54.16
c026527	44.87
c008423p	57.63
c006106	53.29
c006104	55.73
c013489	54.22
c006100	50.94
c008423m	46.38
c013487	61.00
c013481	49.05
c013483	56.93
c008221	56.56
c008223	57.33
c008226	55.28
c008229	45.39
c000431	51.40
c000432	55.63
c046289	49.44
c046283	42.73
c019508	53.01
c019502	60.61
c019506	48.14
c014903	59.79
c014905	56.22
c002776	56.98
c002770	52.77
c002772	54.10
c002734	60.10
c048281	49.15
c048287	52.16
c001626m	52.67
c002738	53.13
c019094	57.98
c005681	55.36
c004113	46.41
c032074	50.92
c032076	49.20
c032070	52.80
c032072	50.56
c008198	56.12
c008197	56.64
c008195	54.22
c006680	53.36
c004431	48.60
c040671	53.53
c003423	54.22
c004437	52.77
c004438	58.19
c013103	57.50
c013104	53.34
c036354	47.95
c036356	43.80
c017555	61.00
c005476	53.00
c004115	57.15
c018314	57.37
c006926	52.40
c006920	58.33
c006922	46.94
c006928	56.85
c005341	60.35
c005343	50.54
c000193	57.23
c009649	50.55
c020490	54.57
c028613	60.63
c028611	43.81
c054233	36.37
c046730	49.14
c011729	61.00
c004323	58.60
c038276	51.11
c015315	51.33
c012383	55.44
c017166	58.12
c002479	52.04
c006298	59.02
c006292	56.86
c006290	54.52
c006295	48.14
c013530	57.63
c013532	53.71
c013534	55.71
c013538	55.36
c000581	52.94
c000582	55.61
c000589	53.17
c052176	46.33
c018704	60.81
c038994	52.55
c038996	45.20
c001989	51.10
c001555p	50.40
c001981	57.63
c036020	59.79
c000194m	58.69
c000869	57.58
c015489	54.64
c005427	54.72
c041462	54.88
c036387	51.33
c036385	57.84
c016356	61.00
c004794p	48.83
c044360	61.00
c039275	61.00
c009073p	58.09
c054505	50.08
c054507	42.09
c005304m	55.94
c019994	47.92
c005304p	54.32
c036569	54.94
c033268	57.87
c030267	46.60
c008674p	55.55
c010505p	58.33
c008674m	54.34
c025405m	52.42
c029596	47.65
c029594	55.93
c038639	52.12
c038632	57.98
c024312	56.01
c002186	56.86
c024574	42.51
c024319	48.45
c005918	58.19
c023694p	57.29
c005913	57.71
c024578	61.00
c027331	53.20
c036178	27.46
c002584	59.08
c002582	56.36
c002580	56.88
c002588	52.98
c006696	52.87
c006694	56.85
c025048	58.90
c025044	45.56
c025046	58.62
c025040	61.00
c025042	54.71
c036174	47.12
c048842	49.62
c048849	52.67
c028349	61.00
c035405	52.61
c028342	55.87
c028344	47.51
c034631	45.40
c032679	51.18
c032677	40.69
c003636	56.37
c003634	55.41
c002459	61.00
c003630	52.69
c007526	55.68
c007525	57.74
c007523	56.06
c007521	57.77
c012666	61.00
c012664	48.64
c012662	53.90
c012660	55.60
c048260	58.31
c024883	53.41
c024885	45.85
c002455	54.11
c026028	53.55
c023052	61.00
c029030	45.40
c029032	47.43
c029036	51.78
c004183	57.70
c004184	55.65
c004186	48.85
c004188	53.92
c006521	56.07
c016408	53.05
c000100m	55.60
c022776	43.58
c005588	52.93
c005582	54.34
c005586	61.00
c005584	57.77
c007708	51.08
c053506	56.45
c000856p	61.00
c041318	61.00
c020379	53.08
c030907	61.00
c030903	60.42
c030901	48.75
c002346m	53.35
c026375	48.94
c020999	54.08
c020994	56.62
c020996	44.18
c024054	61.00
c024056	55.99
c024050	52.29
c024052	48.32
c024058	49.85
c021028	52.52
c002909m	50.97
c003293m	58.44
c001393p	51.21
c029152	44.49
c025620	61.00
c001393m	53.25
c016511	44.12
c016513	58.92
c042254	61.00
c017731	58.66
c044163	61.00
c044161	61.00
c010919	47.79
c010912	53.66
c010910	61.00
c010916	48.32
c010914	56.11
c022046	53.00
c022042	46.12
c002387m	55.37
c023715	55.55
c021306	59.24
c006334m	58.60
c030439	61.00
c048945	50.27
c035403	60.30
c011354	47.92
c010005	53.32
c010007	54.37
c010001	51.84
c010003	53.54
c010008	53.49
c045385	53.14
c015676	49.54
c015670	53.85
c015672	49.49
c050313	48.94
c000200p	52.79
c032761	61.00
c015988	52.20
c015982	48.63
c015980	46.89
c015986	58.50
c015984	49.71
c027566	40.90
c027562	54.83
c036962	41.71
c036966	43.99
c036964	50.73
c044053	50.85
c007215p	47.11
c006058	56.20
c014580	57.93
c014582	60.48
c044052	54.35
c053660	37.98
c001275m	54.69
c001275p	57.33
c007651	58.14
c008601	49.08
c044950	50.96
c007655	43.66
c020034	60.34
c020032	56.40
c020030	54.30
c020171	61.00
c017479	59.49
c000756m	55.22
c007323	54.26
c007325	61.00
c007327	59.94
c007329	52.43
c008519	57.11
c001878	53.27
c001876	58.14
c001872	54.80
c040279	26.50
c018724	54.14
c007099	56.25
c007094	55.81
c007090	55.91
c045608	59.56
c048718	61.00
c047776	38.19
c018492	31.91
c018490	61.00
c018496	55.26
c018498	61.00
c033873	53.51
c033871	43.07
c033877	61.00
c033874	56.72
c028412	58.60
c037596	52.63
c003533	61.00
c004965	55.32
c004963	52.16
c004961	58.23
c004969	54.05
c041636	56.53
c000042	57.53
c000045	57.29
c000047	57.06
c044312	54.14
c031695	48.94
c031693	61.00
c028523	61.00
c054966	38.58
c017379	24.70
c023100	60.47
c012000	61.00
c013795p	49.18
c012308	53.91
c031562	47.88
c039758	41.06
c039756	61.00
c039753	55.35
c029011	53.87
c035446	56.58
c017376	53.46
c035442	49.10
c017374	61.00
c046274	56.14
c015031	53.75
c021596	61.00
c029650	56.99
c029652	41.60
c029656	49.95
c004059	56.05
c025192	48.52
c040330	43.73
c015729	61.00
c038006	61.00
c033539	51.68
c026968	59.95
c025696	52.30
c026965	58.27
c002423	59.19
c002425	59.94
c002427	57.40
c006559	51.19
c006550	57.73
c006554	56.10
c006556	51.11
c034803	46.15
c034807	57.92
c034805	43.84
c008659	54.04
c028267	49.70
c040653	57.80
c022608	59.02
c022606	51.07
c022602	56.49
c022600	46.36
c026387	51.69
c026383	54.53
c015176	56.30
c037011	61.00
c003375m	47.67
c032400	61.00
c049906	54.27
c049908	59.08
c015170	56.64
c003943m	59.90
c041301	43.82
c050661	61.00
c050667	54.54
c027760	61.00
c031978	58.30
c031970	40.88
c021722	53.14
c021728	61.00
c027890	56.33
c027898	38.92
c009218	53.15
c009213	60.01
c009216	51.03
c009214	60.07
c014184	48.11
c036596	44.58
c021496	61.00
c021495	42.01
c021498	55.19
c036594	49.31
c014835	52.99
c014837	61.00
c014831	53.09
c014833	56.02
c002594m	57.48
c002594p	51.12
c053316	50.14
c005049	56.51
c005862	61.00
c042713	61.00
c021304	55.60
c037111	55.57
c019377	60.82
c037112	45.57
c047577	56.87
c047571	61.00
c028659	61.00
c018026	55.94
c018025	56.41
c043196	54.43
c043194	57.42
c041921	51.15
c041922	55.86
c014491	54.78
c044088	43.20
c044082	45.42
c016708	53.66
c045936	53.37
c000471	51.31
c007992p	52.93
c013197	55.15
c011253	56.15
c012391	60.01
c014019	61.00
c002658p	53.19
c014013	53.33
c001985m	46.24
c014014	56.50
c000474	56.96
c000477	52.61
c054171	41.87
c000476	52.55
c051149	61.00
c022359	47.16
c051277	49.28
c026934	32.49
c001770p	50.90
c001222	60.08
c001236m	56.14
c001225	56.35
c001236p	54.78
c001770m	59.16
c003310	55.28
c003312	57.36
c019338	37.67
c005234m	56.73
c054828	61.00
c054822	53.41
c015827	61.00
c015821	57.97
c015823	52.13
c012415	52.47
c012417	59.98
c012411	54.41
c012419	54.63
c001563m	52.62
c013235	54.01
c006790	50.03
c006796	61.00
c012225p	51.61
c038365	56.87
c005096	60.17
c005098	55.15
c044856	43.34
c007112	45.86
c007114	61.00
c007118	53.52
c046344	50.39
c046346	61.00
c019640	53.96
c019642	61.00
c013895	52.70
c013898	56.34
c019998	56.43
c002893	54.58
c002895	58.50
c002897	54.25
c002899	53.10
c052210	49.04
c008328	50.55
c008324	52.78
c008326	54.90
c008320	55.56
c008322	57.56
c006653	56.16
c018517	61.00
c034296	46.27
c018511	61.00
c010678m	53.05
c018518	54.88
c048567	46.61
c048569	59.62
c040750	44.54
c004552	57.05
c013181	48.18
c004559	54.24
c025171	61.00
c025170	42.10
c025172	55.12
c031711	54.10
c028063	50.62
c032974	46.84
c032972	61.00
c025176	61.00
c009844	56.93
c036274	51.84
c036272	50.03
c036270	58.45
c000195	53.79
c036279	61.00
c030530	40.96
c030534	56.02
c023014	61.00
c005209	58.92
c034298	61.00
c009983	53.41
c009981	45.72
c009987	60.73
c009985	48.32
c009989	55.70
c006659	55.83
c024487	55.29
c000880p	53.88
c024489	53.74
c000880m	53.00
c005691	53.39
c029733	49.95
c025282	53.84
c025286	61.00
c025284	50.23
c034308	38.80
c016058	59.03
c047647	44.50
c026888	55.43
c026884	57.80
c026882	50.23
c024777	51.05
c024771	61.00
c024773	45.28
c043905	46.22
c003747p	47.48
c004563m	52.10
c026739	38.70
c008513p	41.74
c017070p	57.38
c006764m	50.38
c033164	61.00
c010254p	60.01
c048973	54.24
c023348	54.72
c023340	43.30
c013623	58.89
c010272	59.11
c010277	53.39
c051475	61.00
c053830	50.33
c001309m	56.68
c053836	55.00
c032211	50.62
c032213	59.96
c047522	49.23
c009398	49.26
c009396	55.90
c004750	55.04
c009391	51.04
c015000	49.81
c004751	56.37
c020640	54.90
c015001	55.30
c050623	61.00
c020649	61.00
c015004	57.98
c004614	56.19
c004616	52.75
c004610	54.57
c011061	58.13
c004619	47.23
c047528	58.25
c053296	53.96
c053292	49.99
c013816m	51.38
c027918	52.30
c027910	45.93
c027912	49.93
c027914	59.51
c027916	57.13
c021516	58.40
c021514	45.39
c021512	59.55
c021510	59.40
c021519	61.00
c043337	46.46
c026401	31.04
c026504	52.45
c036825	52.64
c026406	54.82
c026407	54.94
c012921	60.19
c012923	52.13
c012929	48.95
c042122	49.09
c005131p	53.95
c001561	55.26
c024233	54.77
c052989	52.97
c014200m	54.36
c013054	52.41
c019913	60.51
c019915	53.44
c019917	54.65
c019919	59.35
c029103	54.78
c015579	49.68
c015573	57.64
c015571	49.53
c007080	50.27
c005916	53.55
c011666	44.08
c011664	48.20
c036074	56.80
c023804	46.82
c038542	26.56
c001568	53.73
c019114	56.51
c014197	48.66
c002236p	54.22
c014193	57.32
c014191	52.65
c014117	60.89
c014624	51.62
c014620	61.00
c014628	51.78
c010535	55.54
c010537	53.12
c010531	46.84
c010533	52.81
c010494	58.73
c010539	54.12
c004705m	57.76
c002276	50.41
c002278	57.40
c035038	61.00
c035036	54.66
c001204p	53.78
c028079	58.52
c028073	57.75
c028076	56.00
c018077	57.74
c049372	42.17
c003103	55.60
c003106	54.32
c003108	49.38
c007831	51.67
c004357m	51.62
c007835	52.52
c007838	51.33
c012593	44.31
c012595	58.03
c012597	51.46
c033538	52.82
c044075	61.00
c004357p	47.73
c041107	53.53
c005008	59.67
c005007	57.20
c014879	57.11
c036857	51.15
c036853	56.43
c036851	43.44
c026538	52.43
c024803	53.86
c008281	56.23
c008288	52.61
c033369	44.56
c033363	51.29
c033365	55.14
c022641	51.44
c008178	54.45
c046665	61.00
c008175	57.64
c008177	48.32
c008171	54.92
c022646	56.45
c000362	58.06
c000364	45.32
c000366	52.40
c022647	61.00
c052398	44.61
c049532	56.49
c018305	37.15
c018303	54.69
c018309	51.97
c005503	51.58
c033989	54.11
c033983	44.66
c052427	44.68
c003924p	53.79
c037061	53.22
c037066	61.00
c028859	61.00
c028851	55.69
c003845	60.78
c004456	51.43
c004454	58.06
c003480	57.78
c003489	58.87
c004459	57.07
c031051	40.96
c018373	54.54
c013130	55.34
c009628	48.88
c013131	56.48
c030989	61.00
c003847	57.16
c030982	46.45
c003953	54.72
c003955	54.60
c003959	55.73
c000925p	46.96
c000925m	52.02
c007415p	61.00
c020912	48.59
c020914	54.03
c020917	32.51
c022765	39.23
c007678	61.00
c022767	61.00
c007679	57.53
c037055	49.89
c006949	54.71
c025325	50.90
c025327	45.58
c025321	57.08
c025323	39.66
c031543	56.04
c025590	52.56
c038673	55.59
c028161	53.77
c035081	50.34
c011064	55.46
c011066	53.86
c013797	56.54
c011063	57.21
c011069	52.65
c026675	57.95
c026673	60.67
c026671	56.66
c017733	60.57
c025669	47.41
c017737	54.13
c017735	60.25
c017738	60.46
c008024	51.50
c025668	58.38
c008025	57.80
c023794	61.00
c023792	60.01
c041941	42.54
c050395	55.39
c010337	61.00
c010335	52.44
c010333	56.44
c030784	57.87
c016868	57.34
c016867	61.00
c016861	60.39
c041944	60.61
c010088	59.46
c010085	57.04
c010087	56.76
c010081	56.65
c010083	51.48
c051620	43.79
c051626	55.81
c013838p	47.20
c014505	55.22
c014507	54.61
c014503	61.00
c014509	52.43
c053715	55.32
c003490	58.62
c022489	53.69
c003632	56.21
c004230	48.01
c034009	52.07
c002559	55.11
c013992	53.08
c013990	58.40
c013996	55.16
c013995	48.85
c005390	57.37
c043563	43.10
c045536	34.52
c045532	55.30
c046133	51.53
c046131	61.00
c046135	56.92
c041862	50.66
c012669	55.18
c012668	50.98
c045688	61.00
c012840	45.61
c017518	61.00
c017519	50.54
c045977	45.47
c001123m	51.41
c017512	54.87
c001123p	61.00
c045033	57.31
c046799	57.82
c042085	38.50
c042081	53.40
c018142	58.37
c044792	36.79
c047865	38.91
c019032	41.09
c024383	55.59
c042379	42.93
c042377	45.38
c052622	61.00
c052620	48.27
c044241	46.84
c054660	61.00
c019894	53.46
c019896	57.07
c001737p	56.72
c019892	51.29
c000124p	52.25
c037514	61.00
c001737m	56.25
c004234	52.02
c039022	37.27
c035917	53.11
c035915	44.54
c005352	47.27
c017949	60.93
c035998	61.00
c031614	53.68
c031612	52.00
c026020	43.73
c029033	49.39
c017827	51.76
c007941p	57.94
c022456p	52.24
c030257	61.00
c030255	59.21
c038080	48.95
c000606p	54.61
c000958	56.51
c000952	55.79
c000950	52.22
c000606m	56.27
c001605	52.25
c001606	59.06
c001600	54.03
c042459	61.00
c006003	60.29
c025562	61.00
c025657	59.38
c025652	42.36
c034777	61.00
c034772	52.35
c004045m	58.66
c003774	50.27
c039872	58.67
c039874	53.34
c007603	58.75
c007600	55.46
c007605	53.74
c000176	58.44
c019779	50.07
c019771	53.04
c019777	55.59
c032482	55.27
c032484	58.29
c003695m	53.30
c029174	54.96
c029173	46.36
c033284	52.65
c033280	46.64
c048053	52.76
c048059	44.40
c004062	52.87
c004066	53.90
c049982	46.33
c042340	46.01
c009393p	51.03
c009125	61.00
c009127	49.59
c009121	55.81
c009123	58.08
c002965	56.69
c002966	53.46
c002969	56.01
c023166	58.09
c005738	57.17
c005735	53.77
c005737	55.70
c005731	53.23
c029401	53.71
c009292	58.80
c009290	54.64
c009296	54.07
c009299	60.23
c003603	49.37
c035755	53.45
c029403	51.19
c019486	61.00
c020233	51.07
c020237	60.58
c020239	50.52
c003209p	51.39
c009875	56.01
c009873	53.68
c014052	46.71
c009879	52.22
c020895	54.36
c020897	51.55
c009005	51.19
c020899	54.40
c037950	60.72
c025252	51.05
c021141	45.33
c021143	52.71
c021145	56.10
c021147	55.24
c010742	61.00
c050970	55.27
c050978	61.00
c024248	59.14
c024246	61.00
c024240	53.61
c024242	61.00
c002000	56.15
c050009	55.48
c016256	49.12
c042212	41.60
c001143p	56.27
c016784	57.84
c016786	57.07
c042218	60.68
c016789	58.62
c022329	50.55
c003419m	57.75
c037957	58.31
c025115	42.18
c025113	54.33
c014096	48.23
c013515	48.52
c023450	57.45
c013512	56.54
c023456	47.33
c010783	61.00
c010781	52.00
c010787	55.69
c013510	50.81
c010789	49.54
c001651p	48.01
c011789	55.44
c037959	50.77
c011780	57.29
c011782	42.73
c041757	61.00
c017673	53.39
c017671	51.94
c044507	45.79
c017679	47.12
c025826	54.68
c025825	56.03
c025824	43.82
c003037	56.57
c010166	42.03
c000637p	52.35
c010162	58.35
c047854	44.09
c051234	58.58
c034157	61.00
c023047	56.62
c050181	33.63
c027202	48.66
c027204	56.93
c002105m	57.06
c001603m	61.00
c026342	59.41
c006710	60.70
c006717	56.10
c006718	56.09
c051217	41.12
c017273	61.00
c046074	46.24
c046072	44.12
c046078	46.58
c041861	53.51
c013544	56.50
c013549	51.46
c013323	53.05
c053451	61.00
c017271	58.32
c020775	53.27
c020777	60.35
c009150	54.65
c026345	55.30
c001933	57.38
c001931	59.18
c001936	56.35
c026344	53.27
c052291	52.26
c002109m	58.56
c007490	59.03
c007198	50.47
c007192	56.94
c007190	49.14
c007196	55.74
c007194	55.16
c045765	37.01
c012239	55.54
c047035	47.52
c047033	58.83
c045550	53.38
c001263	58.22
c052877	39.13
c035167	57.75
c002109p	49.39
c017336	41.51
c048612	53.81
c037766	43.66
c037764	61.00
c017337	49.97
c032373	54.10
c049257	61.00
c041086	58.37
c041084	57.95
c028403	61.00
c028401	52.49
c054434	54.55
c054433	60.09
c035896	61.00
c035894	27.70
c035899	44.24
c031408	39.01
c004879p	44.48
c039651	52.16
c004879m	56.91
c035168	36.50
c008658p	52.41
c000858	55.32
c000853	57.57
c000850	47.49
c001076m	55.25
c008378	52.56
c029757	48.92
c008379	51.23
c001102	57.59
c007440	51.44
c029758	58.91
c001105	57.53
c038013	42.95
c007443	55.78
c004279p	55.53
c030356	42.28
c000822p	57.26
c024409	51.67
c040870	61.00
c040874	52.81
c020266	61.00
c026807	57.59
c026801	39.57
c013410	60.23
c026809	54.36
c002344	57.62
c002343	51.57
c002349	57.40
c040015	58.05
c006457	53.90
c004134	57.71
c006458	54.24
c008997	57.51
c008995	46.05
c008993	51.07
c040010	57.00
c004131	56.17
c004132	48.10
c033651	49.49
c033654	53.99
c040949	35.92
c000993p	58.45
c013628	60.60
c053588	61.00
c000656m	56.56
c004449m	58.23
c004079p	47.86
c023699	59.23
c023691	59.41
c023683	45.59
