contig	species	dN	dS	dNdS
c000839m	Apallida	0.5333	76.7318	0.0070
c000839p	Apallida	0.8490	35.5343	0.0239
c000840	Apallida	0.3265	28.4009	0.0115
c000855m	Apallida	0.4093	68.9968	0.0059
c000856m	Apallida	0.2871	6.8195	0.0421
c000856p	Apallida	0.3002	4.0649	0.0738
c000857m	Apallida	0.1760	5.8429	0.0301
c000857p	Apallida	0.3615	7.7367	0.0467
c000860m	Apallida	0.4776	71.3686	0.0067
c000862	Apallida	0.1871	2.4435	0.0766
c000863	Apallida	0.3586	66.4505	0.0054
c000869	Apallida	0.3579	10.5269	0.0340
c000870	Apallida	0.4962	7.8677	0.0631
c000873	Apallida	0.3640	20.6599	0.0176
c000882	Apallida	0.1993	10.3516	0.0193
c000884	Apallida	0.2685	31.5895	0.0085
c000894	Apallida	0.2122	37.2428	0.0057
c000897m	Apallida	0.3930	28.1766	0.0139
c000902	Apallida	0.2730	5.0843	0.0537
c000904	Apallida	0.3263	4.0591	0.0804
c000905	Apallida	0.4992	9.8921	0.0505
c000912m	Apallida	0.2273	4.6739	0.0486
c000914	Apallida	0.5671	6.5067	0.0872
c000915	Apallida	0.2133	3.7164	0.0574
c000917	Apallida	0.2521	26.1804	0.0096
c000920	Apallida	0.6099	24.9359	0.0245
c000929p	Apallida	0.1863	62.3825	0.0030
c000931	Apallida	0.2235	5.1817	0.0431
c000936m	Apallida	0.1456	3.4139	0.0427
c000940	Apallida	0.1563	3.1477	0.0497
c000943	Apallida	0.2320	6.7456	0.0344
c000949	Apallida	0.4571	68.5439	0.0067
c000951p	Apallida	0.2359	22.3609	0.0105
c000953	Apallida	0.1748	2.9658	0.0590
c000960	Apallida	0.1699	3.1621	0.0537
c000964	Apallida	0.2918	11.6420	0.0251
c000966	Apallida	0.8266	63.3132	0.0131
c000967m	Apallida	0.0506	6.4178	0.0079
c000968	Apallida	0.3014	68.3881	0.0044
c000972p	Apallida	0.2203	16.7977	0.0131
c000979	Apallida	0.2329	6.2294	0.0374
c000989	Apallida	0.4799	7.7681	0.0618
c000991	Apallida	0.2489	66.7016	0.0037
c000997	Apallida	0.2672	67.5640	0.0040
c000998	Apallida	0.1127	6.0465	0.0186
c001006	Apallida	0.4521	22.0974	0.0205
c001010	Apallida	0.2534	12.9206	0.0196
c001012p	Apallida	0.3430	74.4818	0.0046
c001014	Apallida	0.4906	68.8612	0.0071
c001020	Apallida	0.3671	3.3515	0.1095
c001028	Apallida	0.6905	67.3418	0.0103
c001030	Apallida	0.1934	13.9379	0.0139
c001031	Apallida	0.2614	5.0443	0.0518
c001035	Apallida	0.3496	74.6327	0.0047
c001041p	Apallida	0.7159	69.7931	0.0103
c001042	Apallida	0.1990	79.9019	0.0025
c001046	Apallida	0.7886	7.9942	0.0986
c001051p	Apallida	0.3657	3.1338	0.1167
c001053	Apallida	0.1901	17.3995	0.0109
c001056m	Apallida	0.1433	2.1572	0.0664
c001061	Apallida	0.2072	8.6827	0.0239
c001062	Apallida	0.2789	8.9260	0.0313
c001064m	Apallida	0.4832	17.3371	0.0279
c001065	Apallida	0.2895	67.0452	0.0043
c001066m	Apallida	0.9152	32.3377	0.0283
c001066p	Apallida	0.2978	39.4083	0.0076
c001073m	Apallida	0.1335	11.4836	0.0116
c001073p	Apallida	0.1816	8.1247	0.0224
c001074	Apallida	0.3781	11.5465	0.0327
c001075m	Apallida	0.2595	27.3502	0.0095
c001076p	Apallida	0.3314	29.8114	0.0111
c001077	Apallida	0.0875	73.1683	0.0012
c001078	Apallida	0.6310	68.5100	0.0092
c001083	Apallida	0.3574	8.3700	0.0427
c001087p	Apallida	0.4606	73.8048	0.0062
c001092	Apallida	0.5143	9.6234	0.0534
c001094m	Apallida	0.3593	62.1534	0.0058
c001094p	Apallida	0.0907	11.9082	0.0076
c001095	Apallida	0.1588	6.3087	0.0252
c001096	Apallida	0.4366	14.1982	0.0307
c001097	Apallida	0.3231	58.9358	0.0055
c001099	Apallida	0.4618	65.2131	0.0071
c001102	Apallida	0.1968	5.1853	0.0380
c001103p	Apallida	0.5450	15.6460	0.0348
c001108p	Apallida	0.1512	6.6423	0.0228
c001109	Apallida	0.5211	67.2669	0.0077
c001110	Apallida	0.3114	6.7108	0.0464
c001112	Apallida	0.2477	20.3588	0.0122
c001117m	Apallida	0.1099	2.7879	0.0394
c001120	Apallida	0.1587	69.5905	0.0023
c001122m	Apallida	0.4552	4.5867	0.0992
c001122p	Apallida	0.2305	26.6327	0.0087
c001125p	Apallida	0.3640	65.2283	0.0056
c001127p	Apallida	0.2125	19.6100	0.0108
c001129	Apallida	0.0513	3.0637	0.0167
c001131	Apallida	0.3321	7.4407	0.0446
c001132p	Apallida	0.3500	7.4984	0.0467
c001133	Apallida	0.3303	9.4154	0.0351
c001134p	Apallida	0.4593	5.7441	0.0800
c001136	Apallida	0.2089	36.2679	0.0058
c001140	Apallida	0.4273	8.6420	0.0494
c001142m	Apallida	0.1943	4.4103	0.0441
c001142p	Apallida	0.3569	4.7134	0.0757
c001143m	Apallida	0.2573	13.2165	0.0195
c001143p	Apallida	0.7421	12.7085	0.0584
c001145	Apallida	0.4057	62.9816	0.0064
c001146	Apallida	0.4251	16.6648	0.0255
c001148m	Apallida	0.2142	16.6548	0.0129
c001148p	Apallida	0.3684	2.9825	0.1235
c001149	Apallida	0.2673	26.2220	0.0102
c001153	Apallida	0.1431	4.1527	0.0345
c001168	Apallida	0.7807	62.0528	0.0126
c001179m	Apallida	0.2480	59.6500	0.0042
c001182	Apallida	0.2226	5.9438	0.0374
c001183	Apallida	0.1893	6.7440	0.0281
c001186	Apallida	0.3857	65.1509	0.0059
c001187p	Apallida	0.2426	82.9751	0.0029
c001193	Apallida	0.2614	50.5240	0.0052
c001196	Apallida	0.0718	4.1534	0.0173
c001200p	Apallida	0.3404	13.4389	0.0253
c001201	Apallida	0.3131	68.9841	0.0045
c001202	Apallida	0.1856	10.9859	0.0169
c001203m	Apallida	0.1328	28.9641	0.0046
c001203p	Apallida	0.1178	5.7466	0.0205
c001205m	Apallida	0.3793	69.4603	0.0055
c001206m	Apallida	0.2728	61.3872	0.0044
c001209m	Apallida	0.2502	70.1292	0.0036
c001211	Apallida	0.3570	6.7817	0.0526
c001225	Apallida	0.2482	61.8424	0.0040
c001226p	Apallida	0.3527	52.6934	0.0067
c001230	Apallida	0.1406	9.7441	0.0144
c001232m	Apallida	0.1473	3.6946	0.0399
c001233	Apallida	0.2384	15.5713	0.0153
c001235m	Apallida	0.4048	68.9620	0.0059
c001235p	Apallida	0.3095	68.0008	0.0046
c001238m	Apallida	0.5369	4.1164	0.1304
c001239	Apallida	0.2081	12.6380	0.0165
c001240	Apallida	0.3436	70.3608	0.0049
c001243p	Apallida	0.1046	4.8279	0.0217
c001245	Apallida	0.3573	12.6281	0.0283
c001253	Apallida	0.1818	62.3354	0.0029
c001255	Apallida	0.6375	56.3860	0.0113
c001257	Apallida	0.2255	12.2279	0.0184
c001262	Apallida	0.1731	11.5709	0.0150
c001264	Apallida	0.1926	69.4143	0.0028
c001274	Apallida	0.1730	78.8493	0.0022
c001275m	Apallida	0.6322	5.8980	0.1072
c001277	Apallida	0.8571	60.6649	0.0141
c001278m	Apallida	0.2000	9.6856	0.0207
c001284	Apallida	0.3706	13.8409	0.0268
c001285	Apallida	0.2516	3.9616	0.0635
c001286	Apallida	0.3520	8.1340	0.0433
c001289p	Apallida	0.3722	66.4728	0.0056
c001297	Apallida	0.3392	23.7074	0.0143
c001302m	Apallida	0.3389	18.0096	0.0188
c001306m	Apallida	0.3574	75.4145	0.0047
c001307m	Apallida	0.2559	12.2833	0.0208
c001307p	Apallida	0.0618	3.7053	0.0167
c001308	Apallida	0.4110	62.3331	0.0066
c001309m	Apallida	0.2103	66.6807	0.0032
c001313	Apallida	0.3318	69.1824	0.0048
c001320	Apallida	0.1693	9.3099	0.0182
c001322	Apallida	0.2029	69.0394	0.0029
c001323	Apallida	0.2381	6.8808	0.0346
c001324	Apallida	0.5073	11.1409	0.0455
c001325p	Apallida	0.5166	3.9706	0.1301
c001330m	Apallida	0.1780	4.0979	0.0434
c001335	Apallida	0.2145	9.3414	0.0230
c001337	Apallida	0.1698	20.8099	0.0082
c001340	Apallida	0.6121	18.5081	0.0331
c001341	Apallida	0.1454	8.5567	0.0170
c001344	Apallida	0.4703	7.6340	0.0616
c001347m	Apallida	0.1126	11.3434	0.0099
c001352	Apallida	0.2035	82.1172	0.0025
c001355p	Apallida	0.2444	8.7384	0.0280
c001357p	Apallida	0.1483	2.9961	0.0495
c001358m	Apallida	0.3072	4.1930	0.0733
c001360	Apallida	0.0792	5.2314	0.0151
c001365	Apallida	0.6094	27.0425	0.0225
c001366p	Apallida	0.0742	61.4545	0.0012
c001373m	Apallida	0.3461	69.6247	0.0050
c001379	Apallida	0.3484	67.2103	0.0052
c001384	Apallida	0.3469	42.7317	0.0081
c001390	Apallida	0.6934	60.6242	0.0114
c001392	Apallida	0.4197	71.9985	0.0058
c001393p	Apallida	0.3207	8.0510	0.0398
c001395	Apallida	0.3102	60.1222	0.0052
c001396p	Apallida	0.3117	72.9225	0.0043
c001397	Apallida	0.2700	6.6899	0.0404
c001398	Apallida	0.4988	20.8628	0.0239
c001400	Apallida	0.3738	67.8568	0.0055
c001410	Apallida	0.2594	12.7046	0.0204
c001411	Apallida	0.3385	70.4040	0.0048
c001421p	Apallida	0.5018	62.7958	0.0080
c001422m	Apallida	0.5702	4.1061	0.1389
c001423	Apallida	0.5240	10.3066	0.0508
c001424m	Apallida	0.3374	3.0849	0.1094
c001426	Apallida	0.1862	65.7914	0.0028
c001427	Apallida	0.4834	12.9135	0.0374
c001428	Apallida	0.1705	9.0716	0.0188
c001429	Apallida	0.1498	15.3781	0.0097
c001430	Apallida	0.2368	8.4732	0.0279
c001441p	Apallida	0.3435	16.9212	0.0203
c001448	Apallida	0.3788	11.8569	0.0319
c001449m	Apallida	0.1871	3.3244	0.0563
c001460	Apallida	0.4064	50.3422	0.0081
c001463	Apallida	0.0865	4.4121	0.0196
c001465	Apallida	0.2948	65.5733	0.0045
c001467	Apallida	0.2469	9.2726	0.0266
c001483	Apallida	0.1883	5.0935	0.0370
c001484p	Apallida	0.4687	60.8498	0.0077
c001486m	Apallida	0.3838	4.2026	0.0913
c001488	Apallida	0.2419	7.8247	0.0309
c001499	Apallida	0.2587	34.2838	0.0075
c001504m	Apallida	0.3954	3.7722	0.1048
c001504p	Apallida	0.3883	8.0801	0.0481
c001506	Apallida	0.3404	29.0082	0.0117
c001508	Apallida	0.4324	73.1864	0.0059
c001514p	Apallida	0.2202	79.6193	0.0028
c001519	Apallida	0.1874	7.1176	0.0263
c001524p	Apallida	0.3127	6.0406	0.0518
c001525p	Apallida	0.1734	32.8799	0.0053
c001526	Apallida	0.1826	5.7665	0.0317
c001536	Apallida	0.2392	7.1997	0.0332
c001538	Apallida	0.5748	7.8795	0.0730
c001539	Apallida	0.1525	64.5979	0.0024
c001546	Apallida	0.1752	4.8289	0.0363
c001548p	Apallida	0.2107	8.6977	0.0242
c001553	Apallida	0.3049	12.9850	0.0235
c001555p	Apallida	0.3509	67.3112	0.0052
c001557	Apallida	0.1463	9.0882	0.0161
c001562	Apallida	0.5372	67.5192	0.0080
c001566	Apallida	0.5775	7.4569	0.0774
c001572	Apallida	0.3118	16.0125	0.0195
c001575	Apallida	0.1346	61.7976	0.0022
c001587	Apallida	0.5046	4.6926	0.1075
c001590	Apallida	0.4275	64.5466	0.0066
c001597	Apallida	0.4022	6.2003	0.0649
c001600	Apallida	0.2751	64.0788	0.0043
c001603p	Apallida	0.4087	69.2569	0.0059
c001605	Apallida	0.4765	74.4906	0.0064
c001611	Apallida	0.2383	6.2547	0.0381
c001614	Apallida	0.2334	3.7285	0.0626
c001622	Apallida	0.2144	3.0574	0.0701
c001628	Apallida	0.4091	17.9884	0.0227
c001629	Apallida	0.2392	3.7576	0.0637
c001631	Apallida	0.3063	68.3355	0.0045
c001632	Apallida	0.1969	5.3803	0.0366
c001633m	Apallida	0.2011	8.4448	0.0238
c001635	Apallida	0.1776	9.8248	0.0181
c001638	Apallida	0.2414	5.7284	0.0421
c001641	Apallida	0.4250	69.0368	0.0062
c001648p	Apallida	0.3169	5.2369	0.0605
c001652p	Apallida	0.4239	17.8665	0.0237
c001665	Apallida	0.3303	13.1200	0.0252
c001668	Apallida	0.2522	4.9887	0.0506
c001670	Apallida	0.2059	5.8644	0.0351
c001673	Apallida	0.4382	10.5173	0.0417
c001678m	Apallida	0.2692	9.8669	0.0273
c001678p	Apallida	0.4448	34.7946	0.0128
c001679	Apallida	0.4692	15.0269	0.0312
c001680	Apallida	0.5569	72.2002	0.0077
c001682	Apallida	0.2447	13.3503	0.0183
c001686	Apallida	0.2118	4.5906	0.0461
c001687p	Apallida	0.2923	6.7889	0.0431
c001688m	Apallida	0.1980	3.3653	0.0588
c001688p	Apallida	0.3516	34.1518	0.0103
c001691p	Apallida	0.2418	71.9595	0.0034
c001692m	Apallida	0.2721	4.4854	0.0607
c001695	Apallida	0.4908	44.3656	0.0111
c001697p	Apallida	0.4748	69.0046	0.0069
c001698m	Apallida	0.2143	64.0393	0.0033
c001698p	Apallida	0.1795	7.1159	0.0252
c001699	Apallida	0.6407	61.5091	0.0104
c001702m	Apallida	0.1731	66.5927	0.0026
c001702p	Apallida	0.1891	12.0386	0.0157
c001704	Apallida	0.2333	6.4476	0.0362
c001708	Apallida	0.5648	21.0150	0.0269
c001709	Apallida	0.1922	2.9861	0.0644
c001714m	Apallida	0.4327	7.6314	0.0567
c001714p	Apallida	0.2805	47.1035	0.0060
c001718	Apallida	0.2211	11.3901	0.0194
c001721	Apallida	0.2018	8.5895	0.0235
c001723	Apallida	0.2233	17.1274	0.0130
c001724	Apallida	0.2243	19.1131	0.0117
c001727	Apallida	0.2497	22.9048	0.0109
c001729p	Apallida	0.4890	8.5495	0.0572
c001732	Apallida	0.4188	7.6128	0.0550
c001733p	Apallida	0.2811	66.8713	0.0042
c001737m	Apallida	0.3131	5.7597	0.0544
c001740	Apallida	0.2116	40.5552	0.0052
c001744m	Apallida	0.1644	5.5372	0.0297
c001747p	Apallida	0.2572	66.5106	0.0039
c001749	Apallida	0.5653	66.8019	0.0085
c001755	Apallida	0.1682	64.3612	0.0026
c001757	Apallida	0.3732	4.4303	0.0842
c001759	Apallida	0.4024	5.3403	0.0753
c001762m	Apallida	0.2469	5.2800	0.0468
c001762p	Apallida	0.2555	64.9066	0.0039
c001763m	Apallida	0.1238	3.9637	0.0312
c001763p	Apallida	0.3894	68.9970	0.0056
c001764m	Apallida	0.4909	66.9499	0.0073
c001764p	Apallida	0.2664	14.7809	0.0180
c001767	Apallida	0.1664	16.2395	0.0102
c001768	Apallida	0.2641	6.0769	0.0435
c001772	Apallida	0.4502	36.7528	0.0122
c001776	Apallida	0.5369	78.8283	0.0068
c001777	Apallida	0.5430	65.7432	0.0083
c001778	Apallida	0.4774	67.8243	0.0070
c001780	Apallida	0.2677	24.3382	0.0110
c001787	Apallida	0.1363	5.9571	0.0229
c001788m	Apallida	0.1277	3.4290	0.0372
c001788p	Apallida	0.2044	3.5850	0.0570
c001795m	Apallida	0.4799	7.3942	0.0649
c001796	Apallida	0.4318	75.0856	0.0058
c001805m	Apallida	0.3767	17.7548	0.0212
c001805p	Apallida	0.3829	65.9523	0.0058
c001809	Apallida	0.4634	64.2391	0.0072
c001813	Apallida	0.2478	65.5070	0.0038
c001815m	Apallida	0.2013	4.2421	0.0475
c001817	Apallida	0.2468	6.9198	0.0357
c001821	Apallida	0.6410	15.9596	0.0402
c001822p	Apallida	0.5448	68.8638	0.0079
c001824m	Apallida	0.2282	21.7259	0.0105
c001826	Apallida	0.4184	67.1431	0.0062
c001828	Apallida	0.2219	3.3529	0.0662
c001830p	Apallida	0.5959	61.8367	0.0096
c001832	Apallida	0.0963	16.4021	0.0059
c001840	Apallida	0.1088	6.1821	0.0176
c001843	Apallida	0.2898	15.8296	0.0183
c001845	Apallida	0.2305	52.4362	0.0044
c001848	Apallida	0.3249	12.3767	0.0262
c001861p	Apallida	0.3114	69.0053	0.0045
c001865	Apallida	0.2741	9.1154	0.0301
c001872	Apallida	0.2455	40.2821	0.0061
c001886	Apallida	0.4764	7.8810	0.0604
c001891	Apallida	0.3044	76.9904	0.0040
c001892	Apallida	0.2863	36.8918	0.0078
c001906	Apallida	0.3292	74.9116	0.0044
c001907	Apallida	0.1231	5.8290	0.0211
c001908m	Apallida	0.7113	65.3389	0.0109
c001912	Apallida	0.0949	66.2526	0.0014
c001919	Apallida	0.3279	7.8467	0.0418
c001920p	Apallida	0.3441	2.2643	0.1520
c001921p	Apallida	0.1528	67.8445	0.0023
c001927m	Apallida	0.2080	17.1245	0.0121
c001929	Apallida	0.5800	60.6968	0.0096
c001931	Apallida	0.3198	8.6317	0.0371
c001935	Apallida	0.3259	7.1983	0.0453
c001942	Apallida	0.3216	10.7380	0.0300
c001946m	Apallida	0.2743	68.5299	0.0040
c001950	Apallida	0.4101	67.0990	0.0061
c001951p	Apallida	0.1788	15.8140	0.0113
c001952	Apallida	0.3263	77.4391	0.0042
c001963	Apallida	0.0917	3.1737	0.0289
c001965	Apallida	0.4357	10.4255	0.0418
c001967	Apallida	0.0928	8.2151	0.0113
c001971p	Apallida	0.3988	3.6814	0.1083
c001973	Apallida	0.2460	29.0344	0.0085
c001991	Apallida	0.1680	2.1610	0.0778
c001993	Apallida	0.2029	27.0130	0.0075
c001999	Apallida	0.4658	64.0533	0.0073
c002008m	Apallida	0.3304	4.9750	0.0664
c002011	Apallida	0.3149	5.4066	0.0582
c002014	Apallida	0.0996	3.6649	0.0272
c002016	Apallida	0.1432	6.5533	0.0218
c002018	Apallida	0.2229	22.2660	0.0100
c002019p	Apallida	0.4531	16.4061	0.0276
c002024	Apallida	0.2836	15.5360	0.0183
c002036	Apallida	0.3340	21.9508	0.0152
c002037	Apallida	0.4291	7.7790	0.0552
c002038p	Apallida	0.4201	9.0182	0.0466
c002039	Apallida	0.3926	10.5557	0.0372
c002045	Apallida	0.4546	8.6185	0.0527
c002046	Apallida	0.1000	2.7070	0.0369
c002047	Apallida	0.3699	43.9770	0.0084
c002049	Apallida	0.1804	64.3523	0.0028
c002052	Apallida	0.3011	14.5662	0.0207
c002054	Apallida	0.6178	69.7745	0.0089
c002058	Apallida	0.3369	66.5198	0.0051
c002065m	Apallida	0.3990	2.7050	0.1475
c002065p	Apallida	0.4313	27.2199	0.0158
c002066m	Apallida	0.2535	11.6788	0.0217
c002066p	Apallida	0.4109	19.7350	0.0208
c002067	Apallida	0.1931	3.4131	0.0566
c002072p	Apallida	0.4160	4.2480	0.0979
c002075	Apallida	0.1288	5.7717	0.0223
c002076	Apallida	0.3401	65.8910	0.0052
c002077	Apallida	0.1970	62.8402	0.0031
c002090	Apallida	0.2771	23.7874	0.0117
c002091	Apallida	0.2922	57.2309	0.0051
c002092	Apallida	0.3452	28.1338	0.0123
c002095	Apallida	0.5473	12.8112	0.0427
c002096	Apallida	0.4455	18.0875	0.0246
c002102	Apallida	0.3838	10.0300	0.0383
c002103p	Apallida	0.1227	74.8953	0.0016
c002110	Apallida	0.3425	79.0683	0.0043
c002112	Apallida	0.2951	10.4252	0.0283
c002114	Apallida	0.4730	15.8370	0.0299
c002123m	Apallida	0.3930	4.3290	0.0908
c002129	Apallida	0.1743	4.8730	0.0358
c002130	Apallida	0.1552	3.6781	0.0422
c002136	Apallida	0.2145	17.2822	0.0124
c002137	Apallida	0.1405	20.7094	0.0068
c002145	Apallida	0.4061	10.5609	0.0385
c002149	Apallida	0.5234	13.5003	0.0388
c002150	Apallida	0.3767	9.9941	0.0377
c002157	Apallida	0.1731	16.7623	0.0103
c002158	Apallida	0.0961	4.5122	0.0213
c002159	Apallida	0.3185	3.9579	0.0805
c002161	Apallida	0.1801	4.4783	0.0402
c002165	Apallida	0.3304	8.5138	0.0388
c002168	Apallida	0.2949	15.7295	0.0188
c002170m	Apallida	0.4540	73.2730	0.0062
c002170p	Apallida	0.1782	15.3764	0.0116
c002178	Apallida	0.5539	4.6275	0.1197
c002181	Apallida	0.3532	15.9609	0.0221
c002185p	Apallida	0.0418	14.3073	0.0029
c002189	Apallida	0.1959	5.8823	0.0333
c002191	Apallida	0.1283	7.4135	0.0173
c002194	Apallida	0.4261	22.7536	0.0187
c002198	Apallida	0.2714	11.8809	0.0228
c002199	Apallida	0.6465	64.8382	0.0100
c002200	Apallida	0.4453	6.9227	0.0643
c002205	Apallida	0.3687	66.6548	0.0055
c002216	Apallida	0.3155	11.7521	0.0268
c002219m	Apallida	0.4531	19.2402	0.0236
c002220	Apallida	0.1720	27.6632	0.0062
c002223	Apallida	0.1939	12.8636	0.0151
c002225m	Apallida	0.0245	17.9063	0.0014
c002226	Apallida	0.3392	67.9625	0.0050
c002228m	Apallida	0.1316	4.1513	0.0317
c002228p	Apallida	0.4581	5.0159	0.0913
c002230	Apallida	0.5407	3.2560	0.1661
c002231	Apallida	0.6714	4.5479	0.1476
c002235	Apallida	0.1666	10.8335	0.0154
c002240	Apallida	0.6602	69.2002	0.0095
c002242	Apallida	0.3745	14.1555	0.0265
c002250	Apallida	0.0952	4.1381	0.0230
c002251p	Apallida	0.3523	2.5828	0.1364
c002252	Apallida	0.6568	24.1295	0.0272
c002254m	Apallida	0.2209	7.7551	0.0285
c002258p	Apallida	0.4811	14.2976	0.0336
c002269	Apallida	0.3059	7.8054	0.0392
c002271	Apallida	0.1596	4.7970	0.0333
c002274p	Apallida	0.4441	22.5822	0.0197
c002288p	Apallida	0.3189	11.3923	0.0280
c002290	Apallida	0.4104	66.7198	0.0062
c002293m	Apallida	0.2609	7.8212	0.0334
c002303m	Apallida	0.1721	5.0736	0.0339
c002303p	Apallida	0.2924	68.5197	0.0043
c002312	Apallida	0.2255	23.1954	0.0097
c002318m	Apallida	0.1657	5.3713	0.0309
c002319	Apallida	0.2446	14.1259	0.0173
c002322	Apallida	0.2238	44.6574	0.0050
c002324	Apallida	0.4000	72.1053	0.0055
c002326	Apallida	0.5875	2.7322	0.2150
c002327	Apallida	0.0841	8.5726	0.0098
c002328	Apallida	0.3919	19.5054	0.0201
c002329	Apallida	0.3798	5.8210	0.0652
c002331	Apallida	0.2299	6.4679	0.0355
c002332	Apallida	0.1443	68.6253	0.0021
c002333p	Apallida	0.2390	13.5378	0.0177
c002336	Apallida	0.1441	5.3222	0.0271
c002340	Apallida	0.3885	60.2430	0.0064
c002350m	Apallida	0.3221	4.8893	0.0659
c002359	Apallida	0.7721	67.1635	0.0115
c002367	Apallida	0.1713	6.5346	0.0262
c002371	Apallida	0.0755	4.5852	0.0165
c002373m	Apallida	0.4123	18.0092	0.0229
c002379	Apallida	0.3835	68.6283	0.0056
c002380	Apallida	0.1214	3.2610	0.0372
c002382	Apallida	0.1287	3.6674	0.0351
c002385	Apallida	0.1789	10.3571	0.0173
c002386	Apallida	0.1919	5.1318	0.0374
c002391	Apallida	0.1844	4.2851	0.0430
c002395	Apallida	0.3059	12.9116	0.0237
c002397	Apallida	0.1536	1.8707	0.0821
c002398	Apallida	0.1438	4.9580	0.0290
c002407	Apallida	0.1069	30.2022	0.0035
c002410	Apallida	0.3021	71.3344	0.0042
c002419	Apallida	0.1537	18.2273	0.0084
c002425	Apallida	0.3791	11.8139	0.0321
c002428m	Apallida	0.0889	5.9252	0.0150
c002429	Apallida	0.3143	68.7809	0.0046
c002431m	Apallida	0.2506	71.1058	0.0035
c002431p	Apallida	0.2450	6.2923	0.0389
c002434p	Apallida	0.4513	3.3105	0.1363
c002440m	Apallida	0.3902	87.1983	0.0045
c002441	Apallida	0.3281	54.0674	0.0061
c002451m	Apallida	0.3126	5.0129	0.0624
c002454	Apallida	0.5283	62.0837	0.0085
c002456	Apallida	0.3721	6.4984	0.0573
c002458m	Apallida	0.2406	3.8546	0.0624
c002459	Apallida	0.2082	4.0835	0.0510
c002462	Apallida	0.5420	9.1136	0.0595
c002471	Apallida	0.1248	7.1475	0.0175
c002473	Apallida	0.3326	4.4367	0.0750
c002476m	Apallida	0.3255	4.2717	0.0762
c002476p	Apallida	0.3893	7.3073	0.0533
c002479	Apallida	0.1136	16.9641	0.0067
c002480p	Apallida	0.2298	5.3169	0.0432
c002483	Apallida	0.1683	9.0638	0.0186
c002484m	Apallida	0.7125	69.5944	0.0102
c002485	Apallida	0.2745	12.0888	0.0227
c002492	Apallida	0.6063	61.8040	0.0098
c002498	Apallida	0.3069	74.7674	0.0041
c002505	Apallida	0.3613	74.3018	0.0049
c002508	Apallida	0.3126	69.9460	0.0045
c002509	Apallida	0.2193	8.2501	0.0266
c002511m	Apallida	0.2340	3.3055	0.0708
c002511p	Apallida	0.5397	50.2815	0.0107
c002512	Apallida	0.6033	19.7042	0.0306
c002515	Apallida	0.2380	7.3909	0.0322
c002516	Apallida	0.3707	68.6746	0.0054
c002518	Apallida	0.1148	55.1237	0.0021
c002521	Apallida	0.4846	5.6887	0.0852
c002528m	Apallida	0.1572	3.7783	0.0416
c002528p	Apallida	0.2089	72.6744	0.0029
c002529m	Apallida	0.0979	8.3932	0.0117
c002530	Apallida	0.2337	67.8919	0.0034
c002531	Apallida	0.3524	8.7087	0.0405
c002534	Apallida	0.3694	9.3979	0.0393
c002535	Apallida	0.3938	10.1696	0.0387
c002542	Apallida	0.2018	7.1561	0.0282
c002543	Apallida	0.3336	16.5040	0.0202
c002547	Apallida	0.5386	67.6938	0.0080
c002549	Apallida	0.3016	14.2373	0.0212
c002555m	Apallida	0.2274	32.3257	0.0070
c002563	Apallida	0.2115	4.5494	0.0465
c002568m	Apallida	0.2740	9.3597	0.0293
c002569	Apallida	0.6177	68.9004	0.0090
c002575m	Apallida	0.4886	8.3214	0.0587
c002576	Apallida	0.3817	60.7644	0.0063
c002578	Apallida	0.2555	6.3202	0.0404
c002579	Apallida	0.2556	69.6838	0.0037
c002584	Apallida	0.5670	68.2218	0.0083
c002593m	Apallida	0.7184	61.0212	0.0118
c002593p	Apallida	0.2419	3.6693	0.0659
c002594m	Apallida	0.2064	14.6362	0.0141
c002594p	Apallida	0.1821	3.7319	0.0488
c002597	Apallida	0.1856	8.8241	0.0210
c002601p	Apallida	0.1166	28.4618	0.0041
c002604	Apallida	0.1036	10.4288	0.0099
c002609p	Apallida	0.2967	11.5897	0.0256
c002611m	Apallida	0.1517	4.8364	0.0314
c002613	Apallida	0.4271	10.9990	0.0388
c002614	Apallida	0.4666	15.8874	0.0294
c002615	Apallida	0.2583	14.5589	0.0177
c002616m	Apallida	0.3595	71.2446	0.0050
c002616p	Apallida	0.0684	24.7177	0.0028
c002618	Apallida	0.2313	6.0080	0.0385
c002619	Apallida	0.1489	10.4411	0.0143
c002620	Apallida	0.2668	14.2480	0.0187
c002629	Apallida	0.2514	10.6082	0.0237
c002632	Apallida	0.2988	13.8437	0.0216
c002634	Apallida	0.3186	69.0711	0.0046
c002636m	Apallida	0.1741	9.1366	0.0191
c002639	Apallida	0.2133	64.7914	0.0033
c002640	Apallida	0.4913	56.1902	0.0087
c002651	Apallida	0.2464	20.8487	0.0118
c002654m	Apallida	0.1892	8.2725	0.0229
c002654p	Apallida	0.1918	40.7390	0.0047
c002656	Apallida	0.3887	69.1327	0.0056
c002657	Apallida	0.3286	71.4544	0.0046
c002661	Apallida	0.0705	4.2442	0.0166
c002662	Apallida	0.6074	69.9556	0.0087
c002668	Apallida	0.4005	67.5272	0.0059
c002669m	Apallida	0.3528	2.3834	0.1480
c002669p	Apallida	0.2694	17.9387	0.0150
c002678m	Apallida	0.0677	7.7439	0.0087
c002678p	Apallida	0.5484	74.7902	0.0073
c002686	Apallida	0.5405	9.5426	0.0566
c002688	Apallida	0.1429	51.1138	0.0028
