title                    	CAI	CBI	Fop	
c020293                  	0.793	0.129	0.507	
c020291                  	0.834	0.271	0.604	
c020299                  	0.768	0.128	0.506	
c036956                  	0.802	0.285	0.588	
c021749                  	0.682	0.014	0.408	
c021743                  	0.821	0.226	0.577	
c005799                  	0.777	0.106	0.496	
c009234                  	0.743	-0.061	0.421	
c009236                  	0.777	-0.043	0.417	
c009230                  	0.789	0.205	0.555	
c005790                  	0.757	0.045	0.464	
c007591                  	0.818	0.096	0.496	
c014859                  	0.758	-0.009	0.457	
c014854                  	0.792	0.215	0.571	
c014852                  	0.794	0.234	0.570	
c005025                  	0.748	0.025	0.454	
c005027                  	0.728	0.032	0.465	
c005021                  	0.802	0.145	0.510	
c005023                  	0.737	-0.047	0.422	
c005028                  	0.776	0.103	0.494	
c046607                  	0.656	-0.223	0.291	
c046603                  	0.834	0.382	0.653	
c042739                  	0.737	-0.053	0.444	
c016182                  	0.778	0.096	0.498	
c016180                  	0.719	-0.028	0.433	
c016187                  	0.741	0.064	0.467	
c016188                  	0.780	0.145	0.521	
c006001                  	0.732	0.035	0.455	
c017230                  	0.760	0.147	0.510	
c015074                  	0.745	0.032	0.447	
c043462                  	0.751	-0.152	0.356	
c012860                  	0.775	0.145	0.537	
c012862                  	0.818	0.228	0.558	
c012864                  	0.814	0.304	0.613	
c012866                  	0.760	0.151	0.519	
c016766                  	0.766	0.078	0.483	
c016764                  	0.826	0.139	0.519	
c016762                  	0.767	0.201	0.546	
c016760                  	0.759	0.002	0.440	
c016768                  	0.754	0.084	0.490	
c008516                  	0.754	0.100	0.496	
c000718                  	0.781	0.196	0.527	
c036757                  	0.751	-0.122	0.343	
c045956                  	0.722	0.134	0.512	
c014034                  	0.730	-0.033	0.461	
c014036                  	0.821	0.411	0.667	
c014030                  	0.780	0.165	0.523	
c014032                  	0.746	0.073	0.480	
c010729                  	0.772	0.149	0.514	
c010725                  	0.793	0.171	0.524	
c010727                  	0.812	0.187	0.543	
c010721                  	0.695	-0.019	0.402	
c010723                  	0.784	0.099	0.494	
c054156                  	0.788	0.313	0.618	
c047799                  	0.721	-0.052	0.402	
c016070                  	0.766	0.177	0.512	
c001111                  	0.790	0.218	0.565	
c000665p                 	0.744	0.026	0.451	
c030610                  	0.795	0.250	0.594	
c030617                  	0.783	0.359	0.633	
c035227                  	0.781	-0.132	0.390	
c035229                  	0.803	0.212	0.557	
c019408                  	0.765	0.011	0.403	
c037976                  	0.723	0.106	0.462	
c037972                  	0.724	-0.116	0.419	
c017567                  	0.786	0.133	0.522	
c017563                  	0.774	-0.025	0.434	
c017561                  	0.783	0.126	0.500	
c003339                  	0.764	0.138	0.484	
c003333                  	0.740	-0.041	0.419	
c003331                  	0.766	0.090	0.486	
c003337                  	0.760	0.045	0.462	
c003335                  	0.763	0.099	0.481	
c039433                  	0.748	0.114	0.500	
c001799                  	0.798	0.122	0.504	
c023366                  	0.656	-0.244	0.315	
c001793                  	0.755	0.151	0.514	
c001790                  	0.722	-0.007	0.431	
c001794                  	0.723	0.037	0.428	
c015847                  	0.725	0.080	0.477	
c015845                  	0.783	0.191	0.542	
c015843                  	0.757	0.026	0.449	
c015841                  	0.773	0.026	0.449	
c015849                  	0.758	0.088	0.489	
c003082                  	0.738	0.042	0.448	
c003084                  	0.800	0.258	0.563	
c003089                  	0.777	0.150	0.500	
c007792                  	0.729	-0.054	0.411	
c012479                  	0.793	0.101	0.488	
c007798                  	0.772	0.135	0.523	
c012475                  	0.785	0.023	0.449	
c012473                  	0.777	0.007	0.465	
c012471                  	0.796	0.231	0.552	
c001296p                 	0.725	0.070	0.480	
c001599m                 	0.753	-0.005	0.426	
c001296m                 	0.769	0.084	0.496	
c008656                  	0.773	0.126	0.485	
c029248                  	0.678	-0.026	0.416	
c029242                  	0.743	0.031	0.459	
c000681                  	0.703	-0.217	0.307	
c029245                  	0.808	0.265	0.595	
c038342                  	0.743	-0.022	0.426	
c038348                  	0.770	0.080	0.479	
c004557p                 	0.768	0.128	0.514	
c006229                  	0.750	0.122	0.503	
c006223                  	0.756	0.081	0.472	
c006221                  	0.774	0.131	0.520	
c006227                  	0.791	0.261	0.567	
c006225                  	0.726	0.089	0.492	
c008306                  	0.799	0.144	0.521	
c008304                  	0.709	0.014	0.433	
c007170                  	0.765	0.113	0.484	
c008300                  	0.772	0.138	0.526	
c008309                  	0.713	0.028	0.462	
c008653                  	0.770	0.129	0.512	
c019629                  	0.775	0.082	0.477	
c019627                  	0.788	0.098	0.500	
c019621                  	0.795	0.198	0.556	
c013878                  	0.733	-0.056	0.401	
c013870                  	0.721	-0.140	0.377	
c013872                  	0.759	0.100	0.502	
c013874                  	0.820	0.241	0.582	
c013876                  	0.781	0.159	0.527	
c013014                  	0.800	0.201	0.554	
c004490m                 	0.756	0.074	0.491	
c054032                  	0.739	-0.088	0.411	
c037128                  	0.747	0.239	0.575	
c005788p                 	0.778	0.199	0.558	
c003648p                 	0.809	-0.013	0.442	
c028585                  	0.752	0.038	0.455	
c040737                  	0.782	0.234	0.579	
c040732                  	0.813	0.133	0.507	
c004578                  	0.717	0.046	0.434	
c018287                  	0.755	0.017	0.434	
c018282                  	0.769	0.020	0.478	
c018280                  	0.745	-0.013	0.439	
c018288                  	0.780	-0.003	0.442	
c033820                  	0.692	0.093	0.430	
c032953                  	0.755	0.107	0.506	
c004128p                 	0.793	0.287	0.586	
c033826                  	0.682	-0.006	0.434	
c036251                  	0.753	0.140	0.524	
c030554                  	0.736	0.129	0.527	
c030551                  	0.793	0.224	0.566	
c005226                  	0.776	0.124	0.510	
c005223                  	0.760	0.050	0.454	
c005220                  	0.783	0.166	0.535	
c005228                  	0.736	0.022	0.444	
c001840                  	0.767	0.074	0.471	
c004903                  	0.797	0.116	0.494	
c004907                  	0.742	0.040	0.460	
c004909                  	0.801	0.126	0.500	
c011874m                 	0.712	-0.044	0.412	
c011874p                 	0.712	-0.044	0.412	
c024715                  	0.729	0.082	0.450	
c024713                  	0.737	0.064	0.486	
c024711                  	0.769	0.047	0.458	
c024719                  	0.749	0.134	0.486	
c003259                  	0.791	0.233	0.567	
c012693                  	0.732	0.066	0.480	
c011912m                 	0.712	0.006	0.444	
c001705m                 	0.712	0.029	0.444	
c022410                  	0.784	0.003	0.444	
c022416                  	0.784	0.041	0.471	
c022414                  	0.724	-0.060	0.400	
c026718                  	0.796	0.255	0.608	
c026712                  	0.701	-0.033	0.447	
c029983                  	0.817	0.333	0.631	
c015944                  	0.721	0.024	0.434	
c033147                  	0.738	-0.012	0.434	
c033145                  	0.782	0.103	0.512	
c033148                  	0.720	-0.013	0.429	
c010255                  	0.725	0.032	0.449	
c010253                  	0.745	0.010	0.457	
c022664                  	0.775	0.150	0.531	
c004670                  	0.767	0.106	0.500	
c042481                  	0.668	-0.078	0.389	
c042488                  	0.714	0.132	0.511	
c053819                  	0.728	0.385	0.636	
c053811                  	0.773	-0.358	0.244	
c027930                  	0.754	0.064	0.473	
c027935                  	0.752	0.234	0.564	
c020627                  	0.748	0.197	0.551	
c020625                  	0.794	0.120	0.505	
c020623                  	0.764	0.066	0.447	
c002798p                 	0.702	-0.018	0.424	
c009444                  	0.757	0.123	0.508	
c003355m                 	0.794	0.203	0.551	
c004638                  	0.723	0.027	0.466	
c004635                  	0.752	0.054	0.457	
c004633                  	0.786	0.139	0.511	
c004631                  	0.783	0.150	0.521	
c009409                  	0.737	0.204	0.555	
c009407                  	0.699	-0.024	0.426	
c009402                  	0.754	0.073	0.466	
c009400                  	0.783	0.149	0.531	
c023511                  	0.811	0.199	0.556	
c012714                  	0.728	0.093	0.476	
c026037                  	0.711	0.010	0.450	
c023515                  	0.750	0.173	0.536	
c053108                  	0.726	-0.067	0.406	
c017175                  	0.754	0.045	0.449	
c012719                  	0.710	0.074	0.476	
c002575m                 	0.769	0.144	0.522	
c045459                  	0.825	0.218	0.574	
c017464                  	0.799	0.168	0.556	
c017465                  	0.786	0.161	0.526	
c021286                  	0.772	0.141	0.527	
c021283                  	0.735	0.079	0.477	
c021281                  	0.741	0.065	0.464	
c015051                  	0.783	0.114	0.495	
c000734m                 	0.719	0.081	0.452	
c047167                  	0.736	-0.012	0.462	
c047165                  	0.710	-0.299	0.261	
c047169                  	0.783	-0.036	0.417	
c022887                  	0.720	0.010	0.432	
c010180                  	0.770	0.125	0.515	
c028439                  	0.795	0.220	0.558	
c037326                  	0.801	0.240	0.573	
c039210                  	0.722	0.108	0.522	
c044439                  	0.748	0.098	0.482	
c049614                  	0.642	-0.389	0.220	
c018049                  	0.794	0.182	0.549	
c015558                  	0.752	-0.082	0.396	
c000780                  	0.743	-0.016	0.434	
c015555                  	0.781	0.167	0.541	
c015557                  	0.792	0.274	0.591	
c015551                  	0.779	0.141	0.513	
c015553                  	0.719	0.024	0.433	
c011648                  	0.757	0.069	0.459	
c025177                  	0.698	-0.126	0.364	
c011645                  	0.709	0.056	0.458	
c011647                  	0.780	0.151	0.519	
c011643                  	0.786	0.179	0.534	
c036093                  	0.754	0.121	0.531	
c036097                  	0.783	0.162	0.515	
c036095                  	0.742	-0.039	0.424	
c029869                  	0.803	0.015	0.433	
c000788                  	0.747	0.050	0.452	
c029861                  	0.762	-0.087	0.402	
c029864                  	0.690	-0.069	0.387	
c040434                  	0.799	0.121	0.521	
c040436                  	0.851	0.351	0.629	
c040438                  	0.785	-0.012	0.423	
c038063                  	0.808	0.112	0.521	
c031771                  	0.794	0.054	0.471	
c035012                  	0.791	0.112	0.504	
c002611m                 	0.810	0.201	0.562	
c014607                  	0.710	0.020	0.458	
c014605                  	0.795	0.124	0.514	
c014603                  	0.742	0.016	0.461	
c014601                  	0.716	-0.007	0.440	
c010516                  	0.786	0.215	0.543	
c010514                  	0.758	0.065	0.473	
c010512                  	0.749	-0.063	0.413	
c010510                  	0.787	0.123	0.508	
c005171                  	0.729	0.059	0.447	
c002252                  	0.788	0.142	0.519	
c002257                  	0.746	0.070	0.470	
c004237                  	0.707	0.065	0.442	
c041342                  	0.788	-0.200	0.350	
c006860                  	0.778	0.174	0.549	
c030023                  	0.801	0.225	0.549	
c031395                  	0.757	0.270	0.562	
c028014                  	0.787	0.293	0.602	
c028016                  	0.770	0.068	0.460	
c028010                  	0.780	0.140	0.521	
c028012                  	0.833	0.253	0.601	
c048374                  	0.785	0.143	0.506	
c001484p                 	0.728	-0.042	0.422	
c006189                  	0.791	0.160	0.532	
c006187                  	0.778	0.173	0.529	
c006185                  	0.733	-0.018	0.421	
c006182                  	0.722	0.007	0.435	
c006180                  	0.767	0.092	0.492	
c008809                  	0.760	-0.058	0.428	
c017079                  	0.704	0.029	0.439	
c019587                  	0.795	0.212	0.544	
c019585                  	0.759	0.025	0.459	
c003691                  	0.796	0.217	0.565	
c003693                  	0.788	0.144	0.517	
c003697                  	0.769	0.159	0.528	
c007580                  	0.760	0.099	0.506	
c007583                  	0.782	0.071	0.479	
c007585                  	0.760	0.068	0.479	
c012604                  	0.756	0.165	0.538	
c026551                  	0.734	0.084	0.506	
c033401                  	0.695	-0.298	0.250	
c024825                  	0.755	0.080	0.500	
c024827                  	0.803	0.137	0.516	
c024821                  	0.731	0.095	0.485	
c024823                  	0.753	0.023	0.458	
c026084                  	0.714	-0.102	0.395	
c026087                  	0.767	0.046	0.459	
c026083                  	0.761	-0.087	0.411	
c029057                  	0.809	0.073	0.482	
c033302                  	0.761	0.077	0.476	
c008116                  	0.764	0.022	0.465	
c008114                  	0.710	0.048	0.468	
c008110                  	0.747	0.013	0.451	
c008119                  	0.739	-0.127	0.368	
c000342                  	0.710	0.019	0.438	
c000347                  	0.732	0.007	0.448	
c000344                  	0.743	0.092	0.483	
c000348                  	0.729	0.032	0.450	
c019058                  	0.764	0.142	0.502	
c019050                  	0.796	0.149	0.520	
c048201                  	0.741	0.127	0.526	
c048205                  	0.802	0.074	0.480	
c049553                  	0.746	0.146	0.526	
c018322                  	0.714	-0.032	0.417	
c018324                  	0.722	0.114	0.469	
c018326                  	0.834	0.228	0.548	
c005524                  	0.812	0.260	0.584	
c005528                  	0.763	0.128	0.509	
c005847                  	0.755	0.129	0.491	
c052409                  	0.778	0.143	0.519	
c052407                  	0.771	0.239	0.576	
c005176                  	0.773	0.095	0.487	
c028873                  	0.771	0.090	0.492	
c028871                  	0.764	-0.209	0.338	
c028877                  	0.677	-0.063	0.396	
c028875                  	0.758	0.075	0.480	
c028879                  	0.727	0.056	0.456	
c028570                  	0.815	0.073	0.476	
c031035                  	0.744	0.011	0.459	
c031037                  	0.790	0.160	0.534	
c031033                  	0.839	0.337	0.630	
c031039                  	0.720	0.136	0.510	
c028579                  	0.736	-0.045	0.431	
c003904p                 	0.775	0.092	0.487	
c003934                  	0.750	0.071	0.487	
c003931                  	0.776	0.149	0.522	
c003933                  	0.819	0.224	0.550	
c003938                  	0.763	0.154	0.524	
c000106m                 	0.777	0.053	0.468	
c029101                  	0.829	0.354	0.636	
c021040                  	0.767	0.089	0.500	
c021046                  	0.818	0.262	0.598	
c021048                  	0.808	0.172	0.552	
c031538                  	0.783	0.158	0.536	
c010402m                 	0.793	0.172	0.532	
c025634                  	0.769	0.020	0.474	
c025635                  	0.763	0.347	0.579	
c025630                  	0.756	0.079	0.482	
c010308m                 	0.765	0.086	0.485	
c009373                  	0.727	0.061	0.459	
c025346                  	0.804	0.155	0.519	
c025342                  	0.807	0.214	0.561	
c025340                  	0.624	-0.079	0.342	
c025348                  	0.733	-0.034	0.442	
c039580                  	0.742	0.111	0.464	
c010679                  	0.755	0.061	0.471	
c034518                  	0.782	0.280	0.593	
c008245                  	0.738	0.020	0.428	
c011007                  	0.736	-0.066	0.418	
c011001                  	0.811	0.206	0.569	
c017714                  	0.756	0.178	0.541	
c017716                  	0.774	0.072	0.477	
c017710                  	0.782	0.220	0.577	
c017712                  	0.807	0.421	0.682	
c002769p                 	0.775	0.120	0.503	
c023778                  	0.725	0.023	0.447	
c023770                  	0.782	0.143	0.515	
c023775                  	0.789	0.224	0.569	
c023777                  	0.756	0.159	0.528	
c027054                  	0.699	-0.127	0.355	
c027056                  	0.768	0.141	0.525	
c027058                  	0.702	-0.071	0.381	
c000932m                 	0.724	0.025	0.431	
c011310m                 	0.787	0.081	0.506	
c016844                  	0.704	-0.080	0.384	
c016840                  	0.752	-0.016	0.443	
c027585                  	0.738	0.104	0.524	
c027581                  	0.717	-0.053	0.420	
c051605                  	0.780	0.172	0.527	
c051601                  	0.738	0.102	0.508	
c009757                  	0.769	-0.008	0.435	
c050555                  	0.721	0.153	0.517	
c050551                  	0.822	0.259	0.591	
c009755                  	0.749	0.056	0.469	
c014569                  	0.720	-0.178	0.357	
c014567                  	0.780	0.180	0.530	
c014560                  	0.744	0.112	0.487	
c001119                  	0.735	0.086	0.473	
c004986m                 	0.785	0.163	0.531	
c020582                  	0.719	-0.136	0.358	
c020580                  	0.755	0.108	0.507	
c020586                  	0.734	-0.055	0.407	
c020584                  	0.733	0.003	0.438	
c020588                  	0.775	0.049	0.487	
c001764p                 	0.705	-0.081	0.404	
c020058                  	0.747	0.063	0.484	
c043891                  	0.735	0.019	0.449	
c020050                  	0.750	0.091	0.489	
c020052                  	0.816	0.194	0.550	
c043548                  	0.727	0.155	0.523	
c011866                  	0.782	0.229	0.581	
c011860                  	0.734	0.026	0.450	
c043542                  	0.748	0.036	0.484	
c007342                  	0.758	0.129	0.500	
c007340                  	0.756	0.156	0.510	
c007346                  	0.763	0.105	0.496	
c007344                  	0.796	0.142	0.529	
c000435                  	0.766	0.096	0.481	
c007349                  	0.780	0.168	0.529	
c019932                  	0.758	0.132	0.497	
c047248                  	0.816	0.204	0.548	
c001524p                 	0.763	0.131	0.493	
c019931                  	0.743	-0.042	0.420	
c037026                  	0.758	0.152	0.509	
c021320                  	0.706	0.110	0.487	
c021322                  	0.758	-0.011	0.444	
c016175                  	0.740	0.179	0.508	
c019212                  	0.793	0.165	0.524	
c019210                  	0.812	0.250	0.582	
c019216                  	0.761	-0.018	0.433	
c019214                  	0.763	-0.054	0.400	
c041564                  	0.757	-0.021	0.415	
c041568                  	0.756	0.342	0.616	
c049772                  	0.756	0.095	0.479	
c048773                  	0.796	0.096	0.514	
c048771                  	0.691	-0.029	0.448	
c047797                  	0.673	0.189	0.565	
c044265                  	0.752	0.030	0.473	
c000023                  	0.762	0.078	0.483	
c000021                  	0.715	-0.111	0.361	
c000027                  	0.767	0.107	0.490	
c000025                  	0.742	0.075	0.463	
c000029                  	0.784	0.064	0.475	
c054646                  	0.711	0.059	0.492	
c031637                  	0.749	0.063	0.485	
c028588                  	0.794	0.103	0.510	
c031632                  	0.748	0.025	0.456	
c031630                  	0.767	0.205	0.556	
c017126                  	0.744	0.017	0.442	
c028587                  	0.742	0.035	0.458	
c017125                  	0.761	0.123	0.511	
c023173                  	0.796	0.122	0.533	
c012335                  	0.756	0.136	0.502	
c017122                  	0.795	0.095	0.498	
c035935                  	0.779	0.150	0.506	
c017385                  	0.723	0.012	0.418	
c012015                  	0.762	0.234	0.556	
c004905                  	0.782	0.113	0.504	
c017384                  	0.808	0.194	0.553	
c004908                  	0.712	-0.087	0.370	
c049020                  	0.745	0.017	0.424	
c006625p                 	0.811	0.224	0.564	
c012591m                 	0.729	0.035	0.443	
c029989                  	0.706	-0.093	0.380	
c008857m                 	0.733	0.204	0.556	
c021589                  	0.747	0.052	0.476	
c000188m                 	0.759	0.124	0.500	
c001089                  	0.645	-0.261	0.287	
c030182                  	0.697	-0.071	0.389	
c015733                  	0.777	0.194	0.554	
c001083                  	0.711	-0.047	0.413	
c050218                  	0.850	0.408	0.676	
c001085                  	0.772	0.114	0.509	
c021582                  	0.839	0.188	0.551	
c021583                  	0.816	0.226	0.581	
c031585                  	0.851	0.154	0.534	
c031581                  	0.717	-0.123	0.339	
c031583                  	0.764	0.147	0.518	
c030278                  	0.734	-0.011	0.423	
c005046                  	0.714	0.023	0.433	
c030276                  	0.839	0.292	0.622	
c038068                  	0.763	0.042	0.471	
c002198                  	0.754	0.058	0.469	
c002196                  	0.747	0.028	0.463	
c002190                  	0.763	0.110	0.488	
c002192                  	0.756	0.099	0.487	
c000608p                 	0.771	0.028	0.460	
c000979                  	0.774	0.121	0.496	
c000977                  	0.769	0.135	0.495	
c000971                  	0.717	0.044	0.443	
c001629                  	0.743	0.082	0.471	
c001625                  	0.692	-0.080	0.389	
c001623                  	0.806	0.217	0.563	
c001621                  	0.741	0.067	0.464	
c002442                  	0.762	0.061	0.472	
c002447                  	0.785	0.123	0.514	
c006539                  	0.757	0.082	0.485	
c006533                  	0.767	0.110	0.500	
c006531                  	0.752	0.135	0.517	
c006537                  	0.747	0.092	0.497	
c011688                  	0.743	0.049	0.480	
c010211p                 	0.744	0.032	0.448	
c013769                  	0.730	-0.007	0.427	
c028208                  	0.806	0.379	0.653	
c025638                  	0.733	0.176	0.543	
c013763                  	0.734	0.078	0.445	
c013764                  	0.734	0.090	0.480	
c013766                  	0.755	0.092	0.500	
c034756                  	0.764	0.050	0.450	
c034754                  	0.730	0.063	0.464	
c034750                  	0.770	0.180	0.508	
c026930                  	0.640	-0.454	0.226	
c032758                  	0.782	0.264	0.562	
c032754                  	0.753	0.218	0.548	
c032756                  	0.760	0.230	0.514	
c032750                  	0.749	0.056	0.488	
c032752                  	0.747	0.012	0.445	
c003714                  	0.735	0.039	0.429	
c003712                  	0.746	0.082	0.488	
c003718                  	0.764	0.083	0.484	
c007665                  	0.731	0.077	0.459	
c007666                  	0.765	0.169	0.519	
c007663                  	0.757	0.131	0.502	
c007669                  	0.738	0.030	0.456	
c000067p                 	0.755	0.120	0.494	
c028195                  	0.760	0.051	0.452	
c012018                  	0.781	0.183	0.537	
c029159                  	0.758	0.061	0.478	
c023171                  	0.766	0.050	0.472	
c012014                  	0.788	0.171	0.528	
c023175                  	0.748	0.085	0.475	
c017105                  	0.794	0.071	0.488	
c004044                  	0.768	0.103	0.500	
c004042                  	0.753	0.018	0.439	
c004048                  	0.807	0.104	0.503	
c007124p                 	0.787	0.006	0.448	
c000702p                 	0.737	0.007	0.430	
c007124m                 	0.717	0.022	0.439	
c030604                  	0.723	0.098	0.484	
c009148                  	0.768	0.098	0.470	
c009146                  	0.779	0.179	0.532	
c009144                  	0.752	0.120	0.514	
c009142                  	0.743	0.003	0.439	
c002947                  	0.761	0.200	0.541	
c002945                  	0.735	0.021	0.444	
c002943                  	0.779	0.098	0.497	
c002941                  	0.758	0.035	0.455	
c018763                  	0.785	0.116	0.506	
c001505                  	0.740	0.020	0.449	
c034856                  	0.746	0.099	0.492	
c005717                  	0.793	0.157	0.528	
c005715                  	0.759	0.006	0.446	
c005713                  	0.794	0.110	0.504	
c005711                  	0.720	0.012	0.422	
c005719                  	0.733	0.072	0.459	
c031912                  	0.726	-0.014	0.452	
c016034                  	0.785	0.068	0.479	
c002592p                 	0.776	0.176	0.534	
c020212                  	0.744	0.083	0.505	
c020216                  	0.738	0.230	0.569	
c020214                  	0.752	0.069	0.469	
c037306                  	0.798	0.322	0.617	
c009850                  	0.744	-0.017	0.437	
c009853                  	0.782	0.103	0.500	
c009855                  	0.765	0.060	0.472	
c009857                  	0.740	-0.138	0.371	
c007511                  	0.814	0.175	0.541	
c029511                  	0.751	-0.010	0.430	
c002538p                 	0.790	0.153	0.518	
c002438m                 	0.816	0.232	0.565	
c048110                  	0.813	0.025	0.475	
c019344                  	0.746	0.019	0.426	
c050951                  	0.671	-0.138	0.312	
c050957                  	0.724	0.017	0.468	
c019349                  	0.824	0.339	0.633	
c013479                  	0.773	0.139	0.532	
c047137                  	0.767	0.000	0.432	
c024226                  	0.759	0.250	0.577	
c024222                  	0.776	0.018	0.444	
c024220                  	0.702	-0.080	0.386	
c022301                  	0.738	0.202	0.569	
c022307                  	0.689	-0.048	0.408	
c022309                  	0.779	0.126	0.497	
c035265                  	0.746	-0.037	0.430	
c018036                  	0.715	0.003	0.421	
c016270                  	0.753	0.054	0.472	
c016272                  	0.802	0.188	0.548	
c018038                  	0.730	0.076	0.457	
c016276                  	0.745	0.020	0.450	
c016278                  	0.757	0.067	0.485	
c014349                  	0.793	0.096	0.498	
c014347                  	0.824	0.218	0.565	
c014345                  	0.782	0.121	0.505	
c014343                  	0.798	0.206	0.556	
c014341                  	0.805	0.175	0.528	
c007658                  	0.729	0.089	0.466	
c010553                  	0.721	-0.034	0.427	
c009347p                 	0.811	0.236	0.585	
c017698                  	0.734	0.063	0.477	
c017692                  	0.715	-0.149	0.346	
c017696                  	0.738	0.166	0.536	
c005600p                 	0.803	0.141	0.529	
c004557m                 	0.716	0.051	0.462	
c011238                  	0.733	0.015	0.447	
c011233                  	0.776	0.022	0.456	
c011235                  	0.771	0.092	0.494	
c011237                  	0.724	-0.032	0.424	
c010148                  	0.800	0.190	0.549	
c010142                  	0.714	-0.094	0.380	
c010144                  	0.747	0.078	0.478	
c010146                  	0.781	0.271	0.594	
c028704                  	0.730	0.066	0.483	
c047873                  	0.813	0.294	0.592	
c047879                  	0.748	0.118	0.505	
c054841                  	0.814	-0.008	0.500	
c054843                  	0.765	-0.138	0.384	
c054847                  	0.768	0.016	0.444	
c028706                  	0.812	-0.034	0.425	
c031406                  	0.746	0.081	0.500	
c050167                  	0.800	0.156	0.526	
c050165                  	0.794	0.028	0.476	
c027222                  	0.853	0.463	0.700	
c027220                  	0.789	0.260	0.593	
c027224                  	0.820	0.246	0.556	
c013220                  	0.759	-0.060	0.413	
c037871                  	0.758	-0.152	0.360	
c006734                  	0.795	0.155	0.529	
c006736                  	0.799	0.269	0.580	
c006730                  	0.762	0.161	0.526	
c006732                  	0.719	-0.185	0.355	
c006738                  	0.734	0.094	0.467	
c000602                  	0.759	0.118	0.500	
c000600                  	0.736	0.066	0.462	
c000607                  	0.777	0.125	0.496	
c000605                  	0.788	0.111	0.499	
c000609                  	0.712	-0.032	0.414	
c020218                  	0.702	-0.101	0.367	
c044838                  	0.770	0.298	0.603	
c013568                  	0.708	-0.002	0.435	
c013562                  	0.778	0.217	0.561	
c013560                  	0.774	0.268	0.600	
c013566                  	0.784	0.131	0.521	
c013564                  	0.696	0.004	0.422	
c020210                  	0.753	0.064	0.480	
c016254                  	0.759	0.168	0.518	
c007467                  	0.711	-0.044	0.399	
c007465                  	0.753	0.022	0.458	
c007463                  	0.726	-0.035	0.432	
c007461                  	0.739	-0.042	0.443	
c007468                  	0.752	-0.010	0.440	
c001958                  	0.779	0.128	0.503	
c001954                  	0.780	0.070	0.481	
c001950                  	0.757	0.058	0.465	
c001952                  	0.785	0.151	0.515	
c045748                  	0.756	-0.008	0.438	
c045746                  	0.853	0.500	0.730	
c048635                  	0.731	0.135	0.511	
c048631                  	0.786	0.064	0.479	
c018399                  	0.798	0.123	0.510	
c048638                  	0.677	-0.136	0.366	
c040003                  	0.800	0.023	0.462	
c047059                  	0.616	-0.141	0.372	
c018573                  	0.768	0.140	0.493	
c018575                  	0.736	0.024	0.458	
c018577                  	0.754	-0.012	0.439	
c018579                  	0.718	0.195	0.534	
c001851                  	0.765	0.122	0.500	
c021901                  	0.731	0.077	0.487	
c022396                  	0.727	-0.112	0.384	
c022397                  	0.690	-0.052	0.377	
c013192                  	0.773	0.171	0.545	
c013191                  	0.797	0.164	0.525	
c037705                  	0.805	0.402	0.660	
c037701                  	0.792	0.152	0.531	
c013195                  	0.712	0.016	0.430	
c031287                  	0.709	-0.065	0.409	
c031289                  	0.845	0.101	0.517	
c007205                  	0.714	0.022	0.453	
c008255                  	0.772	0.130	0.510	
c008254                  	0.708	0.030	0.462	
c049273                  	0.712	0.101	0.435	
c012384                  	0.778	0.047	0.472	
c028424                  	0.715	0.011	0.464	
c028426                  	0.783	0.123	0.516	
c054452                  	0.752	-0.141	0.370	
c012382                  	0.759	0.124	0.504	
c031463                  	0.719	0.129	0.500	
c031461                  	0.739	0.022	0.443	
c031469                  	0.728	0.066	0.475	
c039674                  	0.792	0.216	0.574	
c039678                  	0.769	0.094	0.508	
c035703                  	0.713	0.105	0.528	
c035709                  	0.661	-0.100	0.378	
c011504                  	0.780	0.133	0.515	
c001128                  	0.787	0.191	0.540	
c001124                  	0.776	0.089	0.489	
c001126                  	0.741	0.013	0.448	
c001120                  	0.774	0.244	0.570	
c040580                  	0.764	0.037	0.444	
c040582                  	0.655	-0.314	0.262	
c034367                  	0.683	0.059	0.478	
c024420                  	0.742	0.146	0.508	
c024422                  	0.748	-0.200	0.316	
c024424                  	0.802	0.138	0.522	
c024428                  	0.708	-0.051	0.411	
c019133                  	0.760	0.090	0.493	
c026868                  	0.704	-0.065	0.383	
c026866                  	0.700	0.034	0.437	
c026864                  	0.729	-0.082	0.410	
c026862                  	0.767	0.175	0.533	
c026860                  	0.607	0.024	0.412	
c024799                  	0.769	0.170	0.551	
c002366                  	0.794	0.241	0.562	
c002364                  	0.747	0.090	0.492	
c002362                  	0.791	0.120	0.505	
c002360                  	0.774	0.105	0.506	
c006475                  	0.744	0.013	0.448	
c006473                  	0.703	-0.002	0.422	
c006471                  	0.760	0.087	0.500	
c034945                  	0.738	0.067	0.481	
c026793                  	0.766	0.239	0.558	
c033636                  	0.719	-0.017	0.414	
c033630                  	0.804	0.152	0.519	
c033632                  	0.770	0.118	0.505	
c009225                  	0.765	0.221	0.564	
c022145                  	0.777	-0.053	0.410	
c022143                  	0.724	-0.089	0.392	
c008427                  	0.777	0.116	0.503	
c008425                  	0.775	0.125	0.516	
c008420                  	0.732	0.067	0.484	
c008428                  	0.738	0.002	0.441	
c037981                  	0.732	0.046	0.439	
c048910                  	0.722	0.019	0.447	
c025449                  	0.687	-0.190	0.321	
c022493                  	0.814	0.249	0.566	
c022491                  	0.762	0.039	0.461	
c022496                  	0.731	-0.004	0.429	
c026139                  	0.787	0.259	0.552	
c023329                  	0.790	0.228	0.562	
