isogroup20776	Signal transduction mechanisms
isogroup487	Signal transduction mechanisms
isogroup16642	Cytoskeleton
isogroup8801	Secondary metabolites biosynthesis, transport and catabolism
isogroup1934	Signal transduction mechanisms
isogroup10213	Amino acid transport and metabolism
isogroup18523	Lipid transport and metabolism
isogroup5509	Transcription
isogroup3559	Lipid transport and metabolism
isogroup1570	Intracellular trafficking, secretion, and vesicular transport
isogroup12034	Carbohydrate transport and metabolism
isogroup3625	Transcription
isogroup16780	Cytoskeleton
isogroup1589	Transcription
isogroup17277	Intracellular trafficking, secretion, and vesicular transport
isogroup17211	Signal transduction mechanisms
isogroup2862	Chromatin structure and dynamics
isogroup9108	Energy production and conversion
isogroup43161	Translation, ribosomal structure and biogenesis
isogroup6536	Signal transduction mechanisms
isogroup17464	Nuclear structure
isogroup17464	Intracellular trafficking, secretion, and vesicular transport
isogroup31127	Signal transduction mechanisms
isogroup31127	Inorganic ion transport and metabolism
isogroup26310	Amino acid transport and metabolism
isogroup17711	Posttranslational modification, protein turnover, chaperones
isogroup8592	Signal transduction mechanisms
isogroup35890	Signal transduction mechanisms
isogroup18737	Amino acid transport and metabolism
isogroup24841	Lipid transport and metabolism
isogroup36578	Cell cycle control, cell division, chromosome partitioning
isogroup31245	Extracellular structures
isogroup2158	Translation, ribosomal structure and biogenesis
isogroup31836	Replication, recombination and repair
isogroup319	Posttranslational modification, protein turnover, chaperones
isogroup33205	Translation, ribosomal structure and biogenesis
isogroup9938	Replication, recombination and repair
isogroup9938	Signal transduction mechanisms
isogroup23072	Posttranslational modification, protein turnover, chaperones
isogroup10485	Energy production and conversion
isogroup15176	Intracellular trafficking, secretion, and vesicular transport
isogroup1499.1	Cytoskeleton
isogroup9911	Posttranslational modification, protein turnover, chaperones
isogroup7034	Cytoskeleton
isogroup24511	Amino acid transport and metabolism
isogroup7283	Posttranslational modification, protein turnover, chaperones
isogroup9974	Signal transduction mechanisms
isogroup9974	Inorganic ion transport and metabolism
isogroup15188	Replication, recombination and repair
isogroup7325	Amino acid transport and metabolism
isogroup5239	Cell cycle control, cell division, chromosome partitioning
isogroup5239	Signal transduction mechanisms
isogroup5011	Transcription
isogroup30607	Energy production and conversion
isogroup20812	Signal transduction mechanisms
isogroup27364	Posttranslational modification, protein turnover, chaperones
isogroup17447	Nucleotide transport and metabolism
isogroup10531	Replication, recombination and repair
isogroup32993	Intracellular trafficking, secretion, and vesicular transport
isogroup7570	Posttranslational modification, protein turnover, chaperones
isogroup29602	Signal transduction mechanisms
isogroup35580	Posttranslational modification, protein turnover, chaperones
isogroup4997	Posttranslational modification, protein turnover, chaperones
isogroup17555	Intracellular trafficking, secretion, and vesicular transport
isogroup19342	Energy production and conversion
isogroup10533	Inorganic ion transport and metabolism
isogroup1882	Coenzyme transport and metabolism
isogroup2432	Posttranslational modification, protein turnover, chaperones
isogroup6854	Extracellular structures
isogroup28808	Extracellular structures
isogroup15955	Signal transduction mechanisms
isogroup1196	Transcription
isogroup1196	Cell cycle control, cell division, chromosome partitioning
isogroup24403	Transcription
isogroup1434	Signal transduction mechanisms
isogroup18676	Cytoskeleton
isogroup22468	Replication, recombination and repair
isogroup3056	Transcription
isogroup9532	Transcription
isogroup9532	Chromatin structure and dynamics
isogroup5468	Transcription
isogroup33488	Cell cycle control, cell division, chromosome partitioning
isogroup1383	Replication, recombination and repair
isogroup21252	Translation, ribosomal structure and biogenesis
isogroup1621	Transcription
isogroup40822	Replication, recombination and repair
isogroup40822	Chromatin structure and dynamics
isogroup40822	Cell cycle control, cell division, chromosome partitioning
isogroup40822	Signal transduction mechanisms
isogroup11979	Transcription
isogroup26161	Posttranslational modification, protein turnover, chaperones
isogroup3322	Signal transduction mechanisms
isogroup3322	Cytoskeleton
isogroup19553	Nucleotide transport and metabolism
isogroup4001	Transcription
isogroup7968	Replication, recombination and repair
isogroup5934	Intracellular trafficking, secretion, and vesicular transport
isogroup36486	Chromatin structure and dynamics
isogroup5647	Signal transduction mechanisms
isogroup5647	Intracellular trafficking, secretion, and vesicular transport
isogroup36768	Posttranslational modification, protein turnover, chaperones
isogroup10720	Cytoskeleton
isogroup19882	Intracellular trafficking, secretion, and vesicular transport
isogroup19882	Energy production and conversion
isogroup5373	RNA processing and modification 
isogroup30026	Translation, ribosomal structure and biogenesis
isogroup7664	Posttranslational modification, protein turnover, chaperones
isogroup2649	Signal transduction mechanisms
isogroup1600	Translation, ribosomal structure and biogenesis
isogroup39468	Coenzyme transport and metabolism
isogroup15816	Signal transduction mechanisms
isogroup6641	Signal transduction mechanisms
isogroup3205	Transcription
isogroup3205	Chromatin structure and dynamics
isogroup3586	Signal transduction mechanisms
isogroup8380	Posttranslational modification, protein turnover, chaperones
isogroup12125	Posttranslational modification, protein turnover, chaperones
isogroup5490	Energy production and conversion
isogroup0	Cytoskeleton
isogroup9892	Replication, recombination and repair
isogroup469.1	Signal transduction mechanisms
isogroup3687	Amino acid transport and metabolism
isogroup23829	Posttranslational modification, protein turnover, chaperones
isogroup20626	Cell wall/membrane/envelope biogenesis
isogroup20626	Posttranslational modification, protein turnover, chaperones
isogroup20626	Lipid transport and metabolism
isogroup20877	Chromatin structure and dynamics
isogroup17547	Posttranslational modification, protein turnover, chaperones
isogroup13675	Posttranslational modification, protein turnover, chaperones
isogroup21918	Cytoskeleton
isogroup11897	Transcription
isogroup15562	Extracellular structures
isogroup10052	Cell wall/membrane/envelope biogenesis
isogroup9388	Energy production and conversion
isogroup30511	Signal transduction mechanisms
isogroup10402	Signal transduction mechanisms
isogroup7513	Transcription
isogroup6952	Cytoskeleton
isogroup14522	Cell motility
isogroup12620	Signal transduction mechanisms
isogroup12620	Intracellular trafficking, secretion, and vesicular transport
isogroup17292	RNA processing and modification 
isogroup16876	Secondary metabolites biosynthesis, transport and catabolism
isogroup6165	Translation, ribosomal structure and biogenesis
isogroup18013	Lipid transport and metabolism
isogroup24272	Translation, ribosomal structure and biogenesis
isogroup5981	RNA processing and modification 
isogroup9266	RNA processing and modification 
isogroup3877	Cytoskeleton
isogroup11326	Signal transduction mechanisms
isogroup24054	Posttranslational modification, protein turnover, chaperones
isogroup30944	Cytoskeleton
isogroup8579	Transcription
isogroup8579	Cell cycle control, cell division, chromosome partitioning
isogroup8579	Signal transduction mechanisms
isogroup13598	Replication, recombination and repair
isogroup21099	Posttranslational modification, protein turnover, chaperones
isogroup32401	Carbohydrate transport and metabolism
isogroup40028	Chromatin structure and dynamics
isogroup7769	Transcription
isogroup7769	Signal transduction mechanisms
isogroup7769	Posttranslational modification, protein turnover, chaperones
isogroup7769	Lipid transport and metabolism
isogroup14266	Lipid transport and metabolism
isogroup12010	Posttranslational modification, protein turnover, chaperones
isogroup41413	Signal transduction mechanisms
isogroup20073	Lipid transport and metabolism
isogroup4263.1	Signal transduction mechanisms
isogroup23819	Posttranslational modification, protein turnover, chaperones
isogroup43744	Nuclear structure
isogroup43744	Intracellular trafficking, secretion, and vesicular transport
isogroup4687	Posttranslational modification, protein turnover, chaperones
isogroup11179	Signal transduction mechanisms
isogroup11179	Inorganic ion transport and metabolism
isogroup11935	Posttranslational modification, protein turnover, chaperones
isogroup17680	Signal transduction mechanisms
isogroup15488	Energy production and conversion
isogroup7523	Signal transduction mechanisms
isogroup15474	Lipid transport and metabolism
isogroup7039	Signal transduction mechanisms
isogroup5061	Secondary metabolites biosynthesis, transport and catabolism
isogroup2267	Signal transduction mechanisms
isogroup17668	RNA processing and modification 
isogroup16494	Signal transduction mechanisms
isogroup12953	Inorganic ion transport and metabolism
isogroup2668	Carbohydrate transport and metabolism
isogroup25798	Posttranslational modification, protein turnover, chaperones
isogroup41762	Posttranslational modification, protein turnover, chaperones
isogroup1840	Cell cycle control, cell division, chromosome partitioning
isogroup1840	Posttranslational modification, protein turnover, chaperones
isogroup186	Replication, recombination and repair
isogroup186	Chromatin structure and dynamics
isogroup186	Cell cycle control, cell division, chromosome partitioning
isogroup186	Signal transduction mechanisms
isogroup5982	Amino acid transport and metabolism
isogroup11358	Chromatin structure and dynamics
isogroup1333	Signal transduction mechanisms
isogroup13838	RNA processing and modification 
isogroup10948	Transcription
isogroup40017	Posttranslational modification, protein turnover, chaperones
isogroup6519	Cytoskeleton
isogroup15097	Signal transduction mechanisms
isogroup15097	Inorganic ion transport and metabolism
isogroup9125	Cell wall/membrane/envelope biogenesis
isogroup15101	Signal transduction mechanisms
isogroup11569	Posttranslational modification, protein turnover, chaperones
isogroup17406	Amino acid transport and metabolism
isogroup12593	Translation, ribosomal structure and biogenesis
isogroup35394	Replication, recombination and repair
isogroup3508	Secondary metabolites biosynthesis, transport and catabolism
isogroup8854	Signal transduction mechanisms
isogroup11038	Cell wall/membrane/envelope biogenesis
isogroup5438	Secondary metabolites biosynthesis, transport and catabolism
isogroup21855	Inorganic ion transport and metabolism
isogroup8391	Transcription
isogroup8391	Chromatin structure and dynamics
isogroup14436	Posttranslational modification, protein turnover, chaperones
isogroup6357	Defense mechanisms
isogroup41659	Cell cycle control, cell division, chromosome partitioning
isogroup2359	Transcription
isogroup6278	Posttranslational modification, protein turnover, chaperones
isogroup28068	Signal transduction mechanisms
isogroup13041	Translation, ribosomal structure and biogenesis
isogroup45639	Carbohydrate transport and metabolism
isogroup15431	Signal transduction mechanisms
isogroup3220	Lipid transport and metabolism
isogroup9765	Transcription
isogroup6669	RNA processing and modification 
isogroup20947	Energy production and conversion
isogroup22375	Cytoskeleton
isogroup9228.1	Signal transduction mechanisms
isogroup9228.1	Inorganic ion transport and metabolism
isogroup11263	Carbohydrate transport and metabolism
isogroup7685	Amino acid transport and metabolism
isogroup4887	Transcription
isogroup4887	Intracellular trafficking, secretion, and vesicular transport
isogroup1773	Posttranslational modification, protein turnover, chaperones
isogroup6616	Secondary metabolites biosynthesis, transport and catabolism
isogroup29115	Translation, ribosomal structure and biogenesis
isogroup4046	RNA processing and modification 
isogroup8285	Replication, recombination and repair
isogroup5393	Cell cycle control, cell division, chromosome partitioning
isogroup5393	Cytoskeleton
isogroup5393	Intracellular trafficking, secretion, and vesicular transport
isogroup20438	Signal transduction mechanisms
isogroup4599	Lipid transport and metabolism
isogroup16367	Transcription
isogroup15021	Posttranslational modification, protein turnover, chaperones
isogroup43120	Posttranslational modification, protein turnover, chaperones
isogroup1103	Amino acid transport and metabolism
isogroup6744	Signal transduction mechanisms
isogroup20124	Posttranslational modification, protein turnover, chaperones
isogroup101	Replication, recombination and repair
isogroup2848	Cytoskeleton
isogroup2332	Signal transduction mechanisms
isogroup32529	Transcription
isogroup19989	Lipid transport and metabolism
isogroup1555	Transcription
isogroup1555	Chromatin structure and dynamics
isogroup11533	Lipid transport and metabolism
isogroup2681.1	Signal transduction mechanisms
isogroup2681.1	Inorganic ion transport and metabolism
isogroup20831	Signal transduction mechanisms
isogroup38754	Signal transduction mechanisms
isogroup22829	Carbohydrate transport and metabolism
isogroup6033.1	RNA processing and modification 
isogroup14688	Carbohydrate transport and metabolism
isogroup32268	Secondary metabolites biosynthesis, transport and catabolism
isogroup7898	Cell cycle control, cell division, chromosome partitioning
isogroup9346	Posttranslational modification, protein turnover, chaperones
isogroup3327	Transcription
isogroup18969	Cell cycle control, cell division, chromosome partitioning
isogroup18969	Cytoskeleton
isogroup18969	Intracellular trafficking, secretion, and vesicular transport
isogroup23057	Chromatin structure and dynamics
isogroup9015	Cytoskeleton
isogroup5833	Transcription
isogroup31646	Cytoskeleton
isogroup3864	Cell cycle control, cell division, chromosome partitioning
isogroup45838	Intracellular trafficking, secretion, and vesicular transport
isogroup26065	Posttranslational modification, protein turnover, chaperones
isogroup17301	Signal transduction mechanisms
isogroup8770	Chromatin structure and dynamics
isogroup22647	Replication, recombination and repair
isogroup10855	Amino acid transport and metabolism
isogroup39835	Chromatin structure and dynamics
isogroup39835	Signal transduction mechanisms
isogroup2566	Nuclear structure
isogroup8485	Nuclear structure
isogroup3848	Inorganic ion transport and metabolism
isogroup23372	Posttranslational modification, protein turnover, chaperones
isogroup2994	RNA processing and modification 
isogroup12661	Nuclear structure
isogroup1860	Signal transduction mechanisms
isogroup2323	Posttranslational modification, protein turnover, chaperones
isogroup14353	Posttranslational modification, protein turnover, chaperones
isogroup18459	Transcription
isogroup7947	Intracellular trafficking, secretion, and vesicular transport
isogroup10778	Signal transduction mechanisms
isogroup14187	Transcription
isogroup33058	Translation, ribosomal structure and biogenesis
isogroup17998	Inorganic ion transport and metabolism
isogroup15890	Posttranslational modification, protein turnover, chaperones
isogroup420	Translation, ribosomal structure and biogenesis
isogroup4506	Posttranslational modification, protein turnover, chaperones
isogroup19248	Lipid transport and metabolism
isogroup15068	Cell wall/membrane/envelope biogenesis
isogroup32408	Carbohydrate transport and metabolism
isogroup7179	Lipid transport and metabolism
isogroup2818	Extracellular structures
isogroup7540	Replication, recombination and repair
isogroup14974	Posttranslational modification, protein turnover, chaperones
isogroup21766	Intracellular trafficking, secretion, and vesicular transport
isogroup39724	Replication, recombination and repair
isogroup10902	Cell motility
isogroup2497	Signal transduction mechanisms
isogroup333	Chromatin structure and dynamics
isogroup2223	Signal transduction mechanisms
isogroup16776	Cell cycle control, cell division, chromosome partitioning
isogroup27842	Energy production and conversion
isogroup26491	Carbohydrate transport and metabolism
isogroup23511	Amino acid transport and metabolism
isogroup4833	Amino acid transport and metabolism
isogroup5642	Cell cycle control, cell division, chromosome partitioning
isogroup22202	Extracellular structures
isogroup14201	RNA processing and modification 
isogroup10015	Signal transduction mechanisms
isogroup10015	Cytoskeleton
isogroup6998	Transcription
isogroup6375	Signal transduction mechanisms
isogroup28042	Signal transduction mechanisms
isogroup3349.1	Posttranslational modification, protein turnover, chaperones
isogroup9460	Posttranslational modification, protein turnover, chaperones
isogroup5821	Signal transduction mechanisms
isogroup2905	Posttranslational modification, protein turnover, chaperones
isogroup22219	Inorganic ion transport and metabolism
isogroup3599	Transcription
isogroup2305	Energy production and conversion
isogroup27747	Signal transduction mechanisms
isogroup1177	Intracellular trafficking, secretion, and vesicular transport
isogroup20310	Amino acid transport and metabolism
isogroup23436	Signal transduction mechanisms
isogroup1253	Intracellular trafficking, secretion, and vesicular transport
isogroup26152	Signal transduction mechanisms
isogroup26152	Inorganic ion transport and metabolism
isogroup23689	Signal transduction mechanisms
isogroup12872	Intracellular trafficking, secretion, and vesicular transport
isogroup2829	Signal transduction mechanisms
isogroup9210	Carbohydrate transport and metabolism
isogroup16919	Signal transduction mechanisms
isogroup11924	Posttranslational modification, protein turnover, chaperones
isogroup10480	Cytoskeleton
isogroup22744	Transcription
isogroup29963	Secondary metabolites biosynthesis, transport and catabolism
isogroup13392	Cell cycle control, cell division, chromosome partitioning
isogroup19166	Nuclear structure
isogroup12052	Posttranslational modification, protein turnover, chaperones
isogroup38444	Posttranslational modification, protein turnover, chaperones
isogroup16006	Intracellular trafficking, secretion, and vesicular transport
isogroup9441	Signal transduction mechanisms
isogroup30873	Amino acid transport and metabolism
isogroup30835	Transcription
isogroup4208	Posttranslational modification, protein turnover, chaperones
isogroup43024	Signal transduction mechanisms
isogroup11554	Energy production and conversion
isogroup461	RNA processing and modification 
isogroup7706	Nucleotide transport and metabolism
isogroup39966	Signal transduction mechanisms
isogroup8893	Posttranslational modification, protein turnover, chaperones
isogroup23176	Transcription
isogroup5727	Nuclear structure
isogroup1272	Replication, recombination and repair
isogroup6058	Carbohydrate transport and metabolism
isogroup36390	Carbohydrate transport and metabolism
isogroup4200	Amino acid transport and metabolism
isogroup26255	Posttranslational modification, protein turnover, chaperones
isogroup43990	Replication, recombination and repair
isogroup43990	Cell cycle control, cell division, chromosome partitioning
isogroup24470	Carbohydrate transport and metabolism
isogroup8326	Transcription
isogroup8326	Intracellular trafficking, secretion, and vesicular transport
isogroup25944	Posttranslational modification, protein turnover, chaperones
isogroup12791	Signal transduction mechanisms
isogroup24166	Cytoskeleton
isogroup12433	Posttranslational modification, protein turnover, chaperones
isogroup27922	Intracellular trafficking, secretion, and vesicular transport
isogroup15776	Lipid transport and metabolism
isogroup21045	Chromatin structure and dynamics
isogroup21045	Cell cycle control, cell division, chromosome partitioning
isogroup18648	Amino acid transport and metabolism
isogroup2388	Signal transduction mechanisms
isogroup24345	Signal transduction mechanisms
isogroup4284	RNA processing and modification 
isogroup9160	Energy production and conversion
isogroup44750	Cell cycle control, cell division, chromosome partitioning
isogroup28885	Signal transduction mechanisms
isogroup1221	Signal transduction mechanisms
isogroup14676	Extracellular structures
isogroup7109	Replication, recombination and repair
isogroup33432	Posttranslational modification, protein turnover, chaperones
isogroup20531	Extracellular structures
isogroup41160	Posttranslational modification, protein turnover, chaperones
isogroup14958	Cell cycle control, cell division, chromosome partitioning
isogroup4147	Transcription
isogroup4147	Chromatin structure and dynamics
isogroup39644	Carbohydrate transport and metabolism
isogroup5157	Carbohydrate transport and metabolism
isogroup4395	Posttranslational modification, protein turnover, chaperones
isogroup2393	Signal transduction mechanisms
isogroup15016	Signal transduction mechanisms
isogroup6780	Lipid transport and metabolism
isogroup216	Extracellular structures
isogroup7961	Signal transduction mechanisms
isogroup24761	Carbohydrate transport and metabolism
isogroup25492.1	Posttranslational modification, protein turnover, chaperones
isogroup12803	Energy production and conversion
isogroup19611	Posttranslational modification, protein turnover, chaperones
isogroup23271	Chromatin structure and dynamics
isogroup6386	Amino acid transport and metabolism
isogroup1239	Lipid transport and metabolism
isogroup6676	Transcription
isogroup33635	RNA processing and modification 
isogroup2841	Signal transduction mechanisms
isogroup2841	Inorganic ion transport and metabolism
isogroup14677	Cell cycle control, cell division, chromosome partitioning
isogroup14677	Signal transduction mechanisms
isogroup28065	Transcription
isogroup2797	Cell cycle control, cell division, chromosome partitioning
isogroup44370	Replication, recombination and repair
isogroup9379	Amino acid transport and metabolism
isogroup30859	Carbohydrate transport and metabolism
isogroup6429	Signal transduction mechanisms
isogroup6429	Intracellular trafficking, secretion, and vesicular transport
isogroup27154	Amino acid transport and metabolism
isogroup11830	Posttranslational modification, protein turnover, chaperones
isogroup1302	Carbohydrate transport and metabolism
isogroup38349	Posttranslational modification, protein turnover, chaperones
isogroup24790	Carbohydrate transport and metabolism
isogroup22437	Intracellular trafficking, secretion, and vesicular transport
isogroup19935	Cell wall/membrane/envelope biogenesis
isogroup8506	Cytoskeleton
isogroup14849	Cytoskeleton
isogroup27455	Posttranslational modification, protein turnover, chaperones
isogroup26662	Signal transduction mechanisms
isogroup29619	Posttranslational modification, protein turnover, chaperones
isogroup14027	Posttranslational modification, protein turnover, chaperones
isogroup14027	Carbohydrate transport and metabolism
isogroup1320	Replication, recombination and repair
isogroup6021	RNA processing and modification 
isogroup2784	Cytoskeleton
isogroup3575	Secondary metabolites biosynthesis, transport and catabolism
isogroup10684	Signal transduction mechanisms
isogroup12424	Signal transduction mechanisms
isogroup12424	Intracellular trafficking, secretion, and vesicular transport
isogroup7787	Cell cycle control, cell division, chromosome partitioning
isogroup7787	Cytoskeleton
isogroup1410	Signal transduction mechanisms
isogroup11658	Signal transduction mechanisms
isogroup18621	Cell wall/membrane/envelope biogenesis
isogroup18621	Extracellular structures
isogroup28653	Posttranslational modification, protein turnover, chaperones
isogroup21897	Posttranslational modification, protein turnover, chaperones
isogroup17576	Extracellular structures
isogroup342	Signal transduction mechanisms
isogroup15339	Transcription
isogroup15339	Replication, recombination and repair
isogroup7907	Signal transduction mechanisms
isogroup7907	Intracellular trafficking, secretion, and vesicular transport
isogroup13840	Cytoskeleton
isogroup15377	Translation, ribosomal structure and biogenesis
isogroup15377	RNA processing and modification 
isogroup30153	Amino acid transport and metabolism
isogroup15912	Extracellular structures
isogroup22157	Intracellular trafficking, secretion, and vesicular transport
isogroup3891	Signal transduction mechanisms
isogroup618	RNA processing and modification 
isogroup18589	Transcription
isogroup18589	Chromatin structure and dynamics
isogroup11348	Cytoskeleton
isogroup30189	Cytoskeleton
isogroup3712	Carbohydrate transport and metabolism
isogroup25498	Translation, ribosomal structure and biogenesis
isogroup3721	Chromatin structure and dynamics
isogroup16049	Cell wall/membrane/envelope biogenesis
isogroup16049	Extracellular structures
isogroup15714	Posttranslational modification, protein turnover, chaperones
isogroup43875	Signal transduction mechanisms
isogroup43875	Cytoskeleton
isogroup23898	Energy production and conversion
isogroup4162	Intracellular trafficking, secretion, and vesicular transport
isogroup30614	Transcription
isogroup34880	RNA processing and modification 
isogroup6843	Nucleotide transport and metabolism
isogroup25636	Carbohydrate transport and metabolism
isogroup39736	Inorganic ion transport and metabolism
isogroup13403	Cell wall/membrane/envelope biogenesis
isogroup10391	Transcription
isogroup8913	Amino acid transport and metabolism
isogroup8054	Cell wall/membrane/envelope biogenesis
isogroup8054	Posttranslational modification, protein turnover, chaperones
isogroup8054	Lipid transport and metabolism
isogroup36046	Cell cycle control, cell division, chromosome partitioning
isogroup4290	Signal transduction mechanisms
isogroup19711	Intracellular trafficking, secretion, and vesicular transport
isogroup2653	Replication, recombination and repair
isogroup8929.1	RNA processing and modification 
isogroup35746	RNA processing and modification 
isogroup7747	Nuclear structure
isogroup7747	Intracellular trafficking, secretion, and vesicular transport
isogroup22320	Inorganic ion transport and metabolism
isogroup22402	Lipid transport and metabolism
isogroup11667	Lipid transport and metabolism
isogroup13990	Replication, recombination and repair
isogroup4810	Signal transduction mechanisms
isogroup6360	Signal transduction mechanisms
isogroup16705	Signal transduction mechanisms
isogroup4495	Lipid transport and metabolism
isogroup20802	Posttranslational modification, protein turnover, chaperones
isogroup16476	RNA processing and modification 
isogroup22500	Signal transduction mechanisms
isogroup2307	Transcription
isogroup2307	Chromatin structure and dynamics
isogroup31935	Transcription
isogroup1060	Transcription
isogroup33124	Intracellular trafficking, secretion, and vesicular transport
isogroup9069.1	Carbohydrate transport and metabolism
isogroup687	Transcription
isogroup687	Replication, recombination and repair
isogroup4654	Cytoskeleton
isogroup10377	Intracellular trafficking, secretion, and vesicular transport
isogroup30950	Signal transduction mechanisms
isogroup4729	Amino acid transport and metabolism
isogroup4178	Transcription
isogroup9087	Lipid transport and metabolism
isogroup8254	Amino acid transport and metabolism
isogroup25679	RNA processing and modification 
isogroup582	Transcription
isogroup3378	Transcription
isogroup11255	Posttranslational modification, protein turnover, chaperones
isogroup4315	Transcription
isogroup10933	Posttranslational modification, protein turnover, chaperones
isogroup416	Posttranslational modification, protein turnover, chaperones
isogroup40534	Signal transduction mechanisms
isogroup4072	Carbohydrate transport and metabolism
isogroup18553	Lipid transport and metabolism
isogroup9414	Posttranslational modification, protein turnover, chaperones
isogroup9740	Signal transduction mechanisms
isogroup686	Signal transduction mechanisms
isogroup6630	Signal transduction mechanisms
isogroup22249	Signal transduction mechanisms
isogroup3973	Nucleotide transport and metabolism
isogroup3973	Inorganic ion transport and metabolism
isogroup1781	Signal transduction mechanisms
isogroup7854	Amino acid transport and metabolism
isogroup14815	Signal transduction mechanisms
isogroup8228	Intracellular trafficking, secretion, and vesicular transport
isogroup9640	Replication, recombination and repair
isogroup501	Signal transduction mechanisms
isogroup22831	Signal transduction mechanisms
isogroup14445	Signal transduction mechanisms
isogroup14445	Inorganic ion transport and metabolism
isogroup24300	Signal transduction mechanisms
isogroup24300	Inorganic ion transport and metabolism
isogroup18170	RNA processing and modification 
isogroup3834	RNA processing and modification 
isogroup1948	Energy production and conversion
isogroup44575	Posttranslational modification, protein turnover, chaperones
isogroup18472	Transcription
isogroup20341	Transcription
isogroup6628.1	Posttranslational modification, protein turnover, chaperones
isogroup2576	Carbohydrate transport and metabolism
isogroup3431	Posttranslational modification, protein turnover, chaperones
isogroup21625	Intracellular trafficking, secretion, and vesicular transport
isogroup21625	Lipid transport and metabolism
isogroup12333	Secondary metabolites biosynthesis, transport and catabolism
isogroup21795	Posttranslational modification, protein turnover, chaperones
isogroup21795	Carbohydrate transport and metabolism
isogroup2721	Cytoskeleton
isogroup1125	RNA processing and modification 
isogroup1125	Signal transduction mechanisms
isogroup15117	Signal transduction mechanisms
isogroup15117	Posttranslational modification, protein turnover, chaperones
isogroup8835	Chromatin structure and dynamics
isogroup5893	Lipid transport and metabolism
isogroup39050	Transcription
isogroup7202	Signal transduction mechanisms
isogroup1417	Cell cycle control, cell division, chromosome partitioning
isogroup1417	Cytoskeleton
isogroup1417	Intracellular trafficking, secretion, and vesicular transport
isogroup7238	Amino acid transport and metabolism
isogroup37387	Signal transduction mechanisms
isogroup772	RNA processing and modification 
isogroup29124	Transcription
isogroup6883	Replication, recombination and repair
isogroup34024	Replication, recombination and repair
isogroup39413	Replication, recombination and repair
isogroup7387	Signal transduction mechanisms
isogroup16627	Replication, recombination and repair
isogroup15362	Posttranslational modification, protein turnover, chaperones
isogroup21809	Signal transduction mechanisms
isogroup21809	Inorganic ion transport and metabolism
isogroup21242	Signal transduction mechanisms
isogroup1753	RNA processing and modification 
isogroup12755	Transcription
isogroup12755	Signal transduction mechanisms
isogroup8825.1	Coenzyme transport and metabolism
isogroup13310	Secondary metabolites biosynthesis, transport and catabolism
isogroup3157	Intracellular trafficking, secretion, and vesicular transport
isogroup7001	Cell cycle control, cell division, chromosome partitioning
isogroup8233	Carbohydrate transport and metabolism
isogroup6080	Transcription
isogroup2412	Cell wall/membrane/envelope biogenesis
isogroup2381	Carbohydrate transport and metabolism
isogroup18601	Defense mechanisms
isogroup18601	Signal transduction mechanisms
isogroup4882	Intracellular trafficking, secretion, and vesicular transport
isogroup15533	Signal transduction mechanisms
isogroup15533	Inorganic ion transport and metabolism
isogroup18306	Carbohydrate transport and metabolism
isogroup15882	Replication, recombination and repair
isogroup16635	RNA processing and modification 
isogroup18263	Transcription
isogroup9854	Intracellular trafficking, secretion, and vesicular transport
isogroup9854	Posttranslational modification, protein turnover, chaperones
isogroup9854	Carbohydrate transport and metabolism
isogroup12502	Cytoskeleton
isogroup17147	RNA processing and modification 
isogroup35163	Posttranslational modification, protein turnover, chaperones
isogroup1842	Cytoskeleton
isogroup30924	Translation, ribosomal structure and biogenesis
isogroup2130	Translation, ribosomal structure and biogenesis
isogroup4978	Cytoskeleton
isogroup5310	Posttranslational modification, protein turnover, chaperones
isogroup1779	Cell cycle control, cell division, chromosome partitioning
isogroup16300	Inorganic ion transport and metabolism
isogroup18368	Lipid transport and metabolism
isogroup1568	Cytoskeleton
isogroup15523	Amino acid transport and metabolism
isogroup11731	Posttranslational modification, protein turnover, chaperones
isogroup1229	Carbohydrate transport and metabolism
isogroup3872	Signal transduction mechanisms
isogroup3856	Inorganic ion transport and metabolism
isogroup11148	Extracellular structures
isogroup2838	Carbohydrate transport and metabolism
isogroup1025	Posttranslational modification, protein turnover, chaperones
isogroup11426	Signal transduction mechanisms
isogroup196	Chromatin structure and dynamics
isogroup8072	Chromatin structure and dynamics
isogroup7606	Signal transduction mechanisms
isogroup7606	Posttranslational modification, protein turnover, chaperones
isogroup31720	Carbohydrate transport and metabolism
isogroup3426	Energy production and conversion
isogroup25478	Cytoskeleton
isogroup8102	Energy production and conversion
isogroup29705	Chromatin structure and dynamics
isogroup17397	Signal transduction mechanisms
isogroup8844	Nucleotide transport and metabolism
isogroup15628	Cell wall/membrane/envelope biogenesis
isogroup15628	Posttranslational modification, protein turnover, chaperones
isogroup15628	Lipid transport and metabolism
isogroup11196	Intracellular trafficking, secretion, and vesicular transport
isogroup14780	RNA processing and modification 
isogroup4258	Cytoskeleton
isogroup10836	Replication, recombination and repair
isogroup4615	Lipid transport and metabolism
isogroup29743	Cell wall/membrane/envelope biogenesis
isogroup29743	Extracellular structures
isogroup20060	Signal transduction mechanisms
isogroup26842	Nucleotide transport and metabolism
isogroup20218	Lipid transport and metabolism
isogroup8074	Intracellular trafficking, secretion, and vesicular transport
isogroup19013	Posttranslational modification, protein turnover, chaperones
isogroup43507	Intracellular trafficking, secretion, and vesicular transport
isogroup4130	Cytoskeleton
isogroup18191	Cell cycle control, cell division, chromosome partitioning
