Amillepora_PRO.fas	Adigitifera_PRO.fas	Aelegantissima_PRO.fas	Ahyacinthus_PRO.fas	Apallida_PRO.fas	Apalmata_PRO.fas	Atenuis_PRO.fas	Fscutaria_PRO.fas	Mauretenra_PRO.fas	Mcavernosa_PRO.fas	Mfaveolata_PRO.fas	Nvectensis_PRO.fas	Pastreoides_PRO.fas	Pcarnosus_PRO.fas	Pdaedalea_PRO.fas	Pdamicornis_PRO.fas	Pstrigosa_PRO.fas	Shystrix_PRO.fas	Spistillata_PRO.fas	Ssiderea_PRO.fas
c015080	adi_EST_assem_12573	NA	isotig04962	NA	Contig_5863	isotig05277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c012355	adi_EST_assem_20103	NA	isotig07955	NA	F66KHFO02HISNK	NA	comp3388_c0_seq5	comp4908_c0_seq14	comp165979_c0_seq1	NA	NA	isotig12624	Unigene117279_Mix_Normal_N	c7611_g1_i1	NA	comp9116_c0_seq1	comp24678_c0_seq1	Spi_isotig07835	NA
c017828	adi_EST_assem_31556	NA	NA	NA	Contig_4910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c012852	adi_EST_assem_767	NA	NA	NA	Contig_8243	isotig11041	comp132340_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c045968	NA	NA	NA	NA	NA	NA	comp334612_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp142381_c0_seq1	NA	NA
c016779	adi_EST_assem_5022	NA	isotig04721	NA	Contig_42376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c012350	NA	NA	isotig03071	NA	Contig_15729	NA	comp17458_c0_seq1	comp114487_c0_seq1	comp13653_c0_seq1	CCHW3333.b1	NA	isotig20637	Unigene19057_Mix_Normal_N	c17278_g1_i1	bu_91849.1_lrc33464	comp17266_c0_seq1	comp131713_c0_seq1	Spi_isotig09277	comp249501_c0_seq1
c005570m	adi_EST_assem_7512	NA	isotig01167	NA	Contig_16992	isotig04205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c014026	adi_EST_assem_241	NA	NA	NA	Contig_18437	NA	comp45531_c0_seq1	comp49846_c0_seq1	comp106747_c0_seq1	NA	NA	NA	NA	NA	bu_91849.1_c24084	comp119135_c0_seq1	NA	NA	comp233800_c0_seq1
c014024	adi_EST_assem_6298	NA	isotig10589	NA	Contig_36379	NA	comp14283_c0_seq2	comp9527_c0_seq1	comp32445_c0_seq1	NA	NA	NA	Unigene20565_Mix_Normal_N	c14405_g1_i1	NA	comp18166_c0_seq1	NA	NA	comp258584_c0_seq6
c010733	adi_EST_assem_20266	NA	isotig09784	NA	Contig_20989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c010735	NA	NA	NA	NA	Contig_6966	NA	comp4400_c0_seq1	NA	comp15064_c0_seq1	NA	jgi|Nemve1|92175|e_gw.29.1.1	isotig04532	Unigene70359_Mix_Normal_N	NA	NA	comp40676_c0_seq4	NA	NA	NA
c010739	adi_EST_assem_16644	NA	NA	NA	NA	NA	NA	NA	comp24690_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp244752_c0_seq1
c013490	adi_EST_assem_11059	comp39653_c0_seq1	NA	NA	Contig_23248	NA	NA	comp112200_c0_seq1	comp40133_c1_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp258451_c0_seq1
c001276	adi_EST_assem_933	NA	NA	NA	NA	NA	NA	NA	comp25908_c0_seq1	NA	NA	NA	NA	NA	NA	NA	comp13382_c2_seq1	NA	comp261275_c0_seq1
c003340	adi_EST_assem_947	NA	NA	NA	Contig_9290	NA	comp52236_c0_seq1	NA	comp91852_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp217685_c0_seq1
c015850	adi_EST_assem_3277	NA	isotig06879	NA	Contig_6535	NA	comp5997_c0_seq10	NA	comp55375_c0_seq2	NA	NA	NA	Unigene115067_Mix_Normal_N	NA	NA	comp6101_c0_seq2	NA	Spi_isotig06795	NA
c015859	adi_EST_assem_4374	NA	NA	NA	NA	isotig04403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c013592	adi_EST_assem_2992	NA	NA	NA	Contig_26972	NA	NA	comp13116_c0_seq1	comp121114_c0_seq1	NA	NA	NA	NA	NA	bu_91849.1_c25526	NA	NA	Spi_isotig07078	comp261174_c0_seq8
c013590	adi_EST_assem_15722	NA	NA	NA	NA	NA	NA	comp95983_c0_seq3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp259659_c0_seq1
c013599	adi_EST_assem_10693	NA	isotig04556	NA	Contig_35457	isotig10160	NA	NA	comp33970_c0_seq1	NA	NA	NA	NA	NA	bu_91849.1_c5247	NA	comp4689_c0_seq1	Spi_isotig05293	comp255928_c0_seq12
c012461	adi_EST_assem_9337	NA	NA	NA	Contig_9682	NA	comp11593_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp10480_c0_seq1	NA	comp232754_c0_seq7
c012462	adi_EST_assem_16064	NA	NA	NA	Contig_6431	NA	comp2253_c6_seq21	NA	NA	NA	NA	NA	NA	NA	NA	comp36275_c0_seq1	NA	NA	comp261589_c0_seq1
c000698	adi_EST_assem_11168	NA	NA	Locus_44700_Transcript_1/1_Confidence_0.000_Length_7398	NA	NA	comp47305_c0_seq1	NA	comp18062_c0_seq11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c006232	adi_EST_assem_3013	NA	NA	NA	Contig_5386	NA	NA	comp61897_c0_seq1	comp34507_c0_seq1	NA	NA	NA	Unigene6217_Mix_Normal_N	NA	NA	NA	NA	NA	comp260092_c0_seq1
c006234	adi_EST_assem_10685	NA	NA	NA	Contig_35354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c006236	adi_EST_assem_4209	NA	NA	NA	Contig_9257	NA	comp10687_c0_seq2	comp130348_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	comp6711_c0_seq1	NA	NA
c007149	adi_EST_assem_7639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene55707_Mix_Normal_N	NA	NA	NA	NA	NA	comp237849_c0_seq1
c007143	adi_EST_assem_6468	NA	isotig18125	NA	Contig_849	isotig07644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c007145	adi_EST_assem_5549	NA	NA	NA	Contig_22746	NA	NA	NA	comp16148_c0_seq28	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp236575_c0_seq1
c007147	NA	NA	isotig00998	NA	NA	isotig19592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c019639	adi_EST_assem_9658	NA	isotig05052	NA	NA	isotig13226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp228319_c0_seq1
c022567	NA	NA	NA	Locus_60709_Transcript_1/1_Confidence_0.000_Length_785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp239941_c0_seq1
c001424m	adi_EST_assem_4782	NA	NA	NA	Contig_13465	isotig09153	comp2122_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp4076_c0_seq1	Spi_isotig00981	comp259206_c1_seq4
c010701	adi_EST_assem_16175	NA	NA	NA	Contig_39617	NA	NA	comp55763_c0_seq1	comp79130_c0_seq2	NA	jgi|Nemve1|183236|estExt_GenewiseH_1.C_450258	NA	NA	NA	bu_91849.1_c21165	NA	NA	Spi_isotig06508	NA
c004560	adi_EST_assem_2563	NA	NA	NA	NA	NA	comp22287_c0_seq2	NA	comp27527_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp257287_c0_seq3
c029375	NA	NA	isotig27941	NA	Contig_23409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c005389	adi_EST_assem_1016	NA	NA	NA	Contig_13393	NA	NA	NA	comp5863_c0_seq3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c005955	adi_EST_assem_2540	NA	NA	NA	Contig_12712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c022466	adi_EST_assem_12464	NA	isotig05122	NA	Contig_20336	isotig11407	comp6496_c0_seq1	comp5945_c0_seq1	comp101632_c0_seq1	NA	NA	NA	Unigene120749_Mix_Normal_N	NA	bu_91849.1_c34769	comp32864_c0_seq2	NA	Spi_isotig11338	NA
c026704	adi_EST_assem_7788	NA	NA	NA	NA	NA	NA	NA	comp7259_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp226194_c0_seq1
c001359m	NA	NA	NA	NA	Contig_14457	isotig14910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c006525	adi_EST_assem_8374	comp24664_c0_seq1	NA	Locus_17675_Transcript_8/8_Confidence_1.000_Length_3969	Contig_41786	isotig10515	NA	comp63968_c0_seq1	comp7665_c0_seq1	NA	jgi|Nemve1|162648|estExt_gwp.C_320239	NA	NA	NA	bu_91849.1_c17567	NA	comp1305_c0_seq1	Spi_isotig05310	comp250966_c0_seq1
c042490	NA	NA	GCKDGN102C8NYT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp302977_c0_seq1	NA	NA	NA
c005043	adi_EST_assem_14608	NA	NA	NA	NA	NA	comp87658_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c021278	NA	NA	contig06603	NA	Contig_38045	isotig13174	comp6347_c0_seq1	comp19898_c0_seq1	comp18593_c1_seq1	NA	NA	NA	Unigene98201_Mix_Normal_N	c14203_g1_i1	bu_91849.1_c21112	comp15547_c0_seq1	comp53397_c0_seq2	Spi_isotig13086	NA
c028032	NA	NA	NA	NA	NA	NA	NA	NA	comp225012_c0_seq1	NA	NA	NA	Unigene28299_Mix_Normal_N	NA	NA	NA	NA	NA	NA
c022894	adi_EST_assem_29300	NA	NA	NA	Contig_32610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c016384	adi_EST_assem_6021	NA	NA	NA	Contig_2142	NA	NA	comp16300_c0_seq1	comp76997_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp259034_c0_seq1
c039223	NA	NA	isotig21613	NA	F66KHFO02IKM7Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c013202	adi_EST_assem_11187	NA	NA	NA	Contig_655	isotig10109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c011655	NA	NA	isotig04316	NA	NA	isotig09385	comp2868_c0_seq2	NA	NA	NA	NA	isotig14736	NA	NA	NA	NA	NA	NA	NA
c035066	adi_EST_assem_9990	comp8218_c0_seq1	isotig08957	Locus_33715_Transcript_1/1_Confidence_0.000_Length_1404	Contig_6594	isotig19666	comp1751_c0_seq2	comp2057_c0_seq1	comp7590_c0_seq2	CCHW4272.b1	jgi|Nemve1|178050|estExt_GenewiseH_1.C_50291	isotig09700	Unigene34513_Mix_Normal_N	c16930_g1_i2	NA	comp1996_c0_seq1	NA	Spi_isotig10705	comp232738_c0_seq1
c001209m	NA	NA	isotig06616	NA	Contig_16540	isotig07252	comp97824_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp210860_c0_seq2
c016142	adi_EST_assem_6903	NA	NA	NA	Contig_24495	isotig10686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c016143	adi_EST_assem_28962	NA	NA	NA	Contig_26520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c002220	adi_EST_assem_168	NA	NA	NA	Contig_4922	NA	comp6856_c0_seq3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp259563_c0_seq2
c008679p	adi_EST_assem_2650	NA	NA	NA	Contig_324	isotig11439	NA	NA	NA	NA	NA	NA	NA	NA	bu_91849.1_c11916	NA	comp25250_c0_seq1	Spi_isotig06017	comp244379_c0_seq2
c003681	adi_EST_assem_7038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp248099_c0_seq1
c016067	adi_EST_assem_540	NA	isotig05441	NA	Contig_13024	isotig15716	NA	comp27970_c0_seq1	comp41087_c0_seq3	NA	NA	NA	Unigene39216_Mix_Normal_N	NA	NA	comp36773_c0_seq1	comp16664_c0_seq1	NA	comp252846_c0_seq6
c003689	adi_EST_assem_11058	NA	NA	NA	Contig_970	NA	comp16754_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp248907_c0_seq3
c026547	adi_EST_assem_8862	NA	NA	NA	Contig_4134	isotig01326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c004405	adi_EST_assem_4686	NA	isotig01492	NA	Contig_14728	isotig09530	comp1223_c0_seq2	comp10696_c0_seq1	comp6136_c0_seq3	NA	NA	NA	Unigene68658_Mix_Normal_N	c14209_g1_i1	NA	comp2859_c0_seq1	comp4742_c0_seq1	Spi_isotig08299	comp237079_c0_seq1
c015052	NA	NA	NA	NA	NA	NA	NA	NA	comp56490_c0_seq3	NA	NA	NA	NA	NA	NA	NA	comp106793_c0_seq1	NA	NA
c029043	NA	NA	NA	NA	Contig_17118	isotig11655	NA	comp70630_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp253942_c2_seq1
c004408	adi_EST_assem_17560	NA	NA	NA	NA	NA	comp36102_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	comp41941_c0_seq1	NA	NA	comp258291_c0_seq2
c008100	adi_EST_assem_14522	NA	isotig02253	NA	Contig_19385	isotig17319	NA	NA	NA	NA	NA	NA	Unigene148567_Mix_Normal_N	NA	NA	NA	NA	NA	comp240508_c0_seq2
c005533	adi_EST_assem_19444	NA	NA	NA	NA	NA	NA	NA	comp15710_c0_seq3	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp252891_c0_seq7
c005537	adi_EST_assem_2790	comp50600_c0_seq1	NA	Locus_24299_Transcript_1/1_Confidence_1.000_Length_2376	Contig_41087	NA	comp14117_c0_seq1	NA	comp16598_c0_seq2	NA	NA	NA	NA	c11621_g1_i1	NA	comp38377_c0_seq1	comp13656_c0_seq3	NA	comp248861_c0_seq3
c005535	adi_EST_assem_8721	NA	NA	NA	Contig_12463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c028800	adi_EST_assem_14156	NA	isotig06371	NA	Contig_8960	isotig13995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c000105m	adi_EST_assem_5800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp262112_c0_seq2
c004488	adi_EST_assem_3556	NA	NA	NA	Contig_8136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c004485	adi_EST_assem_5167	comp28719_c0_seq1	NA	Locus_74783_Transcript_1/1_Confidence_0.000_Length_4567	NA	NA	comp4285_c0_seq1	NA	comp37029_c0_seq1	NA	jgi|Nemve1|182854|estExt_GenewiseH_1.C_420109	NA	NA	NA	NA	NA	NA	NA	comp260574_c0_seq4
c031004	adi_EST_assem_21297	NA	NA	NA	Contig_9678	isotig35823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c024349	adi_EST_assem_25143	NA	isotig05926	NA	Contig_41416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c038667	NA	NA	NA	NA	NA	isotig34274	NA	NA	NA	NA	NA	NA	NA	NA	bu_91849.1_c29434	NA	NA	NA	NA
c003901	adi_EST_assem_1422	NA	NA	NA	Contig_39104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c003170m	adi_EST_assem_7898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene98476_Mix_Normal_N	c17157_g1_i1	NA	NA	NA	NA	comp236428_c0_seq4
c003984	adi_EST_assem_519	NA	NA	Locus_123676_Transcript_2/4_Confidence_1.000_Length_3695	Contig_23934	NA	comp4001_c0_seq1	NA	NA	NA	jgi|Nemve1|193603|estExt_GenewiseH_1.C_3040017	NA	NA	NA	NA	NA	NA	Spi_isotig04692	comp241773_c0_seq1
c021073	adi_EST_assem_9946	NA	NA	NA	Contig_2214	NA	NA	comp800290_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c028883	adi_EST_assem_25604	NA	isotig05956	NA	Contig_4280	isotig12402	NA	comp26766_c0_seq1	comp61455_c0_seq1	NA	NA	NA	NA	c12148_g1_i1	NA	comp19914_c0_seq1	comp55356_c0_seq1	Spi_isotig10005	comp231899_c0_seq1
c025353	adi_EST_assem_32173	NA	NA	NA	Contig_4437	NA	comp81935_c0_seq1	comp11526_c0_seq1	comp207205_c0_seq1	NA	NA	NA	NA	c17184_g1_i1	NA	comp20962_c0_seq1	comp247710_c0_seq1	Spi_isotig10108	comp231219_c0_seq2
c029072	adi_EST_assem_25954	NA	NA	NA	Contig_41620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp247810_c0_seq3
c004409p	NA	comp69532_c0_seq1	NA	NA	NA	isotig04526	comp31294_c0_seq5	comp324135_c0_seq1	comp74950_c0_seq1	NA	NA	NA	NA	c15858_g1_i2	bu_91849.1_c20791	NA	NA	Spi_isotig10683	comp250862_c0_seq1
c011012	NA	NA	NA	NA	Contig_37234	NA	comp978_c0_seq1	NA	comp934_c1_seq53	NA	NA	isotig04892	Unigene18239_Mix_Normal_N	c13431_g1_i1	NA	comp1038_c0_seq1	NA	NA	comp218514_c0_seq1
c024690	NA	comp168454_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp183740_c0_seq1	NA	NA	NA
c023744	adi_EST_assem_796	NA	NA	NA	Contig_360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp247301_c0_seq1
c007723	NA	NA	NA	NA	Contig_20060	NA	NA	comp70255_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp262744_c0_seq18
c015621	adi_EST_assem_16081	NA	NA	NA	Contig_12656	NA	comp62289_c0_seq1	NA	NA	NA	NA	NA	NA	NA	bu_91849.1_c25085	NA	NA	NA	comp216645_c0_seq1
c006914	adi_EST_assem_10857	NA	NA	NA	Contig_1792	isotig02517	comp29262_c0_seq2	comp68778_c0_seq3	comp44737_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp256025_c0_seq2
c005356	adi_EST_assem_7735	NA	NA	NA	NA	NA	NA	comp62882_c0_seq1	comp75687_c0_seq1	NA	NA	isotig07861	Unigene133566_Mix_Normal_N	c15877_g1_i2	NA	comp83619_c0_seq1	NA	NA	NA
c010051	NA	NA	NA	NA	Contig_14758	NA	NA	comp16108_c0_seq1	comp28762_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c010055	NA	NA	NA	NA	Contig_6697	NA	comp117472_c0_seq1	NA	comp107997_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp230368_c0_seq5
c014573	adi_EST_assem_2314	NA	NA	NA	Contig_13346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c020064	adi_EST_assem_2889	NA	isotig04278	NA	Contig_3623	isotig09175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c020066	NA	NA	NA	NA	Contig_4599	NA	NA	comp248_c91_seq173	comp59070_c0_seq2	CCHW17217.b1	NA	NA	Unigene154780_Mix_Normal_N	NA	NA	comp20887_c0_seq1	comp20950_c0_seq1	Spi_isotig07493	comp244363_c0_seq1
c017088	adi_EST_assem_366	NA	NA	NA	Contig_14188	isotig10018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c017081	adi_EST_assem_2811	NA	NA	NA	Contig_1421	isotig10668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c021331	NA	NA	NA	NA	Contig_6031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp217309_c0_seq7
c019264	adi_EST_assem_8280	comp151641_c0_seq1	NA	NA	Contig_3784	isotig17510	comp12346_c1_seq4	comp9242_c0_seq1	comp13732_c0_seq4	NA	jgi|Nemve1|113459|e_gw.118.137.1	isotig21197	Unigene117559_Mix_Normal_N	c14380_g1_i3	NA	comp1944_c0_seq1	comp47048_c0_seq1	Spi_isotig11126	comp242389_c0_seq1
c019262	NA	NA	NA	NA	NA	NA	comp63465_c0_seq1	comp30958_c0_seq1	NA	NA	NA	NA	NA	NA	NA	comp76050_c0_seq1	NA	NA	comp231178_c0_seq57
c006629	adi_EST_assem_1525	NA	NA	NA	Contig_6183	isotig09861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c004934	adi_EST_assem_629	NA	NA	NA	Contig_23988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c004931	adi_EST_assem_2891	NA	NA	NA	Contig_13040	NA	comp11971_c0_seq1	NA	comp16521_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp250894_c0_seq1
c022773	NA	NA	isotig04929	NA	Contig_11873	isotig15524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c029991	adi_EST_assem_9560	NA	NA	NA	Contig_38575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c000968	adi_EST_assem_16903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp255628_c0_seq7
c029629	adi_EST_assem_13847	NA	NA	NA	Contig_9475	NA	comp38034_c0_seq1	comp42232_c0_seq4	comp105491_c0_seq1	NA	NA	NA	NA	c12278_g1_i1	NA	comp50213_c0_seq1	NA	NA	comp155622_c0_seq1
c029624	adi_EST_assem_2399	NA	isotig06455	NA	NA	isotig14656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp232606_c0_seq1
c002187	adi_EST_assem_12236	NA	NA	NA	Contig_9240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c028337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene20634_Mix_Normal_N	NA	NA	comp30937_c0_seq1	NA	NA	NA
c002450	adi_EST_assem_11165	NA	NA	NA	NA	NA	NA	NA	comp14130_c0_seq5	NA	NA	NA	NA	NA	NA	NA	comp26180_c0_seq1	NA	NA
c002452	adi_EST_assem_8543	comp19125_c0_seq1	NA	NA	Contig_6670	isotig09360	NA	NA	comp8918_c0_seq1	NA	jgi|Nemve1|192352|estExt_GenewiseH_1.C_2360080	NA	Unigene140656_Mix_Normal_N	NA	bu_91849.1_c17653	comp8375_c0_seq1	comp22108_c0_seq4	Spi_isotig04910	comp246790_c0_seq1
c002454	adi_EST_assem_12032	NA	NA	NA	Contig_10815	NA	comp10466_c0_seq2	NA	comp34726_c0_seq2	NA	NA	NA	NA	NA	NA	comp15412_c0_seq1	NA	NA	comp261041_c0_seq27
c023001	NA	NA	NA	NA	Contig_36242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp177009_c0_seq1
c006523	NA	NA	NA	NA	Contig_26962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp260755_c0_seq4
c023000	adi_EST_assem_3916	NA	NA	NA	Contig_15945	isotig12359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c008652p	adi_EST_assem_26314	NA	NA	NA	Contig_14505	isotig12133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c013758	adi_EST_assem_14799	NA	isotig17694	NA	Contig_36721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c028216	NA	NA	NA	Locus_102693_Transcript_1/1_Confidence_0.000_Length_654	Contig_16502	NA	comp12601_c0_seq1	comp204440_c0_seq1	NA	NA	NA	NA	NA	c2715_g1_i1	NA	comp280869_c0_seq1	NA	NA	NA
c004818m	NA	NA	isotig04786	NA	Contig_8071	isotig01638	comp4846_c0_seq3	comp7077_c0_seq3	comp4639_c5_seq7	NA	NA	isotig04813	Unigene17325_Mix_Normal_N	c17831_g2_i1	bu_91849.1_lrc67035	comp6847_c0_seq1	comp21629_c0_seq7	NA	NA
c003724	adi_EST_assem_12302	NA	NA	NA	NA	NA	comp49167_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c008602	NA	NA	NA	NA	Contig_9417	NA	NA	NA	comp92181_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp239293_c0_seq1
c008600	adi_EST_assem_11096	NA	NA	NA	NA	isotig12941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp223815_c0_seq1
c004543m	adi_EST_assem_2175	NA	isotig21944	NA	Contig_14846	isotig09974	NA	NA	NA	NA	NA	isotig11291	NA	NA	NA	NA	NA	NA	comp243989_c1_seq7
c004543p	adi_EST_assem_13684	comp6324_c0_seq1	isotig09185	NA	Contig_42011	NA	NA	comp5890_c0_seq1	comp28034_c0_seq1	NA	jgi|Nemve1|25811|gw.147.46.1	isotig09809	Unigene99866_Mix_Normal_N	c5670_g1_i1	bu_91849.1_c19275	comp55649_c0_seq1	NA	Spi_isotig07203	comp216018_c0_seq2
c012001	adi_EST_assem_10018	NA	NA	NA	Contig_3670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c002441	adi_EST_assem_5110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp260145_c0_seq1
c011549	adi_EST_assem_16089	NA	NA	NA	Contig_4740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c009849	adi_EST_assem_8426	NA	NA	NA	Contig_16246	NA	comp22576_c0_seq1	NA	comp39051_c1_seq1	NA	NA	NA	Unigene147904_Mix_Normal_N	NA	NA	NA	NA	NA	comp115090_c0_seq1
c009840	NA	NA	NA	NA	Contig_19594	NA	NA	comp26894_c0_seq1	NA	NA	NA	NA	NA	NA	bu_91849.1_c2107	NA	NA	Spi_isotig06248	comp241111_c0_seq5
c015356	adi_EST_assem_3394	NA	NA	NA	NA	NA	NA	NA	comp12871_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c015357	adi_EST_assem_4638	NA	NA	NA	Contig_33991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp248539_c1_seq1
c011544	NA	NA	NA	NA	Contig_16476	NA	comp20582_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp260653_c0_seq11
c002593m	adi_EST_assem_5610	NA	NA	NA	Contig_12760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c011440	adi_EST_assem_6922	NA	NA	NA	Contig_15936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c014352	NA	NA	NA	Locus_86209_Transcript_1/1_Confidence_0.000_Length_3690	Contig_11209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
