Amillepora_PRO.fas	Adigitifera_PRO.fas	Aelegantissima_PRO.fas	Ahyacinthus_PRO.fas	Apallida_PRO.fas	Apalmata_PRO.fas	Atenuis_PRO.fas	Fscutaria_PRO.fas	Mauretenra_PRO.fas	Mcavernosa_PRO.fas	Mfaveolata_PRO.fas	Nvectensis_PRO.fas	Pastreoides_PRO.fas	Pcarnosus_PRO.fas	Pdaedalea_PRO.fas	Pdamicornis_PRO.fas	Pstrigosa_PRO.fas	Shystrix_PRO.fas	Spistillata_PRO.fas	Ssiderea_PRO.fas
c015431	adi_EST_assem_7895	comp11251_c0_seq1	NA	Locus_41702_Transcript_1/1_Confidence_0.000_Length_2188	Contig_4755	NA	comp2204_c2_seq61	comp118064_c0_seq1	comp45608_c0_seq1	CCHW3255.b1	jgi|Nemve1|177965|estExt_GenewiseH_1.C_40689	NA	NA	c16390_g1_i2	bu_91849.1_c4870	comp19587_c0_seq2	comp4327_c0_seq1	Spi_isotig06352	comp222507_c0_seq1
c025485	adi_EST_assem_5582	comp241_c0_seq1	NA	NA	NA	isotig15264	comp7_c0_seq3	comp198_c0_seq1	comp115_c0_seq1	JGI_AOSC456.rev	jgi|Nemve1|178746|estExt_GenewiseH_1.C_80141	isotig09454	Unigene45048_Mix_Normal_N	c12858_g1_i1	bu_91849.1_c1793	comp748_c0_seq1	comp166_c1_seq1	Spi_isotig11279	comp260013_c2_seq10
c016044p	adi_EST_assem_2742	comp72569_c0_seq1	isotig13323	Locus_128396_Transcript_1/1_Confidence_1.000_Length_577	CCHX10534_b1_c	isotig40339	comp5911_c0_seq25	comp1180_c0_seq1	comp20166_c1_seq2	CCHW14766.b1	jgi|Nemve1|218593|fgenesh1_pg.scaffold_355000013	NA	Unigene17386_Mix_Normal_N	c15012_g1_i1	NA	NA	comp5736_c1_seq5	Spi_isotig09835	NA
c024382	adi_EST_assem_2502	comp17292_c0_seq1	isotig07199	NA	Contig_23079	isotig10547	comp1869_c0_seq1	comp3148_c0_seq1	comp12285_c1_seq1	CCHW2899.b1	jgi|Nemve1|214431|fgenesh1_pg.scaffold_200000013	isotig05792	Unigene139927_Mix_Normal_N	c7581_g1_i1	bu_91849.1_c22342	comp6419_c0_seq1	comp4173_c1_seq1	Spi_isotig07850	comp255348_c0_seq1
c024589	adi_EST_assem_11445	NA	NA	NA	Contig_11118	isotig06694	comp2794_c0_seq1	comp2889_c0_seq1	comp2241_c0_seq2	CCHW12237.b1	jgi|Nemve1|28706|gw.88.143.1	isotig01646	Unigene125302_Mix_Normal_N	c9856_g1_i1	NA	comp3600_c0_seq1	comp5754_c0_seq1	Spi_isotig12890	comp240325_c0_seq1
c013528	adi_EST_assem_7209	NA	isotig04362	NA	Contig_1136	isotig09320	comp6171_c0_seq1	comp23975_c0_seq1	comp13485_c0_seq1	CCHW2083.b1	NA	isotig05344	Unigene140344_Mix_Normal_N	c11998_g1_i1	bu_91849.1_c3665	comp2719_c0_seq1	comp4252_c0_seq1	Spi_isotig05365	comp243011_c0_seq2
c030887	adi_EST_assem_12008	comp35349_c0_seq2	isotig11825	Locus_124229_Transcript_1/1_Confidence_1.000_Length_970	Contig_42623	isotig35271	comp25849_c0_seq2	comp110433_c0_seq2	NA	CCHW16290.b1	NA	isotig15162	Unigene87144_Mix_Normal_N	c7693_g1_i1	NA	comp77324_c0_seq1	comp82366_c0_seq1	Spi_isotig10670	comp256936_c0_seq2
c017452	adi_EST_assem_4933	comp20358_c0_seq1	isotig05404	Locus_104998_Transcript_1/1_Confidence_0.000_Length_3328	Contig_2428	isotig10311	comp4288_c0_seq2	comp3180_c0_seq1	comp8588_c0_seq5	CCHW7139.b1	jgi|Nemve1|236730|estExt_fgenesh1_kg.C_450002	isotig00832	CL703.Contig1_Mix_Normal_N	c15819_g1_i1	bu_91849.1_lrc56616	comp4168_c0_seq4	comp292493_c0_seq1	Spi_isotig07284	comp257624_c1_seq1
c017450	adi_EST_assem_9996	NA	isotig01656	Locus_22002_Transcript_2/2_Confidence_2.000_Length_3673	NA	isotig10620	comp4515_c0_seq1	comp11588_c0_seq1	comp23175_c0_seq1	CCHW1882.b1	jgi|Nemve1|179537|estExt_GenewiseH_1.C_130057	NA	Unigene17335_Mix_Normal_N	c3820_g1_i1	NA	comp3414_c0_seq1	comp2561_c0_seq2	Spi_isotig06957	comp242048_c0_seq1
c006675	adi_EST_assem_2319	comp2763_c0_seq1	isotig04638	Locus_57598_Transcript_1/1_Confidence_0.000_Length_2736	Contig_9213	isotig10153	comp3086_c0_seq1	comp14393_c0_seq1	comp8183_c0_seq1	NA	jgi|Nemve1|159439|estExt_gwp.C_70523	NA	Unigene18446_Mix_Normal_N	NA	NA	comp5812_c0_seq1	comp5826_c2_seq5	Spi_isotig06515	comp249272_c0_seq1
c019945p	adi_EST_assem_7756	comp99961_c0_seq1	isotig00232	NA	F66KHFO01ELFOP	isotig03640	NA	comp19353_c0_seq1	comp5932_c0_seq4	CCHW6580.b1	jgi|Nemve1|166645|estExt_gwp.C_760195	NA	Unigene34297_Mix_Normal_N	c16682_g1_i1	bu_91849.1_c48909	comp11345_c0_seq1	comp9338_c0_seq2	Spi_isotig09032	comp250032_c0_seq2
c020316	adi_EST_assem_2022	NA	isotig10069	Locus_122847_Transcript_2/4_Confidence_1.000_Length_1549	Contig_8465	isotig10507	NA	comp3677_c0_seq1	comp4794_c1_seq2	CCHW14764.b1	jgi|Nemve1|106028|e_gw.80.268.1	isotig04027	Unigene115614_Mix_Normal_N	c15765_g1_i1	NA	comp3017_c0_seq1	comp6226_c0_seq1	Spi_isotig08648	NA
c005227	NA	comp16168_c0_seq1	NA	Locus_92297_Transcript_1/1_Confidence_0.000_Length_4813	Contig_21312	NA	comp14986_c0_seq2	comp12560_c0_seq1	comp16118_c0_seq1	CCHW2212.b1	jgi|Nemve1|173973|estExt_gwp.C_2780051	isotig03616	Unigene154843_Mix_Normal_N	c14883_g1_i1	bu_91849.1_c4727	comp40119_c0_seq1	comp6906_c0_seq1	Spi_isotig05669	comp258123_c0_seq1
c022417	adi_EST_assem_2350	comp520_c0_seq7	NA	Locus_110782_Transcript_1/1_Confidence_0.000_Length_3379	Contig_11206	isotig10291	comp102_c0_seq1	NA	comp470_c0_seq3	NA	jgi|Nemve1|194342|estExt_GenewiseH_1.C_3640006	isotig03934	Unigene47276_Mix_Normal_N	NA	bu_91849.1_c2964	comp896_c0_seq1	comp628_c0_seq1	Spi_isotig06615	comp222523_c0_seq1
c017718	adi_EST_assem_9196	comp60671_c0_seq1	isotig05417	Locus_88818_Transcript_1/1_Confidence_0.000_Length_4319	Contig_185	isotig05122	comp18320_c0_seq1	comp6955_c0_seq1	NA	CCHW2227.b1	jgi|Nemve1|248492|estExt_fgenesh1_pg.C_5940003	NA	Unigene8737_Mix_Normal_N	c13764_g1_i2	NA	comp5268_c0_seq2	NA	Spi_isotig09168	comp233650_c0_seq2
c020051	adi_EST_assem_4313	NA	isotig04810	NA	Contig_3869	isotig16871	comp2943_c0_seq1	comp4337_c0_seq1	comp6442_c0_seq1	CCHW11861.b1	NA	NA	Unigene67872_Mix_Normal_N	c17035_g1_i1	bu_91849.1_lrc48223	comp8136_c0_seq1	comp3933_c0_seq1	Spi_isotig03188	comp258655_c1_seq1
c005418	adi_EST_assem_452	comp6310_c0_seq1	isotig04533	Locus_96722_Transcript_1/1_Confidence_0.000_Length_2923	NA	isotig18846	comp5372_c0_seq1	comp7964_c0_seq1	comp5006_c0_seq1	CCHW11824.b1	jgi|Nemve1|160457|estExt_gwp.C_130415	isotig05967	Unigene68072_Mix_Normal_N	c16862_g1_i1	bu_91849.1_c20946	comp16404_c1_seq2	comp2745_c0_seq1	Spi_isotig06916	comp212862_c0_seq3
c012224	adi_EST_assem_5863	comp8826_c0_seq1	NA	Locus_2212_Transcript_1/1_Confidence_0.000_Length_1763	Contig_37500	isotig09696	comp3674_c0_seq1	comp2356_c0_seq1	NA	NA	jgi|Nemve1|181539|estExt_GenewiseH_1.C_290173	isotig03477	Unigene125238_Mix_Normal_N	NA	bu_91849.1_c5487	comp10392_c0_seq1	comp2920_c0_seq1	Spi_isotig02420	comp242217_c0_seq1
c018458p	NA	comp992_c0_seq1	isotig02287	NA	Contig_7716	isotig13278	comp420_c1_seq1	comp2391_c0_seq1	NA	CCHW8101.b1	jgi|Nemve1|162114|estExt_gwp.C_270074	isotig03521	Unigene47737_Mix_Normal_N	c17241_g1_i2	bu_91849.1_lrc17811	comp1369_c0_seq1	comp927_c0_seq3	Spi_isotig06194	NA
c016694	adi_EST_assem_425	NA	NA	Locus_10774_Transcript_1/1_Confidence_0.000_Length_2857	Contig_6723	NA	comp1903_c0_seq1	comp1990_c0_seq1	comp2789_c1_seq2	CCHW13742.b1	jgi|Nemve1|198315|fgenesh1_pg.scaffold_9000104	isotig04714	Unigene140628_Mix_Normal_N	c6320_g1_i1	bu_91849.1_c1243	comp2057_c0_seq3	NA	Spi_isotig07845	comp253859_c0_seq2
c003936m	adi_EST_assem_7937	comp12178_c0_seq1	isotig02067	Locus_123386_Transcript_1/1_Confidence_0.000_Length_1572	Contig_6699	isotig13980	NA	comp405_c0_seq1	comp5158_c1_seq1	CCHW3154.b1	jgi|Nemve1|235516|estExt_fgenesh1_pm.C_1610003	isotig07546	Unigene67813_Mix_Normal_N	c8668_g1_i1	bu_91849.1_c6112	comp2720_c0_seq1	comp2476_c0_seq1	Spi_isotig08693	comp239823_c0_seq1
c023447	adi_EST_assem_3817	NA	isotig08927	NA	Contig_42519	isotig17059	comp143_c0_seq1	comp232_c0_seq1	comp266_c0_seq1	NA	NA	isotig11132	Unigene47613_Mix_Normal_N	c9106_g1_i1	bu_91849.1_lrc18601	comp760_c0_seq1	comp65_c0_seq1	Spi_isotig12263	comp221955_c0_seq2
c020766	adi_EST_assem_7778	NA	isotig05076	NA	Contig_4048	isotig16941	comp21825_c0_seq9	comp199499_c0_seq1	comp104391_c0_seq1	CCHW2081.b1	NA	NA	Unigene116923_Mix_Normal_N	c19056_g1_i1	bu_91849.1_c4187	comp27863_c0_seq3	comp19909_c0_seq1	Spi_isotig08174	comp251680_c1_seq2
c008212	adi_EST_assem_3170	comp1405_c0_seq1	isotig01845	NA	Contig_3916	isotig13747	NA	comp856_c1_seq1	comp1796_c0_seq1	CCHW11457.b1	jgi|Nemve1|192015|estExt_GenewiseH_1.C_2250049	isotig06443	Unigene16792_Mix_Normal_N	c9486_g1_i1	bu_91849.1_c7199	comp1642_c0_seq1	NA	Spi_isotig09197	comp232582_c0_seq1
c009517	adi_EST_assem_409	comp885_c4_seq41	isotig04581	Locus_55133_Transcript_1/1_Confidence_0.000_Length_2407	Contig_2624	isotig19567	comp791_c0_seq14	comp3990_c0_seq4	comp1487_c0_seq3	CCHW8851.b1	jgi|Nemve1|243859|estExt_fgenesh1_pg.C_1000043	NA	NA	NA	bu_91849.1_c5698	comp2873_c0_seq2	comp1683_c0_seq9	Spi_isotig05628	NA
c021646	adi_EST_assem_14053	comp18480_c2_seq1	NA	Locus_28524_Transcript_1/2_Confidence_1.000_Length_4005	Contig_2714	isotig11400	comp6253_c0_seq1	comp16605_c2_seq1	comp15634_c0_seq1	NA	jgi|Nemve1|189422|estExt_GenewiseH_1.C_1420070	isotig05759	Unigene21911_Mix_Normal_N	c13639_g1_i1	bu_91849.1_c2854	comp16973_c0_seq1	NA	Spi_isotig07327	comp242928_c0_seq5
c020826	adi_EST_assem_6173	comp37162_c0_seq1	NA	Locus_36416_Transcript_2/3_Confidence_2.000_Length_1511	Contig_38032	isotig04901	comp6507_c0_seq1	comp7289_c0_seq1	comp22400_c0_seq1	NA	jgi|Nemve1|239058|estExt_fgenesh1_pg.C_110116	isotig01670	Unigene86902_Mix_Normal_N	c7075_g1_i2	NA	comp8683_c0_seq1	NA	Spi_isotig06738	comp253625_c0_seq1
c011384p	adi_EST_assem_11234	comp34691_c0_seq1	isotig04506	Locus_13687_Transcript_1/1_Confidence_0.000_Length_693	Contig_13450	isotig15495	comp5635_c0_seq36	comp11016_c0_seq1	comp17644_c0_seq1	CCHW16530.b1	jgi|Nemve1|90789|e_gw.25.236.1	isotig11777	Unigene6963_Mix_Normal_N	c17676_g1_i1	NA	comp4060_c0_seq1	comp11405_c0_seq2	Spi_isotig11203	comp238780_c0_seq1
c016744	adi_EST_assem_7154	comp21768_c0_seq1	isotig04430	NA	Contig_3285	isotig10472	NA	comp11791_c0_seq1	comp3642_c0_seq2	CCHW5209.b1	jgi|Nemve1|194562|estExt_GenewiseH_1.C_3840012	isotig05566	Unigene127054_Mix_Normal_N	c15811_g1_i2	NA	comp5123_c0_seq1	comp1417_c0_seq2	Spi_isotig02679	comp258806_c1_seq3
c028816	adi_EST_assem_3641	comp67127_c0_seq1	isotig06243	Locus_19286_Transcript_1/1_Confidence_0.000_Length_2865	NA	isotig03457	comp20421_c0_seq1	comp67251_c0_seq1	comp82522_c0_seq1	CCHW2481.b1	jgi|Nemve1|226158|fgenesh1_kg.scaffold_3000002	isotig26425	Unigene70041_Mix_Normal_N	c17012_g1_i1	NA	comp4673_c0_seq1	comp6700_c0_seq1	Spi_isotig07545	comp250834_c0_seq3
c033611	adi_EST_assem_11893	comp16077_c1_seq1	isotig07840	NA	NA	isotig16980	comp1941_c0_seq1	comp121_c1_seq1	comp3784_c0_seq1	JGI_AOSF1016.fwd	jgi|Nemve1|245421|estExt_fgenesh1_pg.C_1580052	isotig04029	CL2255.Contig1_Mix_Normal_N	c19034_g1_i1	NA	comp4342_c0_seq1	comp118835_c0_seq1	Spi_isotig00471	comp232375_c0_seq1
c017909	NA	comp7081_c1_seq1	NA	Locus_15771_Transcript_1/1_Confidence_0.000_Length_659	Contig_955	NA	comp1139_c0_seq5	comp1000_c0_seq1	comp2362_c1_seq1	CCHW10249.b1	jgi|Nemve1|236875|estExt_fgenesh1_kg.C_630008	isotig22590	Unigene16652_Mix_Normal_N	c33012_g1_i1	NA	comp1017_c0_seq1	comp6718_c1_seq1	Spi_isotig13356	comp255424_c1_seq9
c028772	adi_EST_assem_3358	comp14843_c0_seq2	NA	Locus_100176_Transcript_1/1_Confidence_0.000_Length_1254	Contig_20340	isotig18007	NA	comp17297_c1_seq1	comp7238_c0_seq29	CCHW10232.b1	jgi|Nemve1|191787|estExt_GenewiseH_1.C_2170113	isotig07378	Unigene7486_Mix_Normal_N	c16681_g1_i2	NA	comp6474_c0_seq1	comp2393_c0_seq1	Spi_isotig02636	comp201620_c0_seq1
c012275	adi_EST_assem_5922	comp22662_c1_seq1	isotig05093	Locus_76857_Transcript_1/1_Confidence_0.000_Length_4019	Contig_9382	isotig11363	comp5189_c0_seq1	NA	comp8057_c0_seq2	CCHW14838.b1	jgi|Nemve1|181274|estExt_GenewiseH_1.C_260271	isotig04985	Unigene78862_Mix_Normal_N	c9205_g1_i1	bu_91849.1_c4734	comp3480_c0_seq1	comp2522_c0_seq2	Spi_isotig02574	comp252440_c0_seq1
c015916	adi_EST_assem_4042	comp12621_c0_seq1	isotig01859	Locus_40820_Transcript_1/1_Confidence_0.000_Length_2810	Contig_810	isotig12110	comp2052_c0_seq1	comp10684_c0_seq1	comp23387_c1_seq1	CCHW8430.g1	jgi|Nemve1|239264|estExt_fgenesh1_pg.C_130101	isotig05799	Unigene114913_Mix_Normal_N	c9716_g1_i1	bu_91849.1_c8991	comp5091_c0_seq1	NA	Spi_isotig08098	comp208364_c0_seq2
c016906	adi_EST_assem_14274	NA	NA	NA	Contig_227	isotig10081	comp11222_c0_seq1	comp4324_c0_seq1	comp10151_c0_seq2	CCHW11962.b1	jgi|Nemve1|207760|fgenesh1_pg.scaffold_84000016	isotig04169	NA	c15090_g1_i1	bu_91849.1_c790	comp13521_c0_seq1	comp3622_c0_seq3	Spi_isotig07360	comp238144_c0_seq2
c014889	adi_EST_assem_3418	NA	isotig07281	Locus_51031_Transcript_1/1_Confidence_0.000_Length_1184	NA	isotig15962	comp1681_c0_seq1	NA	comp5223_c0_seq1	NA	jgi|Nemve1|173323|estExt_gwp.C_2450065	isotig05277	Unigene135821_Mix_Normal_N	c13126_g1_i1	bu_91849.1_c19972	comp1486_c0_seq1	comp2504_c0_seq1	Spi_isotig09015	comp217580_c0_seq1
c018911	adi_EST_assem_950	comp27205_c0_seq1	isotig04996	Locus_97782_Transcript_1/1_Confidence_0.000_Length_1274	Contig_10824	isotig21027	comp5351_c0_seq1	comp9698_c0_seq3	comp16332_c0_seq1	CCHW1664.b1	jgi|Nemve1|202543|fgenesh1_pg.scaffold_36000020	NA	Unigene18850_Mix_Normal_N	c16373_g1_i1	bu_91849.1_c3602	comp1098_c0_seq1	NA	Spi_isotig07540	comp245617_c0_seq1
c018231	adi_EST_assem_1318	comp11112_c0_seq1	isotig18323	Locus_14513_Transcript_14/14_Confidence_1.000_Length_2738	Contig_2943	NA	comp56096_c0_seq1	comp317009_c0_seq1	comp9448_c0_seq1	CCHW1808.b1	NA	NA	Unigene55777_Mix_Normal_N	c10673_g1_i1	NA	comp35774_c0_seq1	comp9246_c0_seq1	Spi_isotig08344	comp256519_c0_seq1
c011891	adi_EST_assem_8102	comp36563_c0_seq1	isotig04792	Locus_48653_Transcript_1/1_Confidence_0.000_Length_2039	Contig_32738	isotig09794	comp2204_c2_seq133	comp11210_c0_seq1	comp70206_c0_seq2	CCHW8409.b1	jgi|Nemve1|180659|estExt_GenewiseH_1.C_210104	NA	Unigene8767_Mix_Normal_N	c4651_g1_i1	bu_91849.1_c9859	NA	comp10498_c0_seq6	Spi_isotig05504	comp251619_c0_seq1
c023700	NA	comp15204_c0_seq2	isotig16911	Locus_102012_Transcript_1/1_Confidence_0.000_Length_1356	Contig_35401	isotig10849	comp18480_c0_seq5	comp8311_c0_seq1	comp14530_c0_seq1	CCHW7947.b1	jgi|Nemve1|86487|e_gw.13.273.1	isotig19153	Unigene148176_Mix_Normal_N	c12736_g1_i1	bu_91849.1_c55094	comp1062_c4_seq52	comp6128_c0_seq1	NA	NA
c012952p	adi_EST_assem_17274	NA	isotig11303	Locus_78426_Transcript_1/1_Confidence_0.000_Length_1387	NA	isotig11916	comp9381_c0_seq1	comp3540_c0_seq2	comp32277_c0_seq2	CCHW1919.b1	jgi|Nemve1|171933|estExt_gwp.C_1940073	GCKDGN101A38VU	Unigene140959_Mix_Normal_N	c13017_g1_i1	NA	comp6503_c0_seq1	comp3694_c0_seq1	Spi_isotig08128	NA
c026978	adi_EST_assem_3728	comp18850_c0_seq4	NA	NA	Contig_24691	NA	NA	comp4936_c0_seq1	comp30122_c0_seq1	CCHW13191.b1	jgi|Nemve1|235732|estExt_fgenesh1_pm.C_2160007	isotig05762	Unigene5478_Mix_Normal_N	c17762_g1_i2	bu_91849.1_c2685	comp19270_c0_seq4	comp7844_c0_seq1	Spi_isotig08288	comp153029_c0_seq1
c022781	NA	comp9997_c0_seq1	isotig05999	Locus_100478_Transcript_1/1_Confidence_0.000_Length_3320	Contig_11141	isotig14739	comp5352_c0_seq8	comp16189_c0_seq1	NA	CCHW4900.b1	jgi|Nemve1|245560|estExt_fgenesh1_pg.C_1660048	NA	Unigene46236_Mix_Normal_N	c16983_g1_i2	bu_91849.1_c15408	comp4953_c0_seq1	NA	Spi_isotig06813	comp240742_c0_seq3
c008822m	adi_EST_assem_4157	comp4343_c6_seq1	isotig06294	NA	Contig_20892	isotig15039	NA	comp916_c0_seq1	NA	CCHW3169.b1	NA	isotig04073	Unigene16597_Mix_Normal_N	c14881_g1_i1	bu_91849.1_c13895	comp3852_c0_seq1	comp2053_c0_seq2	Spi_isotig02467	comp210716_c0_seq1
c039136	adi_EST_assem_12423	NA	NA	Locus_34978_Transcript_3/3_Confidence_1.000_Length_1619	Contig_25980	isotig11859	comp21382_c0_seq3	comp22842_c0_seq1	comp6152_c0_seq7	CCHW1475.g1	jgi|Nemve1|247948|estExt_fgenesh1_pg.C_3820010	isotig11256	Unigene15704_Mix_Normal_N	c14707_g1_i1	NA	comp20137_c0_seq1	comp13702_c0_seq6	Spi_isotig10123	comp236775_c0_seq1
c017290	adi_EST_assem_4630	comp34766_c0_seq1	NA	Locus_13462_Transcript_1/1_Confidence_1.000_Length_1819	Contig_15346	NA	comp2694_c0_seq2	comp9613_c0_seq1	comp5456_c0_seq2	CCHW9981.b1	jgi|Nemve1|243846|estExt_fgenesh1_pg.C_1000024	isotig04351	Unigene45948_Mix_Normal_N	c16640_g1_i1	bu_91849.1_c53697	comp8503_c0_seq1	comp4294_c0_seq1	Spi_isotig06945	NA
c026246	adi_EST_assem_27229	NA	NA	Locus_28761_Transcript_1/1_Confidence_0.000_Length_2834	Contig_38391	isotig20771	comp95088_c0_seq1	comp236101_c0_seq1	comp42523_c0_seq1	NA	jgi|Nemve1|174073|estExt_gwp.C_2860019	NA	Unigene28042_Mix_Normal_N	c9572_g1_i1	bu_91849.1_c23000	comp197449_c0_seq1	comp23224_c0_seq2	Spi_isotig08525	comp247154_c0_seq2
c022215	adi_EST_assem_1997	comp85219_c0_seq1	isotig13283	NA	Contig_10487	isotig24872	comp181_c0_seq1	comp173_c0_seq1	comp245_c0_seq2	JGI_AOSF565.fwd	NA	isotig15375	Unigene44651_Mix_Normal_N	c22308_g1_i1	NA	comp917_c0_seq1	comp177_c0_seq1	Spi_isotig12945	comp171888_c0_seq1
c006501	NA	comp261_c0_seq2	isotig05788	Locus_1696_Transcript_2/2_Confidence_7.000_Length_1782	Contig_13188	isotig19090	comp193_c0_seq1	comp315_c0_seq1	NA	CCHW17264.b1	jgi|Nemve1|162224|estExt_gwp.C_280123	isotig12854	Unigene47018_Mix_Normal_N	c12900_g1_i1	bu_91849.1_c2444	comp899_c0_seq1	comp221_c1_seq1	Spi_isotig11472	comp210470_c0_seq1
c011265	adi_EST_assem_411	comp8906_c0_seq1	NA	Locus_69885_Transcript_1/1_Confidence_0.000_Length_6062	Contig_1904	isotig09160	comp813_c1_seq1	NA	comp3732_c0_seq1	CCHW8476.b1	jgi|Nemve1|189251|estExt_GenewiseH_1.C_1390011	isotig01127	Unigene17803_Mix_Normal_N	c17590_g1_i2	bu_91849.1_lrc26377	comp1306_c0_seq2	comp2611_c1_seq1	Spi_isotig05197	comp249393_c1_seq7
c026850	NA	comp37_c2_seq2	isotig14437	Locus_93851_Transcript_1/1_Confidence_0.000_Length_1581	Contig_4688	isotig26065	comp217_c0_seq1	comp95_c0_seq1	comp201060_c0_seq1	CCHW4123.b1	jgi|Nemve1|189003|estExt_GenewiseH_1.C_1330048	isotig16004	Unigene45920_Mix_Normal_N	c7697_g1_i3	bu_91849.1_c41477	comp783_c0_seq1	comp138_c1_seq1	Spi_isotig14224	comp221785_c0_seq1
c013211	adi_EST_assem_1122	comp6496_c1_seq1	isotig01470	Locus_45552_Transcript_1/1_Confidence_0.000_Length_2489	Contig_440	NA	comp1093_c0_seq2	comp5923_c0_seq1	NA	NA	jgi|Nemve1|177378|estExt_GenewiseH_1.C_20577	isotig03250	Unigene45361_Mix_Normal_N	c17423_g1_i1	bu_91849.1_c686	comp3037_c0_seq2	comp1550_c0_seq1	Spi_isotig05022	comp246109_c0_seq1
c007817m	adi_EST_assem_3874	NA	NA	NA	Contig_4362	NA	comp403_c0_seq3	comp272_c0_seq1	comp444_c0_seq1	CCHW1658.b1	jgi|Nemve1|194235|estExt_GenewiseH_1.C_3510063	isotig11009	Unigene45350_Mix_Normal_N	c11773_g1_i1	bu_91849.1_c17572	comp743_c0_seq1	comp194_c0_seq2	Spi_isotig11588	comp252025_c0_seq5
c032707	adi_EST_assem_10579	NA	isotig06764	NA	CCHX14589_b1_c	isotig20152	comp34010_c0_seq2	comp137827_c0_seq1	comp9117_c0_seq2	CCHW11817.b1	NA	isotig06705	Unigene137439_Mix_Normal_N	NA	bu_91849.1_c19231	comp5574_c0_seq1	comp2551_c0_seq3	Spi_isotig01067	comp244698_c0_seq1
c009826	adi_EST_assem_234	comp16582_c0_seq1	isotig04292	Locus_43924_Transcript_1/1_Confidence_0.000_Length_2594	Contig_35618	isotig09298	comp3388_c1_seq1	NA	comp4447_c0_seq3	NA	jgi|Nemve1|181966|estExt_GenewiseH_1.C_330038	NA	Unigene17845_Mix_Normal_N	c3392_g1_i1	bu_91849.1_c18348	comp71229_c0_seq1	comp943_c0_seq1	Spi_isotig01842	comp261982_c0_seq3
c027050p	adi_EST_assem_12074	comp202_c1_seq1	NA	NA	Contig_19712	isotig11008	NA	comp241_c0_seq1	comp200_c0_seq4	NA	jgi|Nemve1|173646|estExt_gwp.C_2620006	isotig06989	Unigene47708_Mix_Normal_N	c15291_g1_i1	bu_91849.1_lrc64506	comp442_c0_seq1	comp204_c0_seq3	Spi_isotig09207	comp236795_c0_seq1
c016992	adi_EST_assem_7603	comp44729_c0_seq1	isotig10278	Locus_118843_Transcript_1/5_Confidence_1.000_Length_1832	Contig_36030	isotig07361	comp3160_c0_seq1	comp13277_c1_seq2	NA	CCHW14426.b1	jgi|Nemve1|92832|e_gw.31.181.1	isotig09799	Unigene26477_Mix_Normal_N	c17924_g6_i1	NA	comp3901_c0_seq1	NA	Spi_isotig03511	comp251964_c0_seq5
c016173	adi_EST_assem_4318	NA	isotig04530	NA	Contig_9061	isotig04436	comp2670_c1_seq1	comp5719_c0_seq1	comp7134_c0_seq1	NA	NA	isotig03861	Unigene46865_Mix_Normal_N	c10376_g1_i1	bu_91849.1_c1111	comp2494_c0_seq1	comp1792_c0_seq1	Spi_isotig06286	comp241454_c0_seq4
c008493	adi_EST_assem_2139	NA	isotig05868	NA	Contig_9991	isotig09349	comp687_c0_seq2	comp729_c0_seq1	comp2472_c0_seq4	NA	jgi|Nemve1|61368|gw.9.270.1	isotig03831	CL466.Contig2_Mix_Normal_N	c17680_g1_i1	bu_91849.1_c4032	comp1300_c0_seq1	comp1603_c0_seq1	Spi_isotig05631	comp249417_c0_seq2
c023640	adi_EST_assem_11254	NA	isotig05199	Locus_44238_Transcript_1/1_Confidence_0.000_Length_1680	Contig_6208	isotig11807	NA	comp9246_c0_seq1	comp14201_c0_seq1	CCHW11466.b1	jgi|Nemve1|173618|estExt_gwp.C_2610015	NA	Unigene114927_Mix_Normal_N	c12724_g1_i2	bu_91849.1_c614	comp14747_c0_seq1	comp21188_c0_seq2	Spi_isotig05352	comp251732_c0_seq11
c037997	adi_EST_assem_11778	comp9573_c0_seq2	isotig07274	NA	Contig_11654	NA	comp8924_c0_seq1	comp20819_c0_seq1	comp55656_c0_seq7	CCHW2488.b1	NA	isotig00496	Unigene67647_Mix_Normal_N	c11006_g1_i1	bu_91849.1_c2529	comp328739_c0_seq1	comp2588_c0_seq5	Spi_isotig03285	comp238680_c0_seq1
c007102p	adi_EST_assem_8092	NA	isotig07779	Locus_49212_Transcript_1/1_Confidence_0.000_Length_2781	Contig_7989	isotig17624	comp6352_c0_seq1	comp72997_c0_seq1	NA	CCHW13234.b1	jgi|Nemve1|128198|e_gw.247.32.1	NA	Unigene20143_Mix_Normal_N	c14069_g1_i1	bu_91849.1_c66980	NA	comp25740_c0_seq1	Spi_isotig05626	comp187224_c0_seq1
c015110	adi_EST_assem_12875	comp46554_c0_seq1	NA	Locus_121551_Transcript_4/4_Confidence_1.000_Length_2354	Contig_24630	NA	comp18182_c0_seq1	comp10293_c0_seq1	comp50875_c0_seq1	NA	jgi|Nemve1|118178|e_gw.152.51.1	isotig05610	Unigene33674_Mix_Normal_N	c16813_g2_i1	bu_91849.1_c3682	comp62040_c0_seq1	NA	Spi_isotig11320	comp232537_c0_seq1
